---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.FileName = "LMEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LMEP.MarkerPositionFile.pz
 1.165921787709500e+000   9.401109656135238e-001  -2.297621714009798e-001   4.111155928664299e-001
 1.168100558659221e+000   9.540967548766736e-001  -2.299535496987535e-001   4.138683355275607e-001
 1.170279329608942e+000   9.683772710649342e-001  -2.302027823117103e-001   4.166801638444886e-001
 1.172458100558662e+000   9.829608275515513e-001  -2.305074897098178e-001   4.195337905756373e-001
 1.174636871508383e+000   9.978546545403295e-001  -2.308637169190945e-001   4.224119172459717e-001
 1.176815642458104e+000   1.013064729813175e+000  -2.312662323168236e-001   4.252974911142732e-001
 1.178994413407825e+000   1.028595717704351e+000  -2.317087206557181e-001   4.281738392579514e-001
 1.181173184357545e+000   1.044450642187017e+000  -2.321838695093820e-001   4.310249356758821e-001
 1.183351955307266e+000   1.060630980557864e+000  -2.326836981199356e-001   4.338355201915755e-001
 1.185530726256987e+000   1.077136701420919e+000  -2.331997151223291e-001   4.365911734494723e-001
 1.187709497206708e+000   1.093966151546634e+000  -2.337230951335021e-001   4.392785418297010e-001
 1.189888268156428e+000   1.111116334259826e+000  -2.342449013288212e-001   4.418852940713861e-001
 1.192067039106149e+000   1.128582974796894e+000  -2.347561996623095e-001   4.444001638664865e-001
 1.194245810055870e+000   1.146360539909475e+000  -2.352482431529617e-001   4.468130903340761e-001
 1.196424581005591e+000   1.164442527619624e+000  -2.357125943610806e-001   4.491150898202698e-001
 1.198603351955311e+000   1.182821535039750e+000  -2.361412396012345e-001   4.512983063112666e-001
 1.200782122905032e+000   1.201489363022549e+000  -2.365267893430272e-001   4.533561202992727e-001
 1.202960893854753e+000   1.220437197201751e+000  -2.368625164543297e-001   4.552830373640739e-001
 1.205139664804473e+000   1.239655631234939e+000  -2.371424874669030e-001   4.570747905833043e-001
 1.207318435754194e+000   1.259134715271753e+000  -2.373617317681569e-001   4.587284481296140e-001
 1.209497206703915e+000   1.278864083673841e+000  -2.375162211445225e-001   4.602422891900131e-001
 1.211675977653636e+000   1.298832990348185e+000  -2.376030337830005e-001   4.616159326207106e-001
 1.213854748603356e+000   1.319030455655345e+000  -2.376204754782561e-001   4.628503720319313e-001
 1.216033519553077e+000   1.339445429762193e+000  -2.375679924705003e-001   4.639478230255686e-001
 1.218212290502798e+000   1.360066952550141e+000  -2.374463231171354e-001   4.649118312660900e-001
 1.220391061452519e+000   1.380884433146985e+000  -2.372574498125781e-001   4.657471647763037e-001
 1.222569832402239e+000   1.401887805316998e+000  -2.370044327644146e-001   4.664596150169989e-001
 1.224748603351960e+000   1.423067833171261e+000  -2.366914504044687e-001   4.670559870490159e-001
 1.226927374301681e+000   1.444416372616554e+000  -2.363235929771378e-001   4.675438395132027e-001
 1.229106145251402e+000   1.465926473172229e+000  -2.359066988770703e-001   4.679312969562703e-001
 1.231284916201122e+000   1.487592777327302e+000  -2.354472982891806e-001   4.682269217105078e-001
 1.233463687150843e+000   1.509411649003521e+000  -2.349523908765418e-001   4.684394701308172e-001
 1.235642458100564e+000   1.531381226403571e+000  -2.344293214597095e-001   4.685777630447605e-001
 1.237821229050285e+000   1.553501829979361e+000  -2.338856593966142e-001   4.686505089629459e-001
 1.240000000000005e+000   1.575775908884556e+000  -2.333290307926330e-001   4.686661589810598e-001
