---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.FileName = "LICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.pz
 8.500000000000000e-001  -1.776131521195427e+000  -1.222153463328987e-001   1.010733399498271e+000
 8.521787709497206e-001  -1.755180644410366e+000  -1.223032066903231e-001   1.011730945593533e+000
 8.543575418994412e-001  -1.734319358476167e+000  -1.223741821116235e-001   1.012886286222582e+000
 8.565363128491619e-001  -1.713548060974645e+000  -1.224297260543357e-001   1.014181912118725e+000
 8.587150837988825e-001  -1.692864896533761e+000  -1.224719139504042e-001   1.015598651172196e+000
 8.608938547486031e-001  -1.672266045856569e+000  -1.225034117255892e-001   1.017116102557685e+000
 8.630726256983238e-001  -1.651746368918737e+000  -1.225273322049687e-001   1.018713232694532e+000
 8.652513966480444e-001  -1.631299642647388e+000  -1.225472025925814e-001   1.020368658462071e+000
 8.674301675977650e-001  -1.610918932706846e+000  -1.225669201213672e-001   1.022061070551738e+000
 8.696089385474857e-001  -1.590596846632244e+000  -1.225906277443341e-001   1.023769496713543e+000
 8.717877094972063e-001  -1.570325563329268e+000  -1.226226435583098e-001   1.025473543231980e+000
 8.739664804469269e-001  -1.550096604963290e+000  -1.226672510258691e-001   1.027153744484344e+000
 8.761452513966476e-001  -1.529900782353262e+000  -1.227285377401142e-001   1.028791687920689e+000
 8.783240223463682e-001  -1.509728091266615e+000  -1.228102324545715e-001   1.030370330538627e+000
 8.805027932960888e-001  -1.489568146234600e+000  -1.229155871188713e-001   1.031874325561027e+000
 8.826815642458095e-001  -1.469410675163514e+000  -1.230474194030057e-001   1.033289999492939e+000
 8.848603351955301e-001  -1.449246053716541e+000  -1.232080749620598e-001   1.034605682544906e+000
 8.870391061452507e-001  -1.429065798940451e+000  -1.233994712240024e-001   1.035811790533682e+000
 8.892178770949714e-001  -1.408862674211652e+000  -1.236231513343652e-001   1.036900710750822e+000
 8.913966480446920e-001  -1.388631055962731e+000  -1.238802601873711e-001   1.037867117545612e+000
 8.935754189944126e-001  -1.368367021571058e+000  -1.241715937854171e-001   1.038707922164840e+000
 8.957541899441333e-001  -1.348068295229669e+000  -1.244976366906429e-001   1.039422134160354e+000
 8.979329608938539e-001  -1.327734505958332e+000  -1.248585409811866e-001   1.040011111257184e+000
 9.001117318435745e-001  -1.307367002525368e+000  -1.252541485268363e-001   1.040478270123209e+000
 9.022905027932952e-001  -1.286968731790866e+000  -1.256839964781840e-001   1.040828899211883e+000
 9.044692737430158e-001  -1.266544325143383e+000  -1.261472645216091e-001   1.041070186005937e+000
 9.066480446927364e-001  -1.246099789576129e+000  -1.266428139064226e-001   1.041210775890485e+000
 9.088268156424570e-001  -1.225642377447608e+000  -1.271692020375057e-001   1.041260576952717e+000
 9.110055865921777e-001  -1.205180501118424e+000  -1.277246769097906e-001   1.041230579135489e+000
 9.131843575418983e-001  -1.184723329946298e+000  -1.283072254425876e-001   1.041132424185377e+000
 9.153631284916189e-001  -1.164280610755039e+000  -1.289145731498881e-001   1.040978199685367e+000
 9.175418994413396e-001  -1.143862380986568e+000  -1.295441556538285e-001   1.040780091734720e+000
 9.197206703910602e-001  -1.123478730600878e+000  -1.301931699783962e-001   1.040550077708707e+000
 9.218994413407808e-001  -1.103139666227128e+000  -1.308585881483185e-001   1.040299713277296e+000
 9.240782122905015e-001  -1.082854912742283e+000  -1.315372176822510e-001   1.040039822242426e+000
 9.262569832402221e-001  -1.062633802786192e+000  -1.322257839991786e-001   1.039780448468171e+000
 9.284357541899427e-001  -1.042485126186387e+000  -1.329209763254135e-001   1.039530701593803e+000
 9.306145251396634e-001  -1.022416918123064e+000  -1.336195153133546e-001   1.039298615586999e+000
 9.327932960893840e-001  -1.002436412325087e+000  -1.343181912619405e-001   1.039091217683886e+000
 9.349720670391046e-001  -9.825498341677568e-001  -1.350139107184351e-001   1.038914392992236e+000
 9.371508379888253e-001  -9.627621889232324e-001  -1.357037521423680e-001   1.038772859092232e+000
 9.393296089385459e-001  -9.430772588148783e-001  -1.363849827958461e-001   1.038670300927607e+000
 9.415083798882665e-001  -9.234973367325314e-001  -1.370551188307276e-001   1.038609286728043e+000
 9.436871508379872e-001  -9.040231820744862e-001  -1.377119736105775e-001   1.038591360491335e+000
 9.458659217877078e-001  -8.846541714743825e-001  -1.383536574040987e-001   1.038617165510030e+000
 9.480446927374284e-001  -8.653881898212692e-001  -1.389786381203387e-001   1.038686385362910e+000
 9.502234636871491e-001  -8.462218051467557e-001  -1.395857037588031e-001   1.038797865240277e+000
 9.524022346368697e-001  -8.271503779372151e-001  -1.401739153354268e-001   1.038949717492568e+000
 9.545810055865903e-001  -8.081679409716325e-001  -1.407425926960970e-001   1.039139318353674e+000
 9.567597765363110e-001  -7.892674665353556e-001  -1.412912690902808e-001   1.039363491361425e+000
 9.589385474860316e-001  -7.704410949302387e-001  -1.418196856515501e-001   1.039618613489724e+000
 9.611173184357522e-001  -7.516804301416303e-001  -1.423278368847910e-001   1.039900710131690e+000
 9.632960893854728e-001  -7.329769440034633e-001  -1.428159445883946e-001   1.040205640086426e+000
 9.654748603351935e-001  -7.143221414294741e-001  -1.432844385636408e-001   1.040529183152992e+000
 9.676536312849141e-001  -6.957077515840704e-001  -1.437339232603332e-001   1.040867163033135e+000
 9.698324022346347e-001  -6.771258088852241e-001  -1.441650927947314e-001   1.041215512303801e+000
 9.720111731843554e-001  -6.585687178738298e-001  -1.445786858327182e-001   1.041570309925004e+000
 9.741899441340760e-001  -6.400293561492310e-001  -1.449754043847369e-001   1.041927827518096e+000
 9.763687150837966e-001  -6.215010329546737e-001  -1.453558497377819e-001   1.042284515370213e+000
 9.785474860335173e-001  -6.029775264810577e-001  -1.457204697615949e-001   1.042637015660088e+000
 9.807262569832379e-001  -5.844531646777016e-001  -1.460694858715561e-001   1.042982177121225e+000
 9.829050279329585e-001  -5.659228100315208e-001  -1.464029017424298e-001   1.043317029852865e+000
 9.850837988826792e-001  -5.473819359685547e-001  -1.467204810998486e-001   1.043638795807486e+000
 9.872625698323998e-001  -5.288266682030645e-001  -1.470217660345170e-001   1.043944880816083e+000
 9.894413407821204e-001  -5.102537121750238e-001  -1.473061427642302e-001   1.044232834661399e+000
 9.916201117318411e-001  -4.916604020227046e-001  -1.475728728813095e-001   1.044500342204665e+000
 9.937988826815617e-001  -4.730446642379589e-001  -1.478211676951855e-001   1.044745181133961e+000
 9.959776536312823e-001  -4.544049022331015e-001  -1.480502273873661e-001   1.044965185818314e+000
 9.981564245810030e-001  -4.357399713972711e-001  -1.482592743653516e-001   1.045158222721999e+000
 1.000335195530724e+000  -4.170490328296358e-001  -1.484475771009635e-001   1.045322155337428e+000
 1.002513966480444e+000  -3.983314562229248e-001  -1.486144571778760e-001   1.045454829604132e+000
 1.004692737430165e+000  -3.795867546415595e-001  -1.487593083357873e-001   1.045554055127156e+000
 1.006871508379886e+000  -3.608145040223755e-001  -1.488816038638409e-001   1.045617597865793e+000
 1.009050279329607e+000  -3.420143103606986e-001  -1.489808995688483e-001   1.045643177423215e+000
 1.011229050279327e+000  -3.231857797672169e-001  -1.490568561921669e-001   1.045628453336067e+000
 1.013407821229048e+000  -3.043284961588185e-001  -1.491092444804312e-001   1.045571019404316e+000
 1.015586592178769e+000  -2.854420100461452e-001  -1.491379452392719e-001   1.045468401647441e+000
 1.017765363128490e+000  -2.665258170481444e-001  -1.491429627864810e-001   1.045318046231593e+000
 1.019944134078210e+000  -2.475793583821643e-001  -1.491243953612933e-001   1.045117335670257e+000
 1.022122905027931e+000  -2.286020244820319e-001  -1.490824220956259e-001   1.044863598707779e+000
 1.024301675977652e+000  -2.095931666675533e-001  -1.490172880847565e-001   1.044554128353873e+000
 1.026480446927373e+000  -1.905521313724394e-001  -1.489292883128964e-001   1.044186212667347e+000
 1.028659217877093e+000  -1.714782854062955e-001  -1.488187682344424e-001   1.043757152648803e+000
 1.030837988826814e+000  -1.523710723520470e-001  -1.486861396850368e-001   1.043264292463287e+000
 1.033016759776535e+000  -1.332300580187159e-001  -1.485318921816931e-001   1.042705035979547e+000
 1.035195530726256e+000  -1.140549808434878e-001  -1.483566132228371e-001   1.042076869527183e+000
 1.037374301675976e+000  -9.484583785863074e-002  -1.481610236194869e-001   1.041377409547462e+000
 1.039553072625697e+000  -7.560290134892098e-002  -1.479459819311123e-001   1.040604431807523e+000
 1.041731843575418e+000  -5.632677959707790e-002  -1.477125115334146e-001   1.039755927407231e+000
 1.043910614525138e+000  -3.701847815417964e-002  -1.474618235576090e-001   1.038830190574125e+000
 1.046089385474859e+000  -1.767938811662048e-002  -1.471953008591625e-001   1.037825850260298e+000
 1.048268156424580e+000   1.688645626852073e-003  -1.469145175955270e-001   1.036741972580562e+000
 1.050446927374301e+000   2.108329687596572e-002  -1.466212367462822e-001   1.035578165343515e+000
 1.052625698324021e+000   4.050179912239149e-002  -1.463173891921303e-001   1.034334591658732e+000
 1.054804469273742e+000   5.994089451852899e-002  -1.460050878988695e-001   1.033012110137632e+000
 1.056983240223463e+000   7.939686893418768e-002  -1.456866041252768e-001   1.031612338157369e+000
 1.059162011173184e+000   9.886561352737250e-002  -1.453643369573680e-001   1.030137640115148e+000
 1.061340782122904e+000   1.183426222776727e-001  -1.450407998289466e-001   1.028591281227511e+000
 1.063519553072625e+000   1.378231209177722e-001  -1.447185644817544e-001   1.026977434483771e+000
 1.065698324022346e+000   1.573021659266191e-001  -1.444002187823242e-001   1.025301161665660e+000
 1.067877094972067e+000   1.767747692572644e-001  -1.440883019537285e-001   1.023568565317534e+000
 1.070055865921787e+000   1.962360873626724e-001  -1.437852322755062e-001   1.021786700049522e+000
 1.072234636871508e+000   2.156815524039029e-001  -1.434932755298788e-001   1.019963522473783e+000
 1.074413407821229e+000   2.351071573690767e-001  -1.432144843609114e-001   1.018107934254625e+000
 1.076592178770950e+000   2.545096933795614e-001  -1.429507260072168e-001   1.016229579606238e+000
 1.078770949720670e+000   2.738869444097901e-001  -1.427036931558345e-001   1.014338768655694e+000
 1.080949720670391e+000   2.932381308491589e-001  -1.424749150638766e-001   1.012446400539493e+000
 1.083128491620112e+000   3.125639721834252e-001  -1.422657874449114e-001   1.010563759911274e+000
 1.085307262569833e+000   3.318668565770791e-001  -1.420775713528523e-001   1.008702427847869e+000
 1.087486033519553e+000   3.511511067110926e-001  -1.419113744233902e-001   1.006874123162790e+000
 1.089664804469274e+000   3.704227580675691e-001  -1.417681617280652e-001   1.005090530491879e+000
 1.091843575418995e+000   3.896896543749180e-001  -1.416487423373204e-001   1.003363169154433e+000
 1.094022346368716e+000   4.089615342078206e-001  -1.415537540991944e-001   1.001703152626028e+000
 1.096201117318436e+000   4.282498043071097e-001  -1.414836866366406e-001   1.000121059207346e+000
