---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.FileName = "LICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LICST.MarkerPositionFile.pz
 1.098379888268157e+000   4.475676450388821e-001  -1.414388776910748e-001   9.986267287101488e-001
 1.100558659217878e+000   4.669298817008282e-001  -1.414195473764836e-001   9.972290100965293e-001
 1.102737430167599e+000   4.863526007637152e-001  -1.414258423528594e-001   9.959357447299029e-001
 1.104916201117319e+000   5.058530405811336e-001  -1.414578593878451e-001   9.947535498454961e-001
 1.107094972067040e+000   5.254492238313118e-001  -1.415156658201834e-001   9.936877419888300e-001
 1.109273743016761e+000   5.451596552803869e-001  -1.415992949804034e-001   9.927424523710423e-001
 1.111452513966482e+000   5.650030903271062e-001  -1.417087256999020e-001   9.919205016198488e-001
 1.113631284916202e+000   5.849980931793797e-001  -1.418438432336015e-001   9.912235321990435e-001
 1.115810055865923e+000   6.051627240232971e-001  -1.420044317924993e-001   9.906521649458319e-001
 1.117988826815644e+000   6.255139774521981e-001  -1.421901507240490e-001   9.902059774241983e-001
 1.120167597765365e+000   6.460671130589183e-001  -1.424005794604766e-001   9.898837133799264e-001
 1.122346368715085e+000   6.668353172505607e-001  -1.426352574107085e-001   9.896833982755074e-001
 1.124525139664806e+000   6.878288181893739e-001  -1.428937448509001e-001   9.896023469745678e-001
 1.126703910614527e+000   7.090549108373923e-001  -1.431756927202544e-001   9.896372405424719e-001
 1.128882681564247e+000   7.305179497235107e-001  -1.434808602448565e-001   9.897841488292697e-001
 1.131061452513968e+000   7.522189291008059e-001  -1.438091260254288e-001   9.900384731279920e-001
 1.133240223463689e+000   7.741555013220767e-001  -1.441603581068682e-001   9.903951317246816e-001
 1.135418994413410e+000   7.963217219105870e-001  -1.445343250328394e-001   9.908486451193167e-001
 1.137597765363130e+000   8.187072438466623e-001  -1.449305148112182e-001   9.913932637454567e-001
 1.139776536312851e+000   8.412977674285918e-001  -1.453480745112302e-001   9.920230978539110e-001
 1.141955307262572e+000   8.640749943142531e-001  -1.457857380412915e-001   9.927321762040925e-001
 1.144134078212293e+000   8.870167901205890e-001  -1.462417000579402e-001   9.935145313737198e-001
 1.146312849162013e+000   9.100982596469500e-001  -1.467136041321588e-001   9.943642631950749e-001
 1.148491620111734e+000   9.332920976240036e-001  -1.471984568215069e-001   9.952755927750850e-001
 1.150670391061455e+000   9.565693113815951e-001  -1.476925455836425e-001   9.962429446571478e-001
 1.152849162011176e+000   9.798998848135629e-001  -1.481915385573658e-001   9.972609703835084e-001
 1.155027932960896e+000   1.003253108269111e+000  -1.486904642209444e-001   9.983246081263079e-001
 1.157206703910617e+000   1.026598150672633e+000  -1.491838067023365e-001   9.994291355243460e-001
 1.159385474860338e+000   1.049904475452100e+000  -1.496656667022929e-001   1.000570154757834e+000
 1.161564245810059e+000   1.073142309167571e+000  -1.501298443653568e-001   1.001743645821783e+000
 1.163743016759779e+000   1.096283240271225e+000  -1.505700544602144e-001   1.002945979336304e+000
 1.165921787709500e+000   1.119300443220961e+000  -1.509800831035449e-001   1.004173892982860e+000
 1.168100558659221e+000   1.142169279897005e+000  -1.513539869236999e-001   1.005424550796790e+000
 1.170279329608942e+000   1.164867632079452e+000  -1.516863239194520e-001   1.006695552516616e+000
 1.172458100558662e+000   1.187375926621614e+000  -1.519722510595880e-001   1.007984918289537e+000
 1.174636871508383e+000   1.209677710964450e+000  -1.522077775979393e-001   1.009291161464772e+000
 1.176815642458104e+000   1.231759613916605e+000  -1.523898527734299e-001   1.010613251344269e+000
 1.178994413407825e+000   1.253611255873777e+000  -1.525163770315271e-001   1.011950569884807e+000
 1.181173184357545e+000   1.275225668688168e+000  -1.525863787191587e-001   1.013302911173482e+000
 1.183351955307266e+000   1.296598927117963e+000  -1.525998889071647e-001   1.014670347522752e+000
 1.185530726256987e+000   1.317730015381228e+000  -1.525578800864227e-001   1.016053153994602e+000
 1.187709497206708e+000   1.338621001952497e+000  -1.524622727498469e-001   1.017451702356256e+000
 1.189888268156428e+000   1.359276486032275e+000  -1.523157002119239e-001   1.018866334000919e+000
 1.192067039106149e+000   1.379703449731171e+000  -1.521214214200717e-001   1.020297288194182e+000
 1.194245810055870e+000   1.399911160347273e+000  -1.518832139555786e-001   1.021744579902327e+000
 1.196424581005591e+000   1.419910595301838e+000  -1.516051881661394e-001   1.023207954807278e+000
 1.198603351955311e+000   1.439714277098165e+000  -1.512917170992802e-001   1.024686834528298e+000
 1.200782122905032e+000   1.459335993105446e+000  -1.509473411068952e-001   1.026180234785999e+000
 1.202960893854753e+000   1.478790368205766e+000  -1.505766889144455e-001   1.027686791292500e+000
 1.205139664804473e+000   1.498092697803183e+000  -1.501844399679141e-001   1.029204724932990e+000
 1.207318435754194e+000   1.517258651142037e+000  -1.497752721352409e-001   1.030731832824957e+000
 1.209497206703915e+000   1.536304025615906e+000  -1.493538297628006e-001   1.032265566019569e+000
 1.211675977653636e+000   1.555244572330776e+000  -1.489246917315682e-001   1.033803033058136e+000
 1.213854748603356e+000   1.574095743356293e+000  -1.484923319513684e-001   1.035341065650284e+000
 1.216033519553077e+000   1.592872585103868e+000  -1.480611053405739e-001   1.036876300001507e+000
 1.218212290502798e+000   1.611589555745331e+000  -1.476352072975508e-001   1.038405215782211e+000
 1.220391061452519e+000   1.630260399897385e+000  -1.472186347318557e-001   1.039924225572302e+000
 1.222569832402239e+000   1.648898158877847e+000  -1.468151789998676e-001   1.041429733614961e+000
 1.224748603351960e+000   1.667515033838694e+000  -1.464283717207096e-001   1.042918200450581e+000
 1.226927374301681e+000   1.686122404873957e+000  -1.460614729524630e-001   1.044386210351003e+000
 1.229106145251402e+000   1.704730898857355e+000  -1.457174818558636e-001   1.045830497462215e+000
 1.231284916201122e+000   1.723350328663516e+000  -1.453990963862114e-001   1.047248009282018e+000
 1.233463687150843e+000   1.741989851200500e+000  -1.451087326760722e-001   1.048635925678178e+000
 1.235642458100564e+000   1.760658083991538e+000  -1.448485374041172e-001   1.049991664165601e+000
 1.237821229050285e+000   1.779363204061036e+000  -1.446203559478237e-001   1.051312928977216e+000
 1.240000000000005e+000   1.798113201652194e+000  -1.444257735748794e-001   1.052597690930980e+000
