---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.FileName = "rfbk.txt"
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Search = 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px
col2  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py
col3  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
 8.897452229299357e-001  -2.013887750182840e+000  -2.936488653283874e-001   2.784262217236792e-001
 8.922292993630567e-001  -1.996608418151348e+000  -2.981951417640345e-001   2.866269162835124e-001
 8.947133757961777e-001  -1.979385128577306e+000  -3.028264965447123e-001   2.948466096415729e-001
 8.971974522292987e-001  -1.962393240243278e+000  -3.074175440184119e-001   3.031371212514470e-001
 8.996815286624197e-001  -1.945819976226124e+000  -3.118560833105470e-001   3.115710868841977e-001
 9.021656050955407e-001  -1.929804985361690e+000  -3.160612638265058e-001   3.202348242365440e-001
 9.046496815286617e-001  -1.914369113026166e+000  -3.199962627280042e-001   3.292089138280776e-001
 9.071337579617826e-001  -1.899391181908503e+000  -3.236522659755945e-001   3.385465068103770e-001
 9.096178343949036e-001  -1.884621228261696e+000  -3.270242933575287e-001   3.482612442030130e-001
 9.121019108280246e-001  -1.869726440714797e+000  -3.300835759107139e-001   3.583245521263042e-001
 9.145859872611456e-001  -1.854368801818054e+000  -3.327693954197047e-001   3.686790677078174e-001
 9.170700636942666e-001  -1.838263262186848e+000  -3.350052769707275e-001   3.792528639036256e-001
 9.195541401273876e-001  -1.821212496933778e+000  -3.367193592901667e-001   3.899702224892186e-001
 9.220382165605086e-001  -1.803124724943778e+000  -3.378677990721218e-001   4.007615389405425e-001
 9.245222929936295e-001  -1.784005594024964e+000  -3.384525998232482e-001   4.115751019569181e-001
 9.270063694267505e-001  -1.763936908074224e+000  -3.385283215472059e-001   4.223865077070675e-001
 9.294904458598715e-001  -1.743054740581175e+000  -3.381997197489378e-001   4.332033545915898e-001
 9.319745222929925e-001  -1.721523436043808e+000  -3.376079304226752e-001   4.440635699889270e-001
 9.344585987261135e-001  -1.699501401547055e+000  -3.368988794449687e-001   4.550186264748274e-001
 9.369426751592345e-001  -1.677103088277098e+000  -3.361940408832138e-001   4.661091056570096e-001
 9.394267515923555e-001  -1.654368428726735e+000  -3.355694044050728e-001   4.773433436822792e-001
 9.419108280254764e-001  -1.631245322223682e+000  -3.350437178869056e-001   4.886823670696890e-001
 9.443949044585974e-001  -1.607628369499309e+000  -3.345916209902129e-001   5.000560432993971e-001
 9.468789808917184e-001  -1.583412318180612e+000  -3.341671846386234e-001   5.113913799585240e-001
 9.493630573248394e-001  -1.558524915887297e+000  -3.337233481954902e-001   5.226327650554242e-001
 9.518471337579604e-001  -1.532925442314784e+000  -3.332238716974635e-001   5.337475421585701e-001
 9.543312101910814e-001  -1.506568435753405e+000  -3.326418936484012e-001   5.447139068065542e-001
 9.568152866242023e-001  -1.479393371304169e+000  -3.319599176196432e-001   5.555150101988332e-001
 9.592993630573233e-001  -1.451336545760197e+000  -3.311717063829425e-001   5.661339950109136e-001
 9.617834394904443e-001  -1.422373189125553e+000  -3.302854950889607e-001   5.765434657307088e-001
 9.642675159235653e-001  -1.392574143967620e+000  -3.293171152843409e-001   5.866730216984408e-001
 9.667515923566863e-001  -1.362157146070949e+000  -3.282746019249906e-001   5.963691732764643e-001
 9.692356687898073e-001  -1.331526402355539e+000  -3.271418808243476e-001   6.053617744716479e-001
 9.717197452229283e-001  -1.301283331862617e+000  -3.258660205736639e-001   6.132532179589911e-001
 9.742038216560492e-001  -1.272127331496487e+000  -3.243689935910947e-001   6.195888200800096e-001
 9.766878980891702e-001  -1.244703430298161e+000  -3.225701427817803e-001   6.239606715119599e-001
 9.791719745222912e-001  -1.219445517810732e+000  -3.204092072638416e-001   6.261116121747820e-001
 9.816560509554122e-001  -1.196448893895573e+000  -3.178633552710479e-001   6.260147365406260e-001
 9.841401273885332e-001  -1.175491972506461e+000  -3.149441589477665e-001   6.238533811720278e-001
 9.866242038216542e-001  -1.156111772441669e+000  -3.116883857507162e-001   6.199685271348319e-001
 9.891082802547752e-001  -1.137693093829948e+000  -3.081474127292789e-001   6.147988039425657e-001
 9.915923566878961e-001  -1.119553366754413e+000  -3.043774902819964e-001   6.088248935690830e-001
 9.940764331210171e-001  -1.100993173844931e+000  -3.004344520936075e-001   6.025372440830930e-001
 9.965605095541381e-001  -1.081325105849695e+000  -2.963718198760850e-001   5.964179444404502e-001
 9.990445859872591e-001  -1.059900694986484e+000  -2.922405620761084e-001   5.909238376118550e-001
 1.001528662420380e+000  -1.036153103998262e+000  -2.880904007755645e-001   5.864592820577976e-001
 1.004012738853501e+000  -1.009655449458464e+000  -2.839720581837951e-001   5.833382786860706e-001
 1.006496815286622e+000  -9.801823516487509e-001  -2.799381738189429e-001   5.817426838654023e-001
 1.008980891719743e+000  -9.477717772008218e-001  -2.760415479060269e-001   5.816767163106101e-001
 1.011464968152865e+000  -9.127577143907281e-001  -2.723262457442307e-001   5.829319624954452e-001
 1.013949044585986e+000  -8.756904197972717e-001  -2.688169322512356e-001   5.851273407501743e-001
 1.016433121019107e+000  -8.372304832002837e-001  -2.655229267806916e-001   5.877964343528591e-001
