---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.FileName = "RASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.pz
 8.500000000000000e-001  -1.803972225544247e+000  -4.193776172398828e-001   9.356888886812945e-001
 8.521787709497206e-001  -1.781924841843904e+000  -4.192570259576852e-001   9.352594457875378e-001
 8.543575418994412e-001  -1.759681292788177e+000  -4.190558132360063e-001   9.349071268082526e-001
 8.565363128491619e-001  -1.737255362448157e+000  -4.187775397312467e-001   9.346225200151539e-001
 8.587150837988825e-001  -1.714663220508358e+000  -4.184270777567731e-001   9.343960690239092e-001
 8.608938547486031e-001  -1.691923537895930e+000  -4.180106459044627e-001   9.342184010021672e-001
 8.630726256983238e-001  -1.669057002962099e+000  -4.175355727166328e-001   9.340805805861296e-001
 8.652513966480444e-001  -1.646086236834978e+000  -4.170102848110458e-001   9.339743211773554e-001
 8.674301675977650e-001  -1.623035575861012e+000  -4.164442899038133e-001   9.338923250520975e-001
 8.696089385474857e-001  -1.599930552679323e+000  -4.158479787840358e-001   9.338283267945254e-001
 8.717877094972063e-001  -1.576797694561656e+000  -4.152326196502041e-001   9.337772771847220e-001
 8.739664804469269e-001  -1.553664054668787e+000  -4.146102619681242e-001   9.337355034853686e-001
 8.761452513966476e-001  -1.530556766881797e+000  -4.139935181252315e-001   9.337005792549205e-001
 8.783240223463682e-001  -1.507502672418294e+000  -4.133954744653236e-001   9.336714465759042e-001
 8.805027932960888e-001  -1.484527739248683e+000  -4.128294344290613e-001   9.336483892203890e-001
 8.826815642458095e-001  -1.461656800524029e+000  -4.123086953692807e-001   9.336328329669028e-001
 8.848603351955301e-001  -1.438913051278414e+000  -4.118463099728326e-001   9.336273840782604e-001
 8.870391061452507e-001  -1.416317647772562e+000  -4.114547271941905e-001   9.336356286418475e-001
 8.892178770949714e-001  -1.393889651655930e+000  -4.111456078683414e-001   9.336619176089620e-001
 8.913966480446920e-001  -1.371645495733748e+000  -4.109294233179913e-001   9.337112812922230e-001
 8.935754189944126e-001  -1.349598825082379e+000  -4.108151791988526e-001   9.337891682231921e-001
 8.957541899441333e-001  -1.327760566285173e+000  -4.108103349302989e-001   9.339012830872870e-001
 8.979329608938539e-001  -1.306138470743841e+000  -4.109203696365831e-001   9.340534231473461e-001
 9.001117318435745e-001  -1.284737432129248e+000  -4.111487186807205e-001   9.342512610147896e-001
 9.022905027932952e-001  -1.263559648602189e+000  -4.114967788768246e-001   9.345002279135946e-001
 9.044692737430158e-001  -1.242604355134369e+000  -4.119635913827474e-001   9.348052948051121e-001
 9.066480446927364e-001  -1.221868015826811e+000  -4.125462109288171e-001   9.351708664140465e-001
 9.088268156424570e-001  -1.201344321796825e+000  -4.132398659796097e-001   9.356007084541249e-001
 9.110055865921777e-001  -1.181023862397670e+000  -4.140380465229379e-001   9.360977615349075e-001
 9.131843575418983e-001  -1.160894730466361e+000  -4.149329432853031e-001   9.366641634726538e-001
 9.153631284916189e-001  -1.140942727625170e+000  -4.159155841383891e-001   9.373011993735788e-001
 9.175418994413396e-001  -1.121151720467061e+000  -4.169759801706769e-001   9.380091811120119e-001
 9.197206703910602e-001  -1.101504356611680e+000  -4.181034448160732e-001   9.387875574227537e-001
 9.218994413407808e-001  -1.081982369164194e+000  -4.192867146607493e-001   9.396348828127817e-001
 9.240782122905015e-001  -1.062567088572940e+000  -4.205141750131858e-001   9.405488039996767e-001
 9.262569832402221e-001  -1.043239850109668e+000  -4.217741064880387e-001   9.415262417744176e-001
 9.284357541899427e-001  -1.023982280404939e+000  -4.230548576659414e-001   9.425634178179024e-001
 9.306145251396634e-001  -1.004776679395975e+000  -4.243451484428803e-001   9.436560043561879e-001
 9.327932960893840e-001  -9.856061475490576e-001  -4.256342235986208e-001   9.447993280919840e-001
 9.349720670391046e-001  -9.664548508933486e-001  -4.269120828301463e-001   9.459884808478518e-001
 9.371508379888253e-001  -9.473082808880824e-001  -4.281696810073402e-001   9.472185194019407e-001
 9.393296089385459e-001  -9.281532648951406e-001  -4.293988975111967e-001   9.484845761783729e-001
 9.415083798882665e-001  -9.089782651346995e-001  -4.305926919634705e-001   9.497819816463137e-001
 9.436871508379872e-001  -8.897734641819052e-001  -4.317450821324929e-001   9.511063751850739e-001
 9.458659217877078e-001  -8.705306577246331e-001  -4.328510471099605e-001   9.524537292903137e-001
 9.480446927374284e-001  -8.512434784969412e-001  -4.339066275153763e-001   9.538204436097916e-001
 9.502234636871491e-001  -8.319072779110692e-001  -4.349088356244413e-001   9.552033351517514e-001
 9.524022346368697e-001  -8.125189933756960e-001  -4.358555656498983e-001   9.565995978645420e-001
 9.545810055865903e-001  -7.930772962963535e-001  -4.367456528042711e-001   9.580068129914854e-001
 9.567597765363110e-001  -7.735823437173617e-001  -4.375787142521338e-001   9.594228541602713e-001
 9.589385474860316e-001  -7.540356249301087e-001  -4.383550607501214e-001   9.608458349420955e-001
 9.611173184357522e-001  -7.344399297850184e-001  -4.390756760318732e-001   9.622740676497875e-001
 9.632960893854728e-001  -7.147989787997429e-001  -4.397420426183885e-001   9.637059712527656e-001
 9.654748603351935e-001  -6.951172547165626e-001  -4.403560718559190e-001   9.651400228716613e-001
 9.676536312849141e-001  -6.753998016306758e-001  -4.409200428138332e-001   9.665746800231321e-001
 9.698324022346347e-001  -6.556519398114492e-001  -4.414364723974996e-001   9.680083088883166e-001
 9.720111731843554e-001  -6.358791465554742e-001  -4.419080541289286e-001   9.694391312003841e-001
 9.741899441340760e-001  -6.160869204408965e-001  -4.423375459855327e-001   9.708651218036368e-001
 9.763687150837966e-001  -5.962807471785437e-001  -4.427276433507464e-001   9.722839715685973e-001
 9.785474860335173e-001  -5.764660815965781e-001  -4.430808886035276e-001   9.736930293084499e-001
 9.807262569832379e-001  -5.566483254019256e-001  -4.433995332215135e-001   9.750892287012829e-001
 9.829050279329585e-001  -5.368327781160659e-001  -4.436855223532887e-001   9.764691322222399e-001
 9.850837988826792e-001  -5.170245732110297e-001  -4.439404409234496e-001   9.778289084605767e-001
 9.872625698323998e-001  -4.972285623283834e-001  -4.441654953397022e-001   9.791643584497081e-001
 9.894413407821204e-001  -4.774492795780567e-001  -4.443615689440392e-001   9.804709956175652e-001
 9.916201117318411e-001  -4.576908451622370e-001  -4.445292100812690e-001   9.817440615624411e-001
 9.937988826815617e-001  -4.379568745371134e-001  -4.446686777991523e-001   9.829786002846770e-001
 9.959776536312823e-001  -4.182504746341870e-001  -4.447800091418348e-001   9.841695299267286e-001
 9.981564245810030e-001  -3.985741292840631e-001  -4.448630427678696e-001   9.853116908540406e-001
 1.000335195530724e+000  -3.789296782039732e-001  -4.449174947990668e-001   9.863999270162674e-001
