---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.FileName = "RASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASIS.MarkerPositionFile.pz
 1.002513966480444e+000  -3.593183614002111e-001  -4.449430122450082e-001   9.874291267639236e-001
 1.004692737430165e+000  -3.397407421063292e-001  -4.449392240719594e-001   9.883942796786419e-001
 1.006871508379886e+000  -3.201967422758791e-001  -4.449058209182579e-001   9.892905201329432e-001
 1.009050279329607e+000  -3.006856729917564e-001  -4.448426009011598e-001   9.901131485954496e-001
 1.011229050279327e+000  -2.812061434708251e-001  -4.447495580876137e-001   9.908576976518598e-001
 1.013407821229048e+000  -2.617561033110477e-001  -4.446269304827514e-001   9.915199619056307e-001
 1.015586592178769e+000  -2.423328528782633e-001  -4.444752226893717e-001   9.920960163851944e-001
 1.017765363128490e+000  -2.229329444960010e-001  -4.442952789860393e-001   9.925822911705791e-001
 1.019944134078210e+000  -2.035522446269545e-001  -4.440882729515099e-001   9.929755612735427e-001
 1.022122905027931e+000  -1.841859607751742e-001  -4.438557113253007e-001   9.932729557641631e-001
 1.024301675977652e+000  -1.648286729316512e-001  -4.435994607387233e-001   9.934720038335742e-001
 1.026480446927373e+000  -1.454746794380399e-001  -4.433216500269014e-001   9.935705742380340e-001
 1.028659217877093e+000  -1.261182125476656e-001  -4.430246268219910e-001   9.935668692750785e-001
 1.030837988826814e+000  -1.067538781697908e-001  -4.427108682677038e-001   9.934594205602176e-001
 1.033016759776535e+000  -8.737681709321327e-002  -4.423829000329662e-001   9.932470393320899e-001
 1.035195530726256e+000  -6.798283643254202e-002  -4.420432563025168e-001   9.929288291854893e-001
 1.037374301675976e+000  -4.856843947864697e-002  -4.416944373844265e-001   9.925042200750233e-001
 1.039553072625697e+000  -2.913067054394092e-002  -4.413388925732348e-001   9.919729529528560e-001
 1.041731843575418e+000  -9.667084002674617e-003  -4.409789985510415e-001   9.913351264185687e-001
 1.043910614525138e+000   9.824361161795098e-003  -4.406170317971175e-001   9.905912478173780e-001
 1.046089385474859e+000   2.934541829073546e-002  -4.402551637052631e-001   9.897422197991513e-001
 1.048268156424580e+000   4.889759637940847e-002  -4.398954343579845e-001   9.887894122310892e-001
 1.050446927374301e+000   6.848224646019875e-002  -4.395397324869421e-001   9.877347083778252e-001
 1.052625698324021e+000   8.810061526947992e-002  -4.391897983059150e-001   9.865804847935046e-001
 1.054804469273742e+000   1.077538719331522e-001  -4.388471931886886e-001   9.853297014037985e-001
 1.056983240223463e+000   1.274431285721469e-001  -4.385132913509527e-001   9.839859170866109e-001
 1.059162011173184e+000   1.471694386168831e-001  -4.381892856721710e-001   9.825532599791098e-001
 1.061340782122904e+000   1.669337728916854e-001  -4.378761528903021e-001   9.810365185347444e-001
 1.063519553072625e+000   1.867369933060198e-001  -4.375746469760338e-001   9.794411203318946e-001
 1.065698324022346e+000   2.065798486835443e-001  -4.372852962993424e-001   9.777731124300281e-001
 1.067877094972067e+000   2.264629530148329e-001  -4.370083503950712e-001   9.760392664677622e-001
 1.070055865921787e+000   2.463868171923247e-001  -4.367437848401483e-001   9.742470555015247e-001
 1.072234636871508e+000   2.663518648547532e-001  -4.364913063986154e-001   9.724046582714354e-001
 1.074413407821229e+000   2.863584420231608e-001  -4.362503275973541e-001   9.705210844896326e-001
 1.076592178770950e+000   3.064068129161352e-001  -4.360200315250923e-001   9.686061114676585e-001
 1.078770949720670e+000   3.264971383974623e-001  -4.357994035855096e-001   9.666702895067494e-001
 1.080949720670391e+000   3.466294038259900e-001  -4.355872821663614e-001   9.647250159514942e-001
 1.083128491620112e+000   3.668033649829099e-001  -4.353824551002923e-001   9.627824069434594e-001
 1.085307262569833e+000   3.870184888285359e-001  -4.351837187524144e-001   9.608552875412713e-001
 1.087486033519553e+000   4.072738414169229e-001  -4.349899928116192e-001   9.589571756555877e-001
 1.089664804469274e+000   4.275680976890434e-001  -4.348003975276689e-001   9.571021197200973e-001
 1.091843575418995e+000   4.478995015411830e-001  -4.346143365502849e-001   9.553046579508946e-001
 1.094022346368716e+000   4.682658528482673e-001  -4.344316235558326e-001   9.535797059312804e-001
 1.096201117318436e+000   4.886645704570845e-001  -4.342524928846530e-001   9.519423861059529e-001
 1.098379888268157e+000   5.090926685893192e-001  -4.340776778782473e-001   9.504079175863327e-001
 1.100558659217878e+000   5.295467400624296e-001  -4.339084544105988e-001   9.489913768618606e-001
 1.102737430167599e+000   5.500230116013029e-001  -4.337465831909468e-001   9.477075241097192e-001
 1.104916201117319e+000   5.705173273933721e-001  -4.335943527252212e-001   9.465705617969711e-001
 1.107094972067040e+000   5.910252357651574e-001  -4.334545412363849e-001   9.455938085208813e-001
 1.109273743016761e+000   6.115420925143263e-001  -4.333303314194656e-001   9.447895500443386e-001
 1.111452513966482e+000   6.320631393981909e-001  -4.332253006674084e-001   9.441686279424076e-001
 1.113631284916202e+000   6.525836575592678e-001  -4.331432992982303e-001   9.437401045527493e-001
 1.115810055865923e+000   6.730990604717790e-001  -4.330883477921344e-001   9.435111653094838e-001
 1.117988826815644e+000   6.936050461593432e-001  -4.330645328300643e-001   9.434865723353773e-001
 1.120167597765365e+000   7.140977308179617e-001  -4.330758304824178e-001   9.436685318798296e-001
 1.122346368715085e+000   7.345737133084467e-001  -4.331259999669855e-001   9.440567015988058e-001
 1.124525139664806e+000   7.550302629131955e-001  -4.332183767571056e-001   9.446477254560114e-001
 1.126703910614527e+000   7.754653566440758e-001  -4.333557267166588e-001   9.454355035306575e-001
 1.128882681564247e+000   7.958776996096804e-001  -4.335401537403699e-001   9.464113237976204e-001
 1.131061452513968e+000   8.162668463777699e-001  -4.337728526419425e-001   9.475637379003964e-001
 1.133240223463689e+000   8.366330894212375e-001  -4.340540847706324e-001   9.488791453003558e-001
 1.135418994413410e+000   8.569774319164392e-001  -4.343831137120873e-001   9.503420085998816e-001
 1.137597765363130e+000   8.773015790741128e-001  -4.347580332350077e-001   9.519350984700730e-001
 1.139776536312851e+000   8.976077548337594e-001  -4.351758972342771e-001   9.536400954683002e-001
 1.141955307262572e+000   9.178986380827834e-001  -4.356326980660069e-001   9.554378481527703e-001
 1.144134078212293e+000   9.381772414979447e-001  -4.361233469319663e-001   9.573088158408855e-001
 1.146312849162013e+000   9.584467517471785e-001  -4.366418918044333e-001   9.592334804030619e-001
 1.148491620111734e+000   9.787104448432114e-001  -4.371815498814535e-001   9.611926331841023e-001
 1.150670391061455e+000   9.989715439937893e-001  -4.377348419245903e-001   9.631678206986831e-001
 1.152849162011176e+000   1.019233132197153e+000  -4.382938192865715e-001   9.651415208381754e-001
 1.155027932960896e+000   1.039498057149668e+000  -4.388501670300693e-001   9.670974521902584e-001
 1.157206703910617e+000   1.059768815430019e+000  -4.393954337521158e-001   9.690208925549478e-001
 1.159385474860338e+000   1.080047530672149e+000  -4.399212034820590e-001   9.708986612936678e-001
 1.161564245810059e+000   1.100335856669240e+000  -4.404192673480127e-001   9.727194192984712e-001
 1.163743016759779e+000   1.120634924744546e+000  -4.408818381637798e-001   9.744737594056241e-001
 1.165921787709500e+000   1.140945363563344e+000  -4.413016330149060e-001   9.761540567005342e-001
 1.168100558659221e+000   1.161267208147866e+000  -4.416720759164223e-001   9.777546913741261e-001
 1.170279329608942e+000   1.181599887902589e+000  -4.419874168470742e-001   9.792719130928984e-001
 1.172458100558662e+000   1.201942246349194e+000  -4.422427454474048e-001   9.807036515790450e-001
 1.174636871508383e+000   1.222292435043165e+000  -4.424341876190405e-001   9.820496325706650e-001
 1.176815642458104e+000   1.242647941385406e+000  -4.425588967327609e-001   9.833111036662128e-001
 1.178994413407825e+000   1.263005623885196e+000  -4.426150230620547e-001   9.844906527600806e-001
 1.181173184357545e+000   1.283361653839616e+000  -4.426018496396784e-001   9.855921882037845e-001
 1.183351955307266e+000   1.303711637985712e+000  -4.425196551671774e-001   9.866205953570086e-001
 1.185530726256987e+000   1.324050681454494e+000  -4.423696587043993e-001   9.875815723040814e-001
 1.187709497206708e+000   1.344373434252715e+000  -4.421540532019354e-001   9.884814756713718e-001
 1.189888268156428e+000   1.364674260000014e+000  -4.418758127705574e-001   9.893270349232410e-001
 1.192067039106149e+000   1.384947314942286e+000  -4.415386370371113e-001   9.901252236513246e-001
 1.194245810055870e+000   1.405186671282536e+000  -4.411469084627770e-001   9.908830767034409e-001
 1.196424581005591e+000   1.425386432644687e+000  -4.407055147815766e-001   9.916075518157541e-001
 1.198603351955311e+000   1.445540807673447e+000  -4.402197970568106e-001   9.923054424478187e-001
 1.200782122905032e+000   1.465644229274573e+000  -4.396954657434793e-001   9.929832510398122e-001
 1.202960893854753e+000   1.485691403972744e+000  -4.391384781054794e-001   9.936471550195237e-001
 1.205139664804473e+000   1.505677390117829e+000  -4.385549920522386e-001   9.943029320202604e-001
 1.207318435754194e+000   1.525597706435880e+000  -4.379512852846966e-001   9.949558597297690e-001
 1.209497206703915e+000   1.545448341103066e+000  -4.373336858488542e-001   9.956107174567572e-001
 1.211675977653636e+000   1.565225850914903e+000  -4.367085246024131e-001   9.962716912105869e-001
 1.213854748603356e+000   1.584927456142584e+000  -4.360820591337893e-001   9.969422949239785e-001
 1.216033519553077e+000   1.604551026531761e+000  -4.354604276698278e-001   9.976254011904270e-001
 1.218212290502798e+000   1.624095208938287e+000  -4.348495757557939e-001   9.983231328204686e-001
 1.220391061452519e+000   1.643559481660533e+000  -4.342551710658806e-001   9.990368325064808e-001
 1.222569832402239e+000   1.662944112914712e+000  -4.336825755111105e-001   9.997671130096844e-001
 1.224748603351960e+000   1.682250291555629e+000  -4.331367442413137e-001   1.000513750728290e+000
 1.226927374301681e+000   1.701480116790729e+000  -4.326221790254085e-001   1.001275723365290e+000
 1.229106145251402e+000   1.720636556457808e+000  -4.321429295291894e-001   1.002051279653880e+000
 1.231284916201122e+000   1.739723586938229e+000  -4.317025008835736e-001   1.002837880825347e+000
 1.233463687150843e+000   1.758746161674756e+000  -4.313038808785703e-001   1.003632334830096e+000
 1.235642458100564e+000   1.777710197686362e+000  -4.309495676758645e-001   1.004430888420301e+000
 1.237821229050285e+000   1.796622747219475e+000  -4.306415286232607e-001   1.005229273666133e+000
 1.240000000000005e+000   1.815491953765251e+000  -4.303812952919968e-001   1.006022897403220e+000
