---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 9.545810055865903e-001  -9.472045044455303e-001  -2.411916937473602e-001   1.260324597606869e+000
 9.567597765363110e-001  -9.277261976739896e-001  -2.406523770692503e-001   1.261664408895208e+000
 9.589385474860316e-001  -9.082460889132424e-001  -2.401524993467466e-001   1.263018964242736e+000
 9.611173184357522e-001  -8.887649205585186e-001  -2.396963715972365e-001   1.264376758487764e+000
 9.632960893854728e-001  -8.692841183475780e-001  -2.392871558651567e-001   1.265726419419471e+000
 9.654748603351935e-001  -8.498056121837437e-001  -2.389268899288670e-001   1.267056901016965e+000
 9.676536312849141e-001  -8.303315467665066e-001  -2.386163858411290e-001   1.268357809724669e+000
 9.698324022346347e-001  -8.108639638563594e-001  -2.383553790922656e-001   1.269619513954839e+000
 9.720111731843554e-001  -7.914046275173544e-001  -2.381425142708209e-001   1.270833264362809e+000
 9.741899441340760e-001  -7.719547720616179e-001  -2.379752625208381e-001   1.271991406797480e+000
 9.763687150837966e-001  -7.525151000112533e-001  -2.378500886223466e-001   1.273087307882334e+000
 9.785474860335173e-001  -7.330857356125968e-001  -2.377624350909912e-001   1.274115431363710e+000
 9.807262569832379e-001  -7.136662360506565e-001  -2.377067515843675e-001   1.275071404861533e+000
 9.829050279329585e-001  -6.942557297844804e-001  -2.376767256172346e-001   1.275951845209784e+000
 9.850837988826792e-001  -6.748529541127285e-001  -2.376653395402020e-001   1.276754389252629e+000
 9.872625698323998e-001  -6.554563693062838e-001  -2.376650747660892e-001   1.277477627886003e+000
 9.894413407821204e-001  -6.360642802686969e-001  -2.376681395614958e-001   1.278120920277871e+000
 9.916201117318411e-001  -6.166749129630471e-001  -2.376666205235705e-001   1.278684382655219e+000
 9.937988826815617e-001  -5.972865360648128e-001  -2.376527426342455e-001   1.279168754365224e+000
 9.959776536312823e-001  -5.778975133705668e-001  -2.376190096452563e-001   1.279575246933977e+000
