---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.FileName = "LFTM2.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LFTM2.MarkerPositionFile.pz
 8.500000000000000e-001  -1.791731365041636e+000  -2.121292886092801e-001   3.455206549505644e-001
 8.521787709497206e-001  -1.749489177702384e+000  -2.082370528449123e-001   3.382686455935136e-001
 8.543575418994412e-001  -1.706920614907852e+000  -2.044720253849491e-001   3.317574841696385e-001
 8.565363128491619e-001  -1.664079242200856e+000  -2.008559092786530e-001   3.260048740291808e-001
 8.587150837988825e-001  -1.621019270424686e+000  -1.974097794859889e-001   3.210223382628030e-001
 8.608938547486031e-001  -1.577794934172659e+000  -1.941535622029001e-001   3.168146032664885e-001
 8.630726256983238e-001  -1.534459903285752e+000  -1.911058198678920e-001   3.133805561158206e-001
 8.652513966480444e-001  -1.491066837483025e+000  -1.882834569229052e-001   3.107131802088877e-001
 8.674301675977650e-001  -1.447666640290052e+000  -1.857012607522049e-001   3.087995891233480e-001
 8.696089385474857e-001  -1.404308266261850e+000  -1.833719698800138e-001   3.076221524631754e-001
 8.717877094972063e-001  -1.361038289964672e+000  -1.813060009879389e-001   3.071585591833034e-001
 8.739664804469269e-001  -1.317900460506666e+000  -1.795111962909895e-001   3.073822996352055e-001
 8.761452513966476e-001  -1.274935860572966e+000  -1.779930435679267e-001   3.082636295632607e-001
 8.783240223463682e-001  -1.232182537688065e+000  -1.767544084930425e-001   3.097697565295939e-001
 8.805027932960888e-001  -1.189675395997550e+000  -1.757954849289219e-001   3.118655246297244e-001
 8.826815642458095e-001  -1.147446555062803e+000  -1.751140924461148e-001   3.145140939020749e-001
 8.848603351955301e-001  -1.105525116697452e+000  -1.747054618597876e-001   3.176772399048611e-001
 8.870391061452507e-001  -1.063937390442525e+000  -1.745624064126159e-001   3.213159892751836e-001
 8.892178770949714e-001  -1.022707227470097e+000  -1.746756209607187e-001   3.253910215294995e-001
 8.913966480446920e-001  -9.818558462106896e-001  -1.750335545564325e-001   3.298630444239267e-001
