---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.FileName = "LTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.pz
 9.698324022346347e-001  -5.310607645655514e-001  -1.002656466641153e-001   8.223571902946627e-001
 9.720111731843554e-001  -5.133582479857821e-001  -9.993386226569699e-002   8.193323367472463e-001
 9.741899441340760e-001  -4.957226987248844e-001  -9.964277545439694e-002   8.163372645815002e-001
 9.763687150837966e-001  -4.781502709846658e-001  -9.939498653211415e-002   8.133780613079206e-001
 9.785474860335173e-001  -4.606367067534716e-001  -9.919280459637427e-002   8.104608098191769e-001
 9.807262569832379e-001  -4.431773059278543e-001  -9.903821499765314e-002   8.075915736937294e-001
 9.829050279329585e-001  -4.257670003594137e-001  -9.893288631198188e-002   8.047763693044924e-001
 9.850837988826792e-001  -4.084003521882887e-001  -9.887811345403506e-002   8.020211278782679e-001
 9.872625698323998e-001  -3.910716030802564e-001  -9.887473159804773e-002   7.993316074205458e-001
 9.894413407821204e-001  -3.737747570238183e-001  -9.892310950761966e-002   7.967133234906569e-001
 9.916201117318411e-001  -3.565036064277458e-001  -9.902304769126702e-002   7.941714263112695e-001
 9.937988826815617e-001  -3.392518034958943e-001  -9.917370968280394e-002   7.917105180046565e-001
 9.959776536312823e-001  -3.220129236238972e-001  -9.937366392152426e-002   7.893345804182792e-001
 9.981564245810030e-001  -3.047805189505782e-001  -9.962080349088000e-002   7.870467572273772e-001
 1.000335195530724e+000  -2.875482269982192e-001  -9.991239633754910e-002   7.848492004397191e-001
 1.002513966480444e+000  -2.703098545971250e-001  -1.002451767788567e-001   7.827430521597810e-001
 1.004692737430165e+000  -2.530595332556858e-001  -1.006153467669888e-001   7.807281950458587e-001
 1.006871508379886e+000  -2.357918902297825e-001  -1.010187142889476e-001   7.788031997715362e-001
 1.009050279329607e+000  -2.185021234722705e-001  -1.014507873908923e-001   7.769653448010520e-001
 1.011229050279327e+000  -2.011862185925033e-001  -1.019068478060045e-001   7.752103842810636e-001
 1.013407821229048e+000  -1.838409632623352e-001  -1.023820918191727e-001   7.735326690711172e-001
 1.015586592178769e+000  -1.664639420000999e-001  -1.028717043764271e-001   7.719252185551363e-001
 1.017765363128490e+000  -1.490536380967577e-001  -1.033709699089472e-001   7.703796339686601e-001
 1.019944134078210e+000  -1.316093301135327e-001  -1.038753384417571e-001   7.688863629779019e-001
 1.022122905027931e+000  -1.141310863410451e-001  -1.043804585363054e-001   7.674347937460815e-001
 1.024301675977652e+000  -9.661985737512840e-002  -1.048822310984135e-001   7.660133128486851e-001
 1.026480446927373e+000  -7.907740404570746e-002  -1.053767788188126e-001   7.646095824443914e-001
 1.028659217877093e+000  -6.150633989177505e-002  -1.058604443385127e-001   7.632106398831687e-001
 1.030837988826814e+000  -4.391024788852370e-002  -1.063297832505704e-001   7.618030558185654e-001
 1.033016759776535e+000  -2.629358847359622e-002  -1.067815062155413e-001   7.603731662149910e-001
 1.035195530726256e+000  -8.661756285184851e-003  -1.072124603132802e-001   7.589072042262595e-001
 1.037374301675976e+000   8.978872801678334e-003  -1.076195901920556e-001   7.573915554374401e-001
 1.039553072625697e+000   2.662109402454925e-002  -1.079999150098817e-001   7.558129540483918e-001
 1.041731843575418e+000   4.425685645533757e-002  -1.083505356400942e-001   7.541587091944910e-001
 1.043910614525138e+000   6.187736641945786e-002  -1.086686892427138e-001   7.524170599295927e-001
 1.046089385474859e+000   7.947329203536488e-002  -1.089518116204730e-001   7.505773144907324e-001
 1.048268156424580e+000   9.703484908200000e-002  -1.091976504208491e-001   7.486302071956275e-001
 1.050446927374301e+000   1.145520386137997e-001  -1.094044482274621e-001   7.465682543220366e-001
 1.052625698324021e+000   1.320148318091268e-001  -1.095710319774553e-001   7.443858016309066e-001
 1.054804469273742e+000   1.494133686807868e-001  -1.096970485585977e-001   7.420794864278636e-001
 1.056983240223463e+000   1.667382297777969e-001  -1.097831534785416e-001   7.396484321770848e-001
 1.059162011173184e+000   1.839805709905857e-001  -1.098310424168120e-001   7.370941785599182e-001
 1.061340782122904e+000   2.011324237865566e-001  -1.098437134895702e-001   7.344211214298493e-001
 1.063519553072625e+000   2.181868810727600e-001  -1.098254543411191e-001   7.316363906847829e-001
 1.065698324022346e+000   2.351381627017154e-001  -1.097817594073628e-001   7.287496783000140e-001
 1.067877094972067e+000   2.519819285993860e-001  -1.097194186179884e-001   7.257734813473539e-001
 1.070055865921787e+000   2.687152711825561e-001  -1.096462095320588e-001   7.227226443845056e-001
 1.072234636871508e+000   2.853367186903223e-001  -1.095706914959009e-001   7.196140997392438e-001
 1.074413407821229e+000   3.018464498844677e-001  -1.095019372707136e-001   7.164667283734845e-001
 1.076592178770950e+000   3.182461113031518e-001  -1.094490406882165e-001   7.133006732277190e-001
 1.078770949720670e+000   3.345388027268321e-001  -1.094208317071953e-001   7.101369991014195e-001
 1.080949720670391e+000   3.507291965680724e-001  -1.094253625357246e-001   7.069971592842977e-001
 1.083128491620112e+000   3.668233766445522e-001  -1.094697099350466e-001   7.039024112237760e-001
 1.085307262569833e+000   3.828289257054987e-001  -1.095597959202476e-001   7.008734439076807e-001
 1.087486033519553e+000   3.987552151886317e-001  -1.097001601405440e-001   6.979297407459604e-001
 1.089664804469274e+000   4.146134298944857e-001  -1.098940657930535e-001   6.950893691161915e-001
 1.091843575418995e+000   4.304168639180193e-001  -1.101433647160886e-001   6.923686632964425e-001
 1.094022346368716e+000   4.461813483463668e-001  -1.104482448869487e-001   6.897818859717225e-001
 1.096201117318436e+000   4.619249394550478e-001  -1.108072947624390e-001   6.873414321856508e-001
 1.098379888268157e+000   4.776679617343868e-001  -1.112172975295030e-001   6.850576815335123e-001
 1.100558659217878e+000   4.934323295109883e-001  -1.116732911196983e-001   6.829390819083224e-001
 1.102737430167599e+000   5.092406035699345e-001  -1.121690246166951e-001   6.809924824062554e-001
 1.104916201117319e+000   5.251151902821309e-001  -1.126971595509832e-001   6.792231106790385e-001
 1.107094972067040e+000   5.410770924742230e-001  -1.132498572065868e-001   6.776347887238303e-001
 1.109273743016761e+000   5.571454448219761e-001  -1.138191276856644e-001   6.762301757327757e-001
 1.111452513966482e+000   5.733366732790006e-001  -1.143971452437032e-001   6.750107599810239e-001
 1.113631284916202e+000   5.896642932156516e-001  -1.149764846706943e-001   6.739770221943793e-001
 1.115810055865923e+000   6.061391508185091e-001  -1.155501727771495e-001   6.731285619660131e-001
 1.117988826815644e+000   6.227692320734153e-001  -1.161118239129099e-001   6.724640487955624e-001
 1.120167597765365e+000   6.395601594670345e-001  -1.166556429036887e-001   6.719813407311757e-001
 1.122346368715085e+000   6.565154716346786e-001  -1.171764127297640e-001   6.716775648236327e-001
 1.124525139664806e+000   6.736365783511580e-001  -1.176695896428770e-001   6.715490892556616e-001
 1.126703910614527e+000   6.909230728051748e-001  -1.181312571622186e-001   6.715916701758790e-001
 1.128882681564247e+000   7.083728428444178e-001  -1.185581158451980e-001   6.718005160333394e-001
 1.131061452513968e+000   7.259819707740793e-001  -1.189475615077166e-001   6.721703033784464e-001
 1.133240223463689e+000   7.437450714385208e-001  -1.192976094630611e-001   6.726952783506346e-001
 1.135418994413410e+000   7.616554086370274e-001  -1.196068929230447e-001   6.733692655283918e-001
 1.137597765363130e+000   7.797050168576338e-001  -1.198747142985513e-001   6.741856067151157e-001
 1.139776536312851e+000   7.978850895472262e-001  -1.201009533542642e-001   6.751371512044859e-001
 1.141955307262572e+000   8.161861240845919e-001  -1.202860746546667e-001   6.762161864073103e-001
 1.144134078212293e+000   8.345981491930750e-001  -1.204311503824972e-001   6.774142912622221e-001
 1.146312849162013e+000   8.531109612614697e-001  -1.205377684720067e-001   6.787223692957426e-001
 1.148491620111734e+000   8.717142198855117e-001  -1.206080526335615e-001   6.801305821973590e-001
 1.150670391061455e+000   8.903974785836923e-001  -1.206446920192897e-001   6.816283267927243e-001
 1.152849162011176e+000   9.091499686896059e-001  -1.206509219051301e-001   6.832043955982562e-001
 1.155027932960896e+000   9.279603309021881e-001  -1.206306114203548e-001   6.848470156643189e-001
 1.157206703910617e+000   9.468162238798005e-001  -1.205883088648195e-001   6.865440619063622e-001
 1.159385474860338e+000   9.657045816316872e-001  -1.205290695023815e-001   6.882832831947316e-001
 1.161564245810059e+000   9.846118572574418e-001  -1.204583535011360e-001   6.900525010345328e-001
 1.163743016759779e+000   1.003525087519411e+000  -1.203816196704120e-001   6.918399092330191e-001
 1.165921787709500e+000   1.022432654378243e+000  -1.203040185405990e-001   6.936342147607882e-001
 1.168100558659221e+000   1.041325511287815e+000  -1.202299550508979e-001   6.954249086423138e-001
 1.170279329608942e+000   1.060198494743749e+000  -1.201625969505479e-001   6.972024633825017e-001
 1.172458100558662e+000   1.079050676395897e+000  -1.201037348573407e-001   6.989583606935995e-001
 1.174636871508383e+000   1.097886553054726e+000  -1.200533683381689e-001   7.006853238454514e-001
 1.176815642458104e+000   1.116714879895259e+000  -1.200100539976527e-001   7.023771936346985e-001
 1.178994413407825e+000   1.135547415585984e+000  -1.199712888692999e-001   7.040288070247246e-001
 1.181173184357545e+000   1.154397210872160e+000  -1.199340083768817e-001   7.056359825795721e-001
 1.183351955307266e+000   1.173276831300340e+000  -1.198951470752298e-001   7.071953466720948e-001
 1.185530726256987e+000   1.192197749685447e+000  -1.198518303355529e-001   7.087042963712369e-001
 1.187709497206708e+000   1.211169725092115e+000  -1.198015535079756e-001   7.101610958625727e-001
 1.189888268156428e+000   1.230200934281735e+000  -1.197421508584676e-001   7.115647859827252e-001
 1.192067039106149e+000   1.249297944571238e+000  -1.196717931715831e-001   7.129151777691681e-001
 1.194245810055870e+000   1.268465554702155e+000  -1.195889959632315e-001   7.142128760410308e-001
 1.196424581005591e+000   1.287707034985625e+000  -1.194925512389939e-001   7.154591014414096e-001
 1.198603351955311e+000   1.307024109479452e+000  -1.193815195037135e-001   7.166556381154776e-001
 1.200782122905032e+000   1.326416945223959e+000  -1.192552263610175e-001   7.178047137762138e-001
 1.202960893854753e+000   1.345884462163451e+000  -1.191132285894215e-001   7.189087989695925e-001
 1.205139664804473e+000   1.365424371577981e+000  -1.189553298834430e-001   7.199704958879593e-001
 1.207318435754194e+000   1.385033361265469e+000  -1.187816023277143e-001   7.209923276421827e-001
 1.209497206703915e+000   1.404707410126677e+000  -1.185923599045397e-001   7.219766105931217e-001
 1.211675977653636e+000   1.424441922751478e+000  -1.183881811077176e-001   7.229253165949773e-001
 1.213854748603356e+000   1.444232046129627e+000  -1.181699027332180e-001   7.238399382679494e-001
 1.216033519553077e+000   1.464072916455655e+000  -1.179385774866723e-001   7.247215018575577e-001
 1.218212290502798e+000   1.483959900982231e+000  -1.176954767999763e-001   7.255704948736858e-001
 1.220391061452519e+000   1.503888920025478e+000  -1.174420493546077e-001   7.263869133105473e-001
 1.222569832402239e+000   1.523856584397684e+000  -1.171798823089476e-001   7.271703572119282e-001
 1.224748603351960e+000   1.543860503886453e+000  -1.169106897562678e-001   7.279200606002659e-001
 1.226927374301681e+000   1.563899463369281e+000  -1.166362833498032e-001   7.286350256006210e-001
 1.229106145251402e+000   1.583973448322881e+000  -1.163585550007556e-001   7.293141068680413e-001
 1.231284916201122e+000   1.604083931003203e+000  -1.160794728489778e-001   7.299560889324406e-001
 1.233463687150843e+000   1.624233883382144e+000  -1.158010507538058e-001   7.305597754986236e-001
 1.235642458100564e+000   1.644427781676547e+000  -1.155253237692729e-001   7.311240277389807e-001
 1.237821229050285e+000   1.664671903771031e+000  -1.152543080685405e-001   7.316478223998419e-001
 1.240000000000005e+000   1.684974256791339e+000  -1.149899521348045e-001   7.321302701343979e-001
