---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.FileName = "LTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTH1.MarkerPositionFile.pz
 8.500000000000000e-001  -1.632931764792080e+000  -9.205132576053078e-002   7.960896403382209e-001
 8.521787709497206e-001  -1.610046903179730e+000  -9.350516743694827e-002   8.009474603254538e-001
 8.543575418994412e-001  -1.587353885458733e+000  -9.491490923150354e-002   8.058280383276679e-001
 8.565363128491619e-001  -1.564846472204609e+000  -9.627592637967725e-002   8.107166333106493e-001
 8.587150837988825e-001  -1.542518172403534e+000  -9.758422907654824e-002   8.155976816872642e-001
 8.608938547486031e-001  -1.520363689966153e+000  -9.883660934748587e-002   8.204544232399001e-001
 8.630726256983238e-001  -1.498379140289064e+000  -1.000305577135397e-001   8.252689887207112e-001
 8.652513966480444e-001  -1.476561910128004e+000  -1.011642415446434e-001   8.300224205942304e-001
 8.674301675977650e-001  -1.454909075158585e+000  -1.022362987966712e-001   8.346950137518269e-001
 8.696089385474857e-001  -1.433415808927554e+000  -1.032455275490581e-001   8.392668246032906e-001
 8.717877094972063e-001  -1.412074215602438e+000  -1.041907413661264e-001   8.437179675282825e-001
 8.739664804469269e-001  -1.390873109530277e+000  -1.050708002177794e-001   8.480289033845263e-001
 8.761452513966476e-001  -1.369799671508376e+000  -1.058848665241972e-001   8.521804250123053e-001
 8.783240223463682e-001  -1.348840645923061e+000  -1.066326929235147e-001   8.561537067921313e-001
 8.805027932960888e-001  -1.327983962629037e+000  -1.073148846897968e-001   8.599304332975895e-001
 8.826815642458095e-001  -1.307218715361008e+000  -1.079327371435793e-001   8.634929792584426e-001
 8.848603351955301e-001  -1.286535164044137e+000  -1.084881593457753e-001   8.668247803544682e-001
 8.870391061452507e-001  -1.265924194651890e+000  -1.089833174092407e-001   8.699107448788191e-001
 8.892178770949714e-001  -1.245377259849998e+000  -1.094204713583248e-001   8.727373226253563e-001
 8.913966480446920e-001  -1.224886570070000e+000  -1.098018425254010e-001   8.752929082830301e-001
 8.935754189944126e-001  -1.204445437797739e+000  -1.101295892323044e-001   8.775678944613410e-001
 8.957541899441333e-001  -1.184048368045225e+000  -1.104058065071842e-001   8.795546110552525e-001
 8.979329608938539e-001  -1.163691396487813e+000  -1.106325133204265e-001   8.812476567988344e-001
 9.001117318435745e-001  -1.143372043006978e+000  -1.108115897477493e-001   8.826437884293219e-001
 9.022905027932952e-001  -1.123089264549179e+000  -1.109447365798212e-001   8.837418469025067e-001
 9.044692737430158e-001  -1.102843622284579e+000  -1.110333789229059e-001   8.845430104771191e-001
 9.066480446927364e-001  -1.082637027666271e+000  -1.110786856877014e-001   8.850504864227549e-001
 9.088268156424570e-001  -1.062472629440764e+000  -1.110815917830236e-001   8.852694030390108e-001
 9.110055865921777e-001  -1.042354741844327e+000  -1.110428385543887e-001   8.852068402105053e-001
 9.131843575418983e-001  -1.022288541799301e+000  -1.109630830955889e-001   8.848713998052187e-001
 9.153631284916189e-001  -1.002279939519136e+000  -1.108429495754964e-001   8.842730865375269e-001
 9.175418994413396e-001  -9.823353338013682e-001  -1.106830996660553e-001   8.834231919898700e-001
 9.197206703910602e-001  -9.624611433542949e-001  -1.104842539784368e-001   8.823339800993518e-001
 9.218994413407808e-001  -9.426635126786930e-001  -1.102472165959209e-001   8.810186107012737e-001
 9.240782122905015e-001  -9.229478710014567e-001  -1.099729304262410e-001   8.794909997011441e-001
 9.262569832402221e-001  -9.033189293094955e-001  -1.096625143089084e-001   8.777655665035000e-001
 9.284357541899427e-001  -8.837806157733092e-001  -1.093173254706698e-001   8.758571258858937e-001
 9.306145251396634e-001  -8.643362298620038e-001  -1.089390606623474e-001   8.737806631115611e-001
 9.327932960893840e-001  -8.449886608568911e-001  -1.085297797983895e-001   8.715511597586486e-001
 9.349720670391046e-001  -8.257404712268699e-001  -1.080919913895826e-001   8.691834425934027e-001
 9.371508379888253e-001  -8.065938963170939e-001  -1.076286720477577e-001   8.666919739914907e-001
 9.393296089385459e-001  -7.875507417484365e-001  -1.071431735953280e-001   8.640907664718178e-001
 9.415083798882665e-001  -7.686121342554487e-001  -1.066391916751644e-001   8.613932046214328e-001
 9.436871508379872e-001  -7.497781334243940e-001  -1.061205965271990e-001   8.586119664046624e-001
 9.458659217877078e-001  -7.310477256778457e-001  -1.055913536938419e-001   8.557590577384663e-001
 9.480446927374284e-001  -7.124186734487830e-001  -1.050554738382369e-001   8.528457106119664e-001
 9.502234636871491e-001  -6.938880857818267e-001  -1.045170579493473e-001   8.498823962532223e-001
 9.524022346368697e-001  -6.754527652602433e-001  -1.039803139187127e-001   8.468788671229987e-001
 9.545810055865903e-001  -6.571096016178022e-001  -1.034495923491060e-001   8.438440707959013e-001
 9.567597765363110e-001  -6.388556881049944e-001  -1.029293089856443e-001   8.407862843682336e-001
 9.589385474860316e-001  -6.206883181234775e-001  -1.024238904884032e-001   8.377131986613459e-001
 9.611173184357522e-001  -6.026049468410767e-001  -1.019376814729612e-001   8.346319601934624e-001
 9.632960893854728e-001  -5.846030811359610e-001  -1.014748778979289e-001   8.315493463495964e-001
 9.654748603351935e-001  -5.666802161206348e-001  -1.010394877947776e-001   8.284718425177600e-001
 9.676536312849141e-001  -5.488337215311521e-001  -1.006352522908765e-001   8.254057308215702e-001
