---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.FileName = "RTROC.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTROC.MarkerPositionFile.pz
 9.545810055865903e-001  -9.264359507079888e-001  -4.502512482094992e-001   8.802763130201227e-001
 9.567597765363110e-001  -9.064930594120924e-001  -4.518373948975014e-001   8.809852442934009e-001
 9.589385474860316e-001  -8.864707395529956e-001  -4.534566186528209e-001   8.816620090350233e-001
 9.611173184357522e-001  -8.663736097184099e-001  -4.551012340273059e-001   8.823108181253664e-001
 9.632960893854728e-001  -8.462069231023689e-001  -4.567633079110038e-001   8.829360023920707e-001
 9.654748603351935e-001  -8.259764500452943e-001  -4.584347630300514e-001   8.835419096609439e-001
 9.676536312849141e-001  -8.056883451948158e-001  -4.601075297556571e-001   8.841327411796166e-001
 9.698324022346347e-001  -7.853489578366040e-001  -4.617736683844759e-001   8.847124378155490e-001
 9.720111731843554e-001  -7.649647446948832e-001  -4.634254480246520e-001   8.852845911838068e-001
 9.741899441340760e-001  -7.445421434292276e-001  -4.650554782033398e-001   8.858522819222073e-001
 9.763687150837966e-001  -7.240874951087277e-001  -4.666567378558152e-001   8.864180612764439e-001
 9.785474860335173e-001  -7.036069834560147e-001  -4.682226419090954e-001   8.869838725978425e-001
 9.807262569832379e-001  -6.831065441781771e-001  -4.697471375168955e-001   8.875509481236364e-001
 9.829050279329585e-001  -6.625918377727134e-001  -4.712246854917166e-001   8.881198634475960e-001
 9.850837988826792e-001  -6.420681806738936e-001  -4.726503345085789e-001   8.886904688450451e-001
 9.872625698323998e-001  -6.215404615872769e-001  -4.740197872335458e-001   8.892618544024910e-001
 9.894413407821204e-001  -6.010131478690386e-001  -4.753293497566629e-001   8.898324367795366e-001
 9.916201117318411e-001  -5.804902083077244e-001  -4.765760073011846e-001   8.903999011168964e-001
 9.937988826815617e-001  -5.599750826108105e-001  -4.777574319953166e-001   8.909612253613545e-001
 9.959776536312823e-001  -5.394707294933420e-001  -4.788719063499306e-001   8.915127792622756e-001
 9.981564245810030e-001  -5.189795730453275e-001  -4.799183747533548e-001   8.920502968769917e-001
 1.000335195530724e+000  -4.985035309996822e-001  -4.808963730597806e-001   8.925689750477805e-001
 1.002513966480444e+000  -4.780440620729156e-001  -4.818059358845277e-001   8.930635755701210e-001
 1.004692737430165e+000  -4.576021179781072e-001  -4.826475902435307e-001   8.935284560574771e-001
 1.006871508379886e+000  -4.371781826400049e-001  -4.834222300141641e-001   8.939577055245221e-001
 1.009050279329607e+000  -4.167723079803233e-001  -4.841310341485016e-001   8.943452288443889e-001
 1.011229050279327e+000  -3.963840744934231e-001  -4.847754107496284e-001   8.946848273406702e-001
 1.013407821229048e+000  -3.760126561824642e-001  -4.853568872496284e-001   8.949703061569565e-001
 1.015586592178769e+000  -3.556568537218572e-001  -4.858770569041295e-001   8.951955285613540e-001
 1.017765363128490e+000  -3.353150860898891e-001  -4.863375125517027e-001   8.953545059877200e-001
 1.019944134078210e+000  -3.149854684924957e-001  -4.867397975305350e-001   8.954414558024529e-001
 1.022122905027931e+000  -2.946658372233941e-001  -4.870853841662517e-001   8.954508459017877e-001
 1.024301675977652e+000  -2.743537571108232e-001  -4.873756453933175e-001   8.953774980997616e-001
 1.026480446927373e+000  -2.540465769244205e-001  -4.876118762976421e-001   8.952166068431546e-001
 1.028659217877093e+000  -2.337414412184246e-001  -4.877953081837146e-001   8.949637881291733e-001
 1.030837988826814e+000  -2.134353035275924e-001  -4.879271513374908e-001   8.946151812585617e-001
 1.033016759776535e+000  -1.931249802915298e-001  -4.880086545711382e-001   8.941674397102787e-001
 1.035195530726256e+000  -1.728071698978537e-001  -4.880411560160166e-001   8.936177987491448e-001
 1.037374301675976e+000  -1.524784947808772e-001  -4.880261812555652e-001   8.929641736602041e-001
 1.039553072625697e+000  -1.321355446702220e-001  -4.879654901903241e-001   8.922051162573926e-001
 1.041731843575418e+000  -1.117749029038768e-001  -4.878611550969937e-001   8.913398926770162e-001
 1.043910614525138e+000  -9.139318212645435e-002  -4.877156535075525e-001   8.903685327305662e-001
 1.046089385474859e+000  -7.098703577966384e-002  -4.875318666480131e-001   8.892917619452141e-001
 1.048268156424580e+000  -5.055317543841783e-002  -4.873131572932083e-001   8.881110848955351e-001
 1.050446927374301e+000  -3.008838631677125e-002  -4.870633945959494e-001   8.868287994175231e-001
 1.052625698324021e+000  -9.589549297045703e-003  -4.867869058118412e-001   8.854479340934592e-001
 1.054804469273742e+000   1.094629915206562e-002  -4.864885220972052e-001   8.839723527784777e-001
 1.056983240223463e+000   3.152182493111548e-002  -4.861735279194599e-001   8.824067896010384e-001
 1.059162011173184e+000   5.213932658820898e-002  -4.858475888037381e-001   8.807568371601824e-001
 1.061340782122904e+000   7.280057864276951e-002  -4.855167383386984e-001   8.790291306051326e-001
 1.063519553072625e+000   9.350693840520116e-002  -4.851872576979540e-001   8.772313043015246e-001
 1.065698324022346e+000   1.142594703049580e-001  -4.848656068442943e-001   8.753719086908748e-001
 1.067877094972067e+000   1.350590923884472e-001  -4.845583669611902e-001   8.734604553386072e-001
 1.070055865921787e+000   1.559066011771418e-001  -4.842721728173099e-001   8.715072875831357e-001
 1.072234636871508e+000   1.768026181868919e-001  -4.840136752013736e-001   8.695235557839217e-001
 1.074413407821229e+000   1.977474045803340e-001  -4.837894804362863e-001   8.675213452339586e-001
 1.076592178770950e+000   2.187407894541446e-001  -4.836060695923893e-001   8.655136148760140e-001
 1.078770949720670e+000   2.397821257722597e-001  -4.834697340822985e-001   8.635142072173959e-001
 1.080949720670391e+000   2.608702103974597e-001  -4.833864284765881e-001   8.615379335887851e-001
 1.083128491620112e+000   2.820033449561446e-001  -4.833616860153340e-001   8.596004084950132e-001
 1.085307262569833e+000   3.031793189713189e-001  -4.834005183445114e-001   8.577180161575257e-001
 1.087486033519553e+000   3.243953598761070e-001  -4.835072198744846e-001   8.559078309287854e-001
 1.089664804469274e+000   3.456481757204130e-001  -4.836853484924729e-001   8.541873751118078e-001
 1.091843575418995e+000   3.669339034191656e-001  -4.839376080446457e-001   8.525745019898300e-001
 1.094022346368716e+000   3.882480320304199e-001  -4.842657009455705e-001   8.510871325730487e-001
 1.096201117318436e+000   4.095854648708849e-001  -4.846704005610044e-001   8.497430172472168e-001
 1.098379888268157e+000   4.309404725468024e-001  -4.851514471791516e-001   8.485595054429505e-001
 1.100558659217878e+000   4.523067346370086e-001  -4.857075248731235e-001   8.475531851093784e-001
 1.102737430167599e+000   4.736774809403330e-001  -4.863364078594036e-001   8.467397299302433e-001
 1.104916201117319e+000   4.950455403476702e-001  -4.870349133440166e-001   8.461335591238315e-001
 1.107094972067040e+000   5.164035189404964e-001  -4.877990097346852e-001   8.457475030762091e-001
 1.109273743016761e+000   5.377439521811170e-001  -4.886239740970406e-001   8.455927355032152e-001
 1.111452513966482e+000   5.590594657663948e-001  -4.895044131511621e-001   8.456783174391255e-001
 1.113631284916202e+000   5.803430142434016e-001  -4.904344363408913e-001   8.460109491860758e-001
 1.115810055865923e+000   6.015880021474703e-001  -4.914077862295846e-001   8.465949563522921e-001
 1.117988826815644e+000   6.227885396056723e-001  -4.924179239571411e-001   8.474317395073278e-001
 1.120167597765365e+000   6.439395911691535e-001  -4.934581924183638e-001   8.485197487698982e-001
 1.122346368715085e+000   6.650370314607865e-001  -4.945219026048063e-001   8.498545672093235e-001
 1.124525139664806e+000   6.860778971405399e-001  -4.956024473412215e-001   8.514285025048676e-001
 1.126703910614527e+000   7.070603671062870e-001  -4.966933892797324e-001   8.532310078150815e-001
 1.128882681564247e+000   7.279837489630322e-001  -4.977885011777793e-001   8.552488974798282e-001
 1.131061452513968e+000   7.488485894351512e-001  -4.988818463127608e-001   8.574663565195319e-001
 1.133240223463689e+000   7.696564208390462e-001  -4.999677564983321e-001   8.598656093948703e-001
 1.135418994413410e+000   7.904096587128024e-001  -5.010408236492148e-001   8.624271805691184e-001
 1.137597765363130e+000   8.111114618843717e-001  -5.020958819473312e-001   8.651302056149637e-001
 1.139776536312851e+000   8.317654370036004e-001  -5.031279164675433e-001   8.679529796026938e-001
 1.141955307262572e+000   8.523755088315768e-001  -5.041320233676515e-001   8.708731958812851e-001
 1.144134078212293e+000   8.729457161445374e-001  -5.051033470430073e-001   8.738683242043835e-001
 1.146312849162013e+000   8.934800627088185e-001  -5.060370590484628e-001   8.769159225033799e-001
 1.148491620111734e+000   9.139824184947820e-001  -5.069283645290555e-001   8.799938637213628e-001
 1.150670391061455e+000   9.344563978283726e-001  -5.077725716569312e-001   8.830806855367864e-001
 1.152849162011176e+000   9.549053376473115e-001  -5.085651748620811e-001   8.861557357599590e-001
 1.155027932960896e+000   9.753322328315867e-001  -5.093019677183460e-001   8.891994435976464e-001
 1.157206703910617e+000   9.957396852231158e-001  -5.099792173971702e-001   8.921936360388666e-001
 1.159385474860338e+000   1.016129923908548e+000  -5.105937030921748e-001   8.951215636458151e-001
 1.161564245810059e+000   1.036504747778979e+000  -5.111428519469685e-001   8.979682235277879e-001
 1.163743016759779e+000   1.056865526062969e+000  -5.116247805740160e-001   9.007205172736739e-001
 1.165921787709500e+000   1.077213242629816e+000  -5.120382305826106e-001   9.033671395087032e-001
 1.168100558659221e+000   1.097548458961194e+000  -5.123826274188831e-001   9.058988407658769e-001
 1.170279329608942e+000   1.117871338479730e+000  -5.126580020792078e-001   9.083082982678771e-001
 1.172458100558662e+000   1.138181677106471e+000  -5.128649085953220e-001   9.105898987785297e-001
 1.174636871508383e+000   1.158478859041018e+000  -5.130044273011243e-001   9.127398079035189e-001
 1.176815642458104e+000   1.178761884239176e+000  -5.130780302193253e-001   9.147556065072475e-001
 1.178994413407825e+000   1.199029375544658e+000  -5.130874876824840e-001   9.166360692427873e-001
 1.181173184357545e+000   1.219279503797158e+000  -5.130347752135237e-001   9.183810679426289e-001
 1.183351955307266e+000   1.239509979102762e+000  -5.129219113807771e-001   9.199912623265203e-001
 1.185530726256987e+000   1.259718031097144e+000  -5.127508777720394e-001   9.214679785991906e-001
 1.187709497206708e+000   1.279900310816590e+000  -5.125234981266191e-001   9.228131439367363e-001
 1.189888268156428e+000   1.300053028760756e+000  -5.122414389838013e-001   9.240291398370385e-001
 1.192067039106149e+000   1.320172081848096e+000  -5.119062455612843e-001   9.251187610187425e-001
 1.194245810055870e+000   1.340253404628360e+000  -5.115194866622876e-001   9.260851959768512e-001
 1.196424581005591e+000   1.360293272363035e+000  -5.110828921257309e-001   9.269319516055162e-001
 1.198603351955311e+000   1.380288445428588e+000  -5.105984195685914e-001   9.276628513234257e-001
 1.200782122905032e+000   1.400236156571537e+000  -5.100682505156831e-001   9.282820565727251e-001
 1.202960893854753e+000   1.420133883067122e+000  -5.094946788411708e-001   9.287940445270736e-001
 1.205139664804473e+000   1.439979240495729e+000  -5.088800541723934e-001   9.292036452081639e-001
 1.207318435754194e+000   1.459769911550300e+000  -5.082267264641474e-001   9.295160893026173e-001
 1.209497206703915e+000   1.479503664089466e+000  -5.075370393373992e-001   9.297369720181452e-001
 1.211675977653636e+000   1.499178395892566e+000  -5.068133296979589e-001   9.298722871862827e-001
 1.213854748603356e+000   1.518792216582705e+000  -5.060579439290316e-001   9.299284048389662e-001
 1.216033519553077e+000   1.538343485464910e+000  -5.052732573822076e-001   9.299119903219886e-001
 1.218212290502798e+000   1.557830905795402e+000  -5.044617027437320e-001   9.298299815050330e-001
 1.220391061452519e+000   1.577253614502929e+000  -5.036258105387030e-001   9.296894808987668e-001
 1.222569832402239e+000   1.596611203833596e+000  -5.027682254091960e-001   9.294976644972564e-001
 1.224748603351960e+000   1.615903851934068e+000  -5.018917506809327e-001   9.292616879294136e-001
 1.226927374301681e+000   1.635132387311541e+000  -5.009993744970865e-001   9.289885459287234e-001
 1.229106145251402e+000   1.654298300392209e+000  -5.000942756039731e-001   9.286849955820719e-001
 1.231284916201122e+000   1.673403908196878e+000  -4.991798721898980e-001   9.283573996973714e-001
 1.233463687150843e+000   1.692452389607420e+000  -4.982598224883670e-001   9.280116260869298e-001
 1.235642458100564e+000   1.711447805298004e+000  -4.973380158491675e-001   9.276530014885339e-001
 1.237821229050285e+000   1.730395299581970e+000  -4.964185948016094e-001   9.272861468314974e-001
 1.240000000000005e+000   1.749301079772361e+000  -4.955058999203731e-001   9.269149805700714e-001
