---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.FileName = "RLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
 8.935754189944126e-001  -1.640926132222830e+000  -4.253752485838764e-001   4.734957416968115e-001
 8.957541899441333e-001  -1.626774191216799e+000  -4.261192633221757e-001   4.773188847619790e-001
 8.979329608938539e-001  -1.612290814640229e+000  -4.268632408711759e-001   4.810706035129433e-001
 9.001117318435745e-001  -1.597466903846837e+000  -4.276084969095821e-001   4.847287466331212e-001
 9.022905027932952e-001  -1.582295675160084e+000  -4.283568853792248e-001   4.882734098412928e-001
 9.044692737430158e-001  -1.566773015316761e+000  -4.291106906002005e-001   4.916875765863288e-001
 9.066480446927364e-001  -1.550897157177579e+000  -4.298724498752037e-001   4.949570306554720e-001
 9.088268156424570e-001  -1.534668572304930e+000  -4.306448845668254e-001   4.980703808764470e-001
 9.110055865921777e-001  -1.518090037680985e+000  -4.314308382284156e-001   5.010193903286744e-001
 9.131843575418983e-001  -1.501166157624590e+000  -4.322332174417610e-001   5.037984930376668e-001
 9.153631284916189e-001  -1.483903220692843e+000  -4.330549585545360e-001   5.064046997970826e-001
 9.175418994413396e-001  -1.466309006414959e+000  -4.338989612122027e-001   5.088374952882454e-001
 9.197206703910602e-001  -1.448392271938439e+000  -4.347680168750154e-001   5.110981782526378e-001
 9.218994413407808e-001  -1.430162531256056e+000  -4.356647456701482e-001   5.131896502241915e-001
 9.240782122905015e-001  -1.411629634357255e+000  -4.365914857972228e-001   5.151159922976907e-001
 9.262569832402221e-001  -1.392803422820534e+000  -4.375502601222188e-001   5.168819582468421e-001
 9.284357541899427e-001  -1.373693497227691e+000  -4.385426981396032e-001   5.184927238121715e-001
 9.306145251396634e-001  -1.354308961337066e+000  -4.395699380437292e-001   5.199534996914118e-001
 9.327932960893840e-001  -1.334658388276423e+000  -4.406326401169067e-001   5.212693264921040e-001
