Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 1.640000000000000e+000,-8.690122657627229e-002, 9.198294834768643e-001,-3.070252822586947e-001,-1.039910242922018e-002, 1.262661491011894e-001,-2.413160374098035e-002,-8.978446377865799e-002, 5.073853815457558e-002,-1.664147626291146e-001,-5.972702418316509e-002,-9.091797463025068e-002, 2.050068561603229e-001
 1.650000000000000e+000,-7.273848094092938e-002, 9.210772818292476e-001,-3.062268271712666e-001,-1.835615562901389e-002, 1.249861682079105e-001,-2.600176377596263e-002,-8.654867668809912e-002, 6.242390399917824e-002,-1.662809430600825e-001,-6.279573183097947e-002,-8.674181262425804e-002, 2.017095539001657e-001
 1.660000000000000e+000,-5.863469014345086e-002, 9.225920360065970e-001,-3.054056972279689e-001,-2.586889863082409e-002, 1.230579463736128e-001,-2.728967197366899e-002,-8.405198275225212e-002, 7.328431235897419e-002,-1.654836549236410e-001,-6.585982570980023e-002,-8.270255759714651e-002, 1.986055011271000e-001
 1.670000000000000e+000,-4.461992314529983e-002, 9.243392189494410e-001,-3.045517193466036e-001,-3.279863889190264e-002, 1.207003469864809e-001,-2.801818124008627e-002,-8.228105475979393e-002, 8.313507444490101e-002,-1.640445438926309e-001,-6.897003539948191e-002,-7.887855515629200e-002, 1.958863705323060e-001
 1.680000000000000e+000,-3.072524248311547e-002, 9.262815595050924e-001,-3.036585902082436e-001,-3.908437420995278e-002, 1.181270539392738e-001,-2.828574825666426e-002,-8.113902573216805e-002, 9.189978646031384e-002,-1.620097918130051e-001,-7.217345523534620e-002,-7.528329134274645e-002, 1.936849776090475e-001
 1.690000000000000e+000,-1.698015557158386e-002, 9.283807624145668e-001,-3.027265216404596e-001,-4.473703387964403e-002, 1.155186437671658e-001,-2.823520046274314e-002,-8.047805409335267e-002, 9.960890888495846e-002,-1.594380281349752e-001,-7.550560792784702e-002,-7.186620740293681e-002, 1.920614681016015e-001
 1.700000000000000e+000,-3.409145136888553e-003, 9.305988639319589e-001,-3.017636193371560e-001,-4.981800877744262e-002, 1.130021922077118e-001,-2.800926596797536e-002,-8.014480894903074e-002, 1.063746724755016e-001,-1.563835254077326e-001,-7.898469717061835e-002,-6.852982644805433e-002, 1.910053642389784e-001
 1.710000000000000e+000, 9.971500934623491e-003, 9.328993495328172e-001,-3.007851640745269e-001,-5.440813103221641e-002, 1.106427144021160e-001,-2.770723816574660e-002,-8.002494439428425e-002, 1.123480426961683e-001,-1.528822477344163e-001,-8.260940337067994e-002,-6.515906271483159e-002, 1.904510677130493e-001
 1.720000000000000e+000, 2.315530652920085e-002, 9.352483088589985e-001,-2.998110205517043e-001,-5.857678143623410e-002, 1.084465006055047e-001,-2.736001863919985e-002,-8.006878265975181e-002, 1.176713654286509e-001,-1.489462250135819e-001,-8.635873131296468e-002,-6.165248842385211e-002, 1.903010957411918e-001
 1.730000000000000e+000, 3.614524863006312e-002, 9.376155657705798e-001,-2.988621043926243e-001,-6.235882758128880e-002, 1.063735394634133e-001,-2.693335321212370e-002,-8.028748556814476e-002, 1.224395319173681e-001,-1.445667750453109e-001,-9.019224506336576e-002,-5.794653336749238e-002, 1.904494825940214e-001
