Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.690000000000000e+000,-5.628885605899967e-001, 3.311341075933605e-001,-3.488721948610902e-001, 5.250818387576389e-001,-4.805769118549215e-001, 5.069889044996255e-001, 9.333661952463412e-002,-1.229946503115108e-002, 1.560227216784580e-001, 8.319960457032218e-001, 5.488813568819833e-001, 6.461643206122525e-002, 2.678501313562834e-001
 1.700000000000000e+000,-5.596872077739395e-001, 3.263879916645094e-001,-3.488785327549810e-001, 5.268423021533116e-001,-4.795086115376113e-001, 5.015453630901752e-001, 7.638731736725846e-002,-9.175760906782734e-003, 1.467212625738985e-001, 8.162623275456501e-001, 5.371809250286622e-001, 7.188105658684418e-002, 2.654572686228033e-001
 1.710000000000000e+000,-5.565405666212305e-001, 3.216514591881352e-001,-3.488853222982514e-001, 5.285879695475251e-001,-4.784474217818620e-001, 4.961646302418146e-001, 5.994876937316396e-002,-5.943956537251826e-003, 1.375527435988042e-001, 7.986520769640504e-001, 5.252453710470676e-001, 7.993271685592096e-002, 2.621151009004116e-001
 1.720000000000000e+000,-5.534929597976547e-001, 3.168538244478694e-001,-3.488926584207015e-001, 5.303312216505390e-001,-4.773806985682034e-001, 4.907829283908429e-001, 4.410964270385653e-002,-2.591546750989838e-003, 1.285785821119360e-001, 7.793091091761593e-001, 5.136373722294313e-001, 8.856744645369985e-002, 2.579811994217228e-001
 1.730000000000000e+000,-5.505795079020963e-001, 3.119297089862929e-001,-3.489005778702408e-001, 5.320842013747686e-001,-4.762967382195846e-001, 4.853418948450518e-001, 2.889183884948121e-002, 9.053894968016009e-004, 1.198511734062008e-001, 7.584091849781707e-001, 5.028165176221212e-001, 9.760143455975467e-002, 2.532839908695563e-001
 1.740000000000000e+000,-5.478059849402329e-001, 3.068283898970812e-001,-3.489090715299696e-001, 5.338594026589645e-001,-4.751859180487741e-001, 4.797942276176017e-001, 1.425768767661029e-002, 4.561507621134320e-003, 1.114141455112101e-001, 7.361598500708659e-001, 4.930727618114199e-001, 1.068777228890880e-001, 2.482902285662804e-001
 1.750000000000000e+000,-5.451718739949740e-001, 3.015160460849093e-001,-3.489180934386773e-001, 5.356656680988730e-001,-4.740418924768202e-001, 4.741096686687109e-001, 1.158547719546377e-004, 8.376853188636086e-003, 1.033119388181918e-001, 7.128126380879573e-001, 4.844397310797179e-001, 1.162785636808599e-001, 2.432451610176154e-001
 1.760000000000000e+000,-5.426813771243719e-001, 2.959761474482920e-001,-3.489275923752605e-001, 5.375064869022221e-001,-4.728620000224524e-001, 4.682767363290056e-001,-1.366468589676706e-002, 1.232908291144808e-002, 9.559310518642723e-002, 6.886708212062090e-001, 4.766722127595938e-001, 1.257238512995746e-001, 2.383189797954181e-001
 1.770000000000000e+000,-5.403528942301205e-001, 2.902060627702801e-001,-3.489375411646102e-001, 5.393795229474269e-001,-4.716468704937329e-001, 4.623003483648425e-001,-2.723947143677430e-002, 1.637452235961255e-002, 8.831269598187035e-002, 6.640848408508729e-001, 4.693221736166141e-001, 1.351660995570705e-001, 2.335912622535207e-001
 1.780000000000000e+000,-5.382175852814082e-001, 2.842114801218074e-001,-3.489479555171925e-001, 5.412783554314661e-001,-4.703992343537129e-001, 4.561955242289996e-001,-4.077430133482984e-002, 2.045593367110004e-002, 8.153100627022071e-002, 6.394290290947199e-001, 4.619006712321043e-001, 1.445741127921507e-001, 2.290808056465692e-001
 1.790000000000000e+000,-5.363141294259189e-001, 2.780012255844142e-001,-3.489588885184543e-001, 5.431946740372745e-001,-4.691226960400559e-001, 4.499810907117098e-001,-5.443360571006517e-002, 2.451166395984597e-002, 7.530822136006679e-002, 6.150716988947554e-001, 4.540109672001519e-001, 1.539104345220281e-001, 2.247830635838053e-001
 1.800000000000000e+000,-5.346661386185991e-001, 2.715876644962108e-001,-3.489704170319669e-001, 5.451215963349269e-001,-4.678210029173839e-001, 4.436761604077162e-001,-6.836637106282595e-002, 2.847779413440064e-002, 6.969405288967644e-002, 5.913450796358987e-001, 4.454039291499384e-001, 1.631045967287044e-001, 2.206955751032567e-001
 1.810000000000000e+000,-5.332981407147114e-001, 2.649828141374859e-001,-3.489825924379393e-001, 5.470523102263729e-001,-4.664978272007230e-001, 4.372990152060516e-001,-8.270005267671166e-002, 3.229568440452752e-002, 6.472465584171018e-002, 5.685373407361646e-001, 4.359466035491480e-001, 1.720549473889741e-001, 2.168115689833263e-001
 1.820000000000000e+000,-5.322179508096480e-001, 2.582032544513435e-001,-3.489954235148030e-001, 5.489814411186625e-001,-4.651570854036056e-001, 4.308688530825469e-001,-9.752757653991151e-002, 3.591176185817157e-002, 6.041736689691286e-002, 5.468763722502759e-001, 4.256175945160251e-001, 1.806255562166668e-001, 2.131265242001434e-001
 1.830000000000000e+000,-5.314248759704052e-001, 2.512733505508744e-001,-3.490088585146772e-001, 5.509029830498078e-001,-4.638038135825120e-001, 4.244099587189192e-001,-1.129009386508144e-001, 3.928497695939037e-002, 5.677248141452936e-002, 5.265246245086109e-001, 4.144898532171479e-001, 1.886607166143672e-001, 2.096313689230401e-001
 1.840000000000000e+000,-5.309152578084097e-001, 2.442279949435513e-001,-3.490227927174189e-001, 5.528087548436877e-001,-4.624448451157148e-001, 4.179547596956141e-001,-1.288275713452898e-001, 4.239172361037925e-002, 5.377509739792386e-002, 5.075759564925356e-001, 4.027081992186098e-001, 1.960038559970192e-001, 2.063086538474039e-001
 1.850000000000000e+000,-5.306854289019889e-001, 2.371123637272921e-001,-3.490370948270978e-001, 5.546880182023670e-001,-4.610888214060753e-001, 4.115436171835372e-001,-1.452723557643039e-001, 4.522457308852190e-002, 5.139649613171159e-002, 4.900587551238336e-001, 3.904518697065936e-001, 2.025209405115844e-001, 2.031324862476484e-001
 1.860000000000000e+000,-5.307309414968495e-001, 2.299799393698039e-001,-3.490516325307862e-001, 5.565280955372467e-001,-4.597457488032468e-001, 4.052225287375589e-001,-1.621657369146714e-001, 4.778807852872721e-002, 4.959591270433582e-002, 4.739482330235307e-001, 3.778961068504668e-001, 2.081209173030159e-001, 2.000634500630107e-001
 1.870000000000000e+000,-5.310440823305273e-001, 2.228893834818040e-001,-3.490662827134197e-001, 5.583155312437552e-001,-4.584262923289839e-001, 3.990397232445559e-001,-1.794147385481817e-001, 5.009605291574731e-002, 4.832287624448584e-002, 4.591848458447654e-001, 3.651828037639822e-001, 2.127700864692650e-001, 1.970397061430852e-001
 1.880000000000000e+000,-5.316107032655807e-001, 2.159002760597468e-001,-3.490809326660366e-001, 5.600376331705447e-001,-4.571408547243605e-001, 3.930414197993811e-001,-1.969132257504600e-001, 5.217010205522803e-002, 4.751940792523948e-002, 4.456906053257932e-001, 3.524072754873974e-001, 2.165008716578669e-001, 1.939790526597655e-001
 1.890000000000000e+000,-5.324092941703461e-001, 2.090681233099985e-001,-3.490954836557166e-001, 5.616838562325991e-001,-4.558986262061597e-001, 3.872675752571964e-001,-2.145522841490877e-001, 5.403396852203786e-002, 4.712111853112478e-002, 4.333863893333576e-001, 3.396044640687365e-001, 2.194175411748736e-001, 1.907771396218182e-001
 1.900000000000000e+000,-5.334074367168854e-001, 2.024414054642454e-001,-3.491098509339980e-001, 5.632470365200284e-001,-4.547069487571713e-001, 3.817492912457992e-001,-2.322232306088941e-001, 5.571568975743706e-002, 4.705859484472483e-002, 4.221867875509067e-001, 3.267724354579911e-001, 2.216785398466583e-001, 1.873485656215654e-001
 1.910000000000000e+000,-5.345663928964193e-001, 1.960582886548623e-001,-3.491239656873690e-001, 5.647235182451088e-001,-4.535709180061356e-001, 3.765071948325023e-001,-2.498222605190845e-001, 5.724478028539005e-002, 4.725812140410320e-002, 4.120044669425476e-001, 3.138764875524593e-001, 2.234774386870133e-001, 1.836379307321212e-001
 1.920000000000000e+000,-5.358452579855397e-001, 1.899440625985818e-001,-3.491377724541283e-001, 5.661131781008358e-001,-4.524931137853048e-001, 3.715504075511281e-001,-2.672532872693549e-001, 5.865210780110648e-002, 4.764188011618632e-002, 4.027503133595313e-001, 3.008665922781136e-001, 2.250172131984312e-001, 1.796333000611874e-001
 1.930000000000000e+000,-5.372054132677653e-001, 1.841093181142754e-001,-3.491512230992030e-001, 5.674192377225314e-001,-4.514734796453914e-001, 3.668761532495741e-001,-2.844313847622972e-001, 5.996778013582587e-002, 4.812866501627221e-002, 3.943381318185841e-001, 2.876935208127339e-001, 2.264851962993695e-001, 1.753624010118366e-001
 1.940000000000000e+000,-5.386138142731337e-001, 1.785503278243694e-001,-3.491642748301886e-001, 5.686476956281272e-001,-4.505095617032420e-001, 3.624709753315941e-001,-3.012845576268848e-001, 6.121815506657093e-002, 4.863769918688710e-002, 3.866893397252911e-001, 2.743323407024449e-001, 2.280263796702955e-001, 1.708834169362200e-001
 1.950000000000000e+000,-5.400455944012754e-001, 1.732519659806386e-001,-3.491768965618280e-001, 5.698062148297600e-001,-4.495971747061196e-001, 3.583138211057277e-001,-3.177529293455006e-001, 6.242253176742958e-002, 4.909490721024275e-002, 3.797353126043598e-001, 2.608076547320048e-001, 2.297220212474589e-001, 1.662746312196512e-001
 1.960000000000000e+000,-5.414868466416953e-001, 1.681922969819605e-001,-3.491890734109547e-001, 5.709025643975696e-001,-4.487313571195464e-001, 3.543803111558904e-001,-3.337859411610171e-001, 6.359061690760894e-002, 4.943788209571004e-002, 3.734178839225480e-001, 2.472013099062397e-001, 2.315815497434917e-001, 1.616202713319630e-001
 1.970000000000000e+000,-5.429360308869261e-001, 1.633475227539134e-001,-3.492008013161353e-001, 5.719431748109677e-001,-4.479073208643367e-001, 3.506469125538086e-001,-3.493389626110508e-001, 6.472275147308580e-002, 4.961693636434226e-002, 3.676896838082601e-001, 2.336359449260096e-001, 2.335484244303059e-001, 1.569937559957858e-001
 1.980000000000000e+000,-5.444016131684804e-001, 1.586961385908734e-001,-3.492120778926093e-001, 5.729324370882604e-001,-4.471211103994519e-001, 3.470938518695207e-001,-3.643709554176180e-001, 6.581286873942960e-002, 4.959290063463096e-002, 3.625141858658992e-001, 2.202477856150278e-001, 2.355166061500340e-001, 1.524483373405461e-001
 1.990000000000000e+000,-5.458963424226577e-001, 1.542212038166579e-001,-3.492228970121832e-001, 5.738729567223551e-001,-4.463697973074821e-001, 3.437060458957267e-001,-3.788442520171502e-001, 6.685142284641706e-002, 4.933421907754888e-002, 3.578640992522241e-001, 2.071652237000138e-001, 2.373521193348624e-001, 1.480198144192501e-001
 2.000000000000000e+000,-5.474292819323096e-001, 1.499115599840115e-001,-3.492332476428736e-001, 5.747663801514892e-001,-4.456514073214106e-001, 3.404729492838076e-001,-3.927245187722015e-001, 6.783336980634368e-002, 4.881728564246565e-002, 3.537085300018391e-001, 1.945411739534976e-001, 2.389041206695932e-001, 1.437467895911277e-001
 2.010000000000000e+000,-5.490100996637931e-001, 1.457600810519517e-001,-3.492431133564465e-001, 5.756132333357867e-001,-4.449647382207407e-001, 3.373875367007765e-001,-4.059889847555565e-001, 6.873678003325877e-002, 4.801829639896733e-002, 3.500454910491493e-001, 1.824073730383320e-001, 2.400619787791578e-001, 1.396243028493846e-001
 2.020000000000000e+000,-5.506391004050447e-001, 1.417695370344623e-001,-3.492524790359212e-001, 5.764128092054038e-001,-4.443100538218410e-001, 3.344496494841054e-001,-4.186208765798227e-001, 6.955653553125010e-002, 4.692440197078573e-002, 3.468552484432507e-001, 1.708785781632896e-001, 2.407157899918402e-001, 1.356720735819238e-001
 2.030000000000000e+000,-5.523152427966847e-001, 1.379537671682447e-001,-3.492613313827793e-001, 5.771617132288055e-001,-4.436895469137268e-001, 3.316676610293147e-001,-4.306164185643551e-001, 7.028691683137653e-002, 4.552895768805323e-002, 3.441310834736263e-001, 1.600323277802433e-001, 2.407886905190972e-001, 1.318936299121049e-001
 2.040000000000000e+000,-5.540360446497556e-001, 1.343417716388911e-001,-3.492696625977563e-001, 5.778528072432335e-001,-4.431080421398685e-001, 3.290614407258489e-001,-4.419834581652447e-001, 7.092615599047809e-002, 4.383461101274302e-002, 3.418695596253797e-001, 1.499384902782487e-001, 2.402248217994349e-001, 1.282888537462918e-001
 2.050000000000000e+000,-5.557986717279172e-001, 1.309790473015524e-001,-3.492774808271200e-001, 5.784746960756270e-001,-4.425732475330033e-001, 3.266632849228585e-001,-4.527393617888986e-001, 7.146968385130026e-002, 4.185216477814330e-002, 3.400727128247528e-001, 1.406189960639356e-001, 2.389981202998801e-001, 1.248464070717383e-001
 2.060000000000000e+000,-5.575902638834437e-001, 1.279267692333983e-001,-3.492848209282124e-001, 5.790132758572530e-001,-4.420952647026510e-001, 3.245160597414316e-001,-4.629000731740871e-001, 7.193240978871265e-002, 3.961020909207982e-002, 3.387061928262737e-001, 1.321959365650124e-001, 2.370694307667258e-001, 1.215994795904597e-001
 2.070000000000000e+000,-5.593960470346848e-001, 1.252472475081035e-001,-3.492917378376602e-001, 5.794543542159105e-001,-4.416842899536935e-001, 3.226629310761994e-001,-4.724815987513109e-001, 7.231542400336356e-002, 3.714554766063292e-002, 3.377497887927810e-001, 1.246684355918743e-001, 2.344519450755804e-001, 1.185530170746819e-001
 2.080000000000000e+000,-5.611899878773758e-001, 1.229883827142506e-001,-3.492982858585113e-001, 5.797889897039349e-001,-4.413475770481847e-001, 3.211347105211401e-001,-4.814872795809704e-001, 7.262428553191647e-002, 3.451528801425286e-002, 3.371639222971594e-001, 1.180486925381813e-001, 2.311751242752309e-001, 1.157239954155026e-001
 2.090000000000000e+000,-5.629327349236845e-001, 1.211617464892114e-001,-3.493044881563523e-001, 5.800194750652344e-001,-4.410855470226744e-001, 3.199333451848915e-001,-4.898979413451805e-001, 7.286182502783152e-002, 3.180083892882935e-002, 3.368937782524714e-001, 1.123407865411560e-001, 2.272947248874875e-001, 1.131273312470341e-001
 2.100000000000000e+000,-5.645701107427574e-001, 1.197251487685924e-001,-3.493103003210362e-001, 5.801640936753382e-001,-4.408887173584426e-001, 3.190189156147593e-001,-4.976610938728927e-001, 7.302575786493099e-002, 2.911092898878769e-002, 3.368670257387052e-001, 1.075506703682975e-001, 2.228928702224262e-001, 1.107737526743213e-001
 2.110000000000000e+000,-5.660376841202707e-001, 1.185819393706262e-001,-3.493155861344819e-001, 5.802566932142597e-001,-4.407377675177564e-001, 3.183098123413795e-001,-5.046881801031222e-001, 7.310743021791230e-002, 2.657702538073343e-002, 3.369963723212067e-001, 1.036866184201542e-001, 2.180788183212699e-001, 1.086658060716281e-001
 2.120000000000000e+000,-5.672718722863782e-001, 1.176055779327654e-001,-3.493201368797553e-001, 5.803387851941377e-001,-4.406082394440194e-001, 3.177025375247400e-001,-5.108651355930949e-001, 7.309368769827845e-002, 2.434088774932274e-002, 3.371860559585374e-001, 1.007558137266246e-001, 2.129881919607712e-001, 1.067961006189347e-001
 2.130000000000000e+000,-5.682230981229220e-001, 1.166805013021188e-001,-3.493237304416694e-001, 5.804471150646204e-001,-4.404781438712528e-001, 3.171039526236700e-001,-5.160722791902737e-001, 7.297152994686454e-002, 2.253991475043561e-002, 3.373401651621405e-001, 9.876197230576000e-002, 2.077776138777898e-001, 1.051522906480262e-001
 2.140000000000000e+000,-5.688645405473677e-001, 1.157376601790461e-001,-3.493261919063461e-001, 5.806032203571440e-001,-4.403344653277017e-001, 3.164589854588386e-001,-5.202031491483212e-001, 7.273297090559198e-002, 2.129552199110713e-002, 3.373713589395058e-001, 9.769960119922057e-002, 2.026169051712305e-001, 1.037239741698195e-001
 2.150000000000000e+000,-5.691932089855082e-001, 1.147699197202428e-001,-3.493274296392060e-001, 5.808092786453150e-001,-4.401758682598072e-001, 3.157622064332951e-001,-5.231751505919182e-001, 7.237856263086974e-002, 2.070502514502385e-002, 3.372092721767399e-001, 9.754625313097115e-002, 1.976833944834859e-001, 1.025036616807824e-001
 2.160000000000000e+000,-5.692253887616643e-001, 1.138270584467922e-001,-3.493274411970418e-001, 5.810500341599779e-001,-4.400116358653778e-001, 3.150532616797809e-001,-5.249316505326906e-001, 7.191936134058022e-002, 2.083549676033836e-002, 3.368090414090929e-001, 9.826019251587112e-002, 1.931582905085345e-001, 1.014824811113609e-001
