Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  2.060000000000000e+00,  4.017581069972945e-01,  4.701056867604114e-02,  1.281935706026107e-01,  5.933660826317002e-01, -6.654542190988731e-02,  2.569469135626853e-01
  2.070000000000000e+00,  3.947202098453561e-01,  5.125113714054841e-02,  1.383026220845950e-01,  5.211622582331964e-01, -5.533844656843617e-02,  2.484585321200294e-01
  2.080000000000000e+00,  3.860431453137870e-01,  5.618549124605421e-02,  1.485832558032226e-01,  4.512735711951023e-01, -4.357700884420815e-02,  2.373818570410303e-01
  2.090000000000000e+00,  3.764482850204663e-01,  6.167162945105487e-02,  1.590413511020980e-01,  3.857491349483793e-01, -3.191886762812188e-02,  2.240985709863426e-01
  2.100000000000000e+00,  3.667743124103190e-01,  6.741756846408520e-02,  1.696851138654222e-01,  3.266297634529031e-01, -2.114145797156982e-02,  2.092193889366327e-01
  2.110000000000000e+00,  3.578103585902800e-01,  7.297180815801196e-02,  1.804172729619372e-01,  2.756477102922632e-01, -1.198539490107517e-02,  1.936869552086534e-01
  2.120000000000000e+00,  3.501443600113529e-01,  7.778814201452677e-02,  1.909161337629186e-01,  2.339837019384050e-01, -4.973737878195787e-03,  1.788614234244195e-01
  2.130000000000000e+00,  3.441017631398315e-01,  8.134064515476136e-02,  2.006342842331167e-01,  2.021863880530244e-01, -2.858116353655782e-04,  1.664152869015847e-01
  2.140000000000000e+00,  3.397814308767358e-01,  8.322126464706847e-02,  2.089415926308906e-01,  1.802439155638283e-01,  2.282162098892595e-03,  1.580014749909417e-01
  2.150000000000000e+00,  3.371325362361248e-01,  8.317782170655019e-02,  2.153063987539081e-01,  1.677074534553062e-01,  3.285982444041351e-03,  1.548679171148321e-01
  2.160000000000000e+00,  3.360156467293124e-01,  8.110443005130064e-02,  2.194199607183702e-01,  1.637890891887695e-01,  3.548428217567178e-03,  1.575981086098253e-01
  2.170000000000000e+00,  3.362290534075488e-01,  7.701738915640854e-02,  2.212464646892043e-01,  1.674259094285660e-01,  4.020715368660771e-03,  1.660276253079505e-01
  2.180000000000000e+00,  3.375072773729072e-01,  7.103661495298241e-02,  2.209964662086392e-01,  1.773349422204168e-01,  5.597703342689860e-03,  1.793224660525456e-01
  2.190000000000000e+00,  3.395045832911411e-01,  6.337330059568180e-02,  2.190213666185070e-01,  1.920826960443561e-01,  8.920478869330098e-03,  1.961940124760298e-01
  2.200000000000000e+00,  3.417835342520678e-01,  5.431618104056102e-02,  2.156925129964835e-01,  2.101855273456590e-01,  1.422977783050756e-02,  2.151705913223625e-01
  2.210000000000000e+00,  3.438344885860141e-01,  4.421376580117498e-02,  2.113705463051783e-01,  2.302313819260658e-01,  2.132910747871234e-02,  2.348126365979296e-01
  2.220000000000000e+00,  3.451310495451089e-01,  3.345117554634980e-02,  2.064531654150703e-01,  2.509726410274035e-01,  2.964858360472664e-02,  2.538663434078291e-01
  2.230000000000000e+00,  3.451972519813999e-01,  2.241208799378369e-02,  2.013774651668112e-01,  2.713524222652980e-01,  3.835141212360672e-02,  2.714324558332796e-01
  2.240000000000000e+00,  3.436642152286142e-01,  1.142636750681247e-02,  1.965515348154240e-01,  2.904982574615425e-01,  4.646146416912182e-02,  2.870890435568912e-01
  2.250000000000000e+00,  3.403067031651258e-01,  7.267357672131602e-04,  1.922996053799793e-01,  3.077355562167398e-01,  5.301719259246150e-02,  3.008242682417940e-01
  2.260000000000000e+00,  3.350475266350999e-01, -9.566358798355212e-03,  1.888514482665912e-01,  3.226128898094019e-01,  5.722372111036756e-02,  3.128176411289355e-01
  2.270000000000000e+00,  3.279239486415023e-01, -1.943316052379918e-02,  1.863447691655447e-01,  3.348965629676894e-01,  5.856205859619897e-02,  3.232536706785422e-01
  2.280000000000000e+00,  3.190333274998052e-01, -2.892395953239491e-02,  1.848268313368692e-01,  3.445236301748110e-01,  5.683983005840013e-02,  3.322601276660394e-01
  2.290000000000000e+00,  3.084870516292523e-01, -3.811644939664949e-02,  1.842618645358390e-01,  3.515397724925335e-01,  5.218083500877536e-02,  3.399224620128956e-01
  2.300000000000000e+00,  2.963903348143105e-01, -4.707306949389256e-02,  1.845431073428824e-01,  3.560497095171061e-01,  4.495766952174196e-02,  3.463033322635435e-01
  2.310000000000000e+00,  2.828452543067548e-01, -5.581239946301508e-02,  1.855036154778345e-01,  3.581891768367444e-01,  3.569318849428722e-02,  3.514510211124494e-01
  2.320000000000000e+00,  2.679616396267021e-01, -6.430119929899170e-02,  1.869273015879999e-01,  3.581145110983809e-01,  2.496522433395699e-02,  3.554113405872606e-01
  2.330000000000000e+00,  2.518617409055846e-01, -7.246341550776636e-02,  1.885647769024902e-01,  3.560022868165561e-01,  1.333365231420975e-02,  3.582434507786511e-01
  2.340000000000000e+00,  2.346752134455852e-01, -8.019900995644536e-02,  1.901556615515649e-01,  3.520499377369256e-01,  1.293509855156104e-03,  3.600298522521969e-01
  2.350000000000000e+00,  2.165302933997166e-01, -8.740756870673949e-02,  1.914554333961229e-01,  3.464694593329504e-01, -1.074820932649366e-02,  3.608791525613128e-01
  2.360000000000000e+00,  1.975486053981025e-01, -9.401104671968241e-02,  1.922609758792226e-01,  3.394741333015784e-01, -2.247854366913468e-02,  3.609207076158885e-01
  2.370000000000000e+00,  1.778453997912961e-01, -9.996786300474536e-02,  1.924293974792179e-01,  3.312657802487161e-01, -3.367601439503983e-02,  3.602867385446471e-01
  2.380000000000000e+00,  1.575323888145994e-01, -1.052741773942034e-01,  1.918875683002594e-01,  3.220289490063837e-01, -4.420430760862158e-02,  3.590868288341048e-01
  2.390000000000000e+00,  1.367193375735496e-01, -1.099554638777860e-01,  1.906302036010532e-01,  3.119320288301692e-01, -5.400146335497400e-02,  3.573900038242794e-01
  2.400000000000000e+00,  1.155112050734026e-01, -1.140545881080641e-01,  1.887054981658035e-01,  3.011314152794905e-01, -6.306423834802392e-02,  3.552258815026118e-01
