Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_PlaneOfElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_Elevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_InternalAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.750000000000000e+00, -3.985915011386323e-01,  1.742130421847174e-01,  5.308410471153294e-02,  7.165912392314197e-01, -2.986752013987288e-01,  5.308410470752595e-02,  5.621773218812783e-01, -4.492233048526386e-01, -9.535312898986058e-01,  5.386105031317009e-01,  7.702444628391039e-01,  3.047818698833318e-01,  1.280444627949142e-02
  1.760000000000000e+00, -3.995399577462296e-01,  1.796260588621366e-01,  5.602828880862711e-02,  7.162707169931629e-01, -2.994827241848093e-01,  5.602828880650972e-02,  5.502672932865088e-01, -4.503789882562828e-01, -9.379448514783578e-01,  5.506030959947764e-01,  7.756055393023775e-01,  2.996789680421270e-01,  1.344788006634591e-02
  1.770000000000000e+00, -4.007808167270670e-01,  1.848977029641627e-01,  5.895646151745901e-02,  7.159352039829096e-01, -3.002923901589307e-01,  5.895646151658850e-02,  5.390699948608534e-01, -4.512015658649554e-01, -9.223461488055940e-01,  5.637065324758341e-01,  7.816103129489270e-01,  2.940663144775986e-01,  1.421553943146873e-02
  1.780000000000000e+00, -4.022941135237375e-01,  1.899655262548863e-01,  6.183179624230725e-02,  7.155885178127882e-01, -3.010941316958118e-01,  6.183179624215992e-02,  5.284899343645686e-01, -4.515602699394275e-01, -9.067140277460163e-01,  5.777393232796618e-01,  7.882632261648773e-01,  2.880253368156980e-01,  1.509770802287273e-02
  1.790000000000000e+00, -4.040500884042699e-01,  1.947907641715356e-01,  6.462804407020527e-02,  7.152342885456775e-01, -3.018803953068079e-01,  6.462804407044936e-02,  5.183891466846533e-01, -4.513710045061311e-01, -8.910009833363264e-01,  5.925504331704571e-01,  7.954526042866354e-01,  2.815954620278669e-01,  1.608033328981399e-02
  1.800000000000000e+00, -4.060173362730485e-01,  1.993609084367154e-01,  6.733239999727918e-02,  7.148752328649085e-01, -3.026470973492557e-01,  6.733239999772965e-02,  5.086098181691516e-01, -4.505988046188066e-01, -8.751454315193006e-01,  6.080148203288167e-01,  8.029932740287333e-01,  2.748107017486789e-01,  1.714271768526368e-02
  1.810000000000000e+00, -4.081665953423138e-01,  2.036892671493202e-01,  6.994643690302502e-02,  7.145130401344562e-01, -3.033938711991360e-01,  6.994643690360325e-02,  4.989822328775800e-01, -4.492569081427539e-01, -8.590732754802837e-01,  6.240332612021275e-01,  8.106264928602592e-01,  2.677035118126223e-01,  1.824933127326813e-02
  1.820000000000000e+00, -4.104664318116625e-01,  2.078109328262105e-01,  7.248425614856849e-02,  7.141492371537019e-01, -3.041232664049458e-01,  7.248425620001960e-02,  4.893320957460000e-01, -4.474026917545818e-01, -8.427101276798752e-01,  6.405313020746879e-01,  8.180302225975847e-01,  2.602856643362106e-01,  1.934955274983128e-02
  1.830000000000000e+00, -4.128836499499993e-01,  2.117725271019144e-01,  7.496720696570164e-02,  7.137855661845369e-01, -3.048393872065112e-01,  7.496720696649171e-02,  4.794880766538853e-01, -4.451231462971211e-01, -8.259814049924286e-01,  6.574633802999474e-01,  8.247784255298263e-01,  2.525463216537820e-01,  2.038361563637157e-02
  1.840000000000000e+00, -4.153660128511465e-01,  2.156221088011783e-01,  7.741678946919012e-02,  7.134262054146773e-01, -3.055453493594398e-01,  7.741678947012752e-02,  4.693291305249292e-01, -4.425211111974096e-01, -8.088935999446358e-01,  6.747739052721893e-01,  8.306796883695117e-01,  2.445127004702625e-01,  2.131751145800745e-02
