---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.CreatePressureMapCoefs.CoeffVecOutput.UpdData = 3
Main.CreatePressureMapCoefs.CoeffVecOutput.FileName = "..\Input\BareFootWalk-CoeffVec.txt"
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Digits = 15
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Width = 23
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Style = ScientificNumber
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.FormatStr = "%23.15e"
Main.CreatePressureMapCoefs.CoeffVecOutput.Values = 
Main.CreatePressureMapCoefs.CoeffVecOutput.Search = 
Main.CreatePressureMapCoefs.CoeffVecOutput.Format = 0
Main.CreatePressureMapCoefs.CoeffVecOutput.SepSign = " "
Main.CreatePressureMapCoefs.CoeffVecOutput.SepSpaceAutoOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.LineSepSign = ""
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.TitleSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ConstSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ConstSectionSaveOptionsOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.VarSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ColumnNamesOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.LinePrefix = ""
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ShortenNamesOnOff = Off
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ColumnIDString = "col"
Main.CreatePressureMapCoefs.CoeffVecOutput.ConstSectionSaveOptionsOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col70  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[69]
col71  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[70]
col72  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[71]
col73  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[72]
col74  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[73]
col75  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[74]
col76  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[75]
col77  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[76]
col78  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[77]
col79  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[78]
col80  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[79]
col81  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[80]
col82  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[81]
col83  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[82]
col84  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[83]
col85  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[84]
col86  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[85]
col87  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[86]
col88  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[87]
col89  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[88]
col90  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[89]
col91  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[90]
col92  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[91]
col93  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[92]
col94  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[93]
col95  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[94]
col96  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[95]
col97  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[96]
col98  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[97]
col99  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[98]
col100  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[99]
col101  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[100]
col102  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[101]
col103  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[102]
col104  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[103]
col105  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[104]
col106  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[105]
col107  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[106]
col108  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[107]
col109  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[108]
col110  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[109]
col111  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[110]
col112  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[111]
col113  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[112]
col114  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[113]
col115  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[114]
col116  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[115]
col117  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[116]
col118  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[117]
col119  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[118]
col120  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[119]
col121  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[120]
col122  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[121]
col123  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[122]
col124  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[123]
col125  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[124]
col126  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[125]
col127  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[126]
col128  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[127]
col129  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[128]
col130  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[129]
col131  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[130]
col132  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[131]
col133  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[132]
col134  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[133]
col135  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[134]
col136  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[135]
col137  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[136]
col138  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[137]
col139  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[138]
col140  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[139]
col141  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[140]
col142  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[141]
col143  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[142]
col144  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[143]
col145  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[144]
col146  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[145]
col147  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[146]
col148  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[147]
col149  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[148]
col150  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[149]
col151  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[150]
col152  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[151]
col153  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[152]
col154  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[153]
col155  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[154]
col156  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[155]
col157  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[156]
col158  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[157]
