Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Left.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  1.600000000000000e-01,  2.456856954652859e+00,  1.981999212630148e-01,  1.805035631286020e+00,  2.267938866856573e-02,  7.101339313153908e-01,  2.052202567151806e-01,  1.807949399920697e-01,  5.204996281443635e-01, -1.941405316031342e-01,  6.085631034048014e-01,  9.906970817309536e-01,  1.732438565054644e-01,  1.105930039067673e-01
  1.700000000000000e-01,  2.456660288523304e+00,  1.961949497494990e-01,  1.807686300376263e+00,  2.303487671443934e-02,  7.099913305400333e-01,  2.052747362433286e-01,  1.810886517210040e-01,  5.199068198598971e-01, -1.926373092735863e-01,  6.088224182986107e-01,  9.909410469319464e-01,  1.738273052584369e-01,  1.101560699830195e-01
  1.800000000000000e-01,  2.456589571491519e+00,  1.941193145892731e-01,  1.810279862127543e+00,  2.340885128893298e-02,  7.098297583840772e-01,  2.053381314055379e-01,  1.813229273679862e-01,  5.190813103427838e-01, -1.909893415872873e-01,  6.092399686192387e-01,  9.911322481378013e-01,  1.743789108583640e-01,  1.098029405420676e-01
  1.900000000000000e-01,  2.456640699593491e+00,  1.919912077941949e-01,  1.812799728765732e+00,  2.379825841011579e-02,  7.096514149252026e-01,  2.054094319585720e-01,  1.815096597515898e-01,  5.180333330136522e-01, -1.892059711693926e-01,  6.098487299853521e-01,  9.912345536151057e-01,  1.748757192729139e-01,  1.095504478139743e-01
  2.000000000000000e-01,  2.456806244807039e+00,  1.898292343499869e-01,  1.815232467625765e+00,  2.419979137479703e-02,  7.094588686255258e-01,  2.054874493440603e-01,  1.816623318156735e-01,  5.167787416790396e-01, -1.872972652189250e-01,  6.106779028024782e-01,  9.912137402673922e-01,  1.752954315946235e-01,  1.094127868919940e-01
  2.100000000000000e-01,  2.457075961637624e+00,  1.876517262012451e-01,  1.817568033768654e+00,  2.461001583175084e-02,  7.092549309827245e-01,  2.055708775803080e-01,  1.817954118717201e-01,  5.153384959294988e-01, -1.852733417134149e-01,  6.117516977210963e-01,  9.910388971127670e-01,  1.756173643054102e-01,  1.094008343570774e-01
  2.200000000000000e-01,  2.457437421251063e+00,  1.854760744464620e-01,  1.819799852020839e+00,  2.502550374225397e-02,  7.090425232813470e-01,  2.056583573519709e-01,  1.819236813968876e-01,  5.137379859151470e-01, -1.831437400578911e-01,  6.130883449169467e-01,  9.906836520833331e-01,  1.758233374961389e-01,  1.095216327582846e-01
  2.300000000000000e-01,  2.457876722460609e+00,  1.833181205926074e-01,  1.821924754725303e+00,  2.544296770360661e-02,  7.088245451302040e-01,  2.057485385198497e-01,  1.820615341528081e-01,  5.120062390965768e-01, -1.809168824217584e-01,  6.146993795184215e-01,  9.901271567620371e-01,  1.758984340127190e-01,  1.097780733947092e-01
  2.400000000000000e-01,  2.458379225402556e+00,  1.811916458299210e-01,  1.823942786589015e+00,  2.585938612694075e-02,  7.086037539774468e-01,  2.058401366918549e-01,  1.822222892677614e-01,  5.101750505711131e-01, -1.785996639063362e-01,  6.165892372638104e-01,  9.893547820670285e-01,  1.758315822043333e-01,  1.101687942888308e-01
  2.500000000000000e-01,  2.458930254022313e+00,  1.791079924758669e-01,  1.825856892153805e+00,  2.627210978614840e-02,  7.083826636059969e-01,  2.059319802265631e-01,  1.824175624489521e-01,  5.082780743477966e-01, -1.761971989009161e-01,  6.187551741623170e-01,  9.883584978104377e-01,  1.756159275950732e-01,  1.106882943302955e-01
  2.600000000000000e-01,  2.459515718090865e+00,  1.770758445090017e-01,  1.827672504982178e+00,  2.667894091683653e-02,  7.081634679370418e-01,  2.060230449721529e-01,  1.826567377696200e-01,  5.063499066212507e-01, -1.737127386059189e-01,  6.211875033329211e-01,  9.871369287836498e-01,  1.752489736516652e-01,  1.113272496156493e-01
  2.700000000000000e-01,  2.460122614050483e+00,  1.751011838623983e-01,  1.829397060551627e+00,  2.707817784388256e-02,  7.079479943039538e-01,  2.061124751410039e-01,  1.829465770121274e-01,  5.044251849267448e-01, -1.711477616415189e-01,  6.238701229056727e-01,  9.856950983668399e-01,  1.747324881146921e-01,  1.120730050947199e-01
  2.800000000000000e-01,  2.460739376271000e+00,  1.731874263143623e-01,  1.831039457249488e+00,  2.746862085431975e-02,  7.077376878544933e-01,  2.061995899038913e-01,  1.832909940700604e-01,  5.025377203462943e-01, -1.685022269624964e-01,  6.267812925065018e-01,  9.840438870525573e-01,  1.740721881936864e-01,  1.129102045932208e-01
  2.900000000000000e-01,  2.461356065435456e+00,  1.713357259911626e-01,  1.832609491646281e+00,  2.784953860038314e-02,  7.075336260264403e-01,  2.062838764989709e-01,  1.836910088268586e-01,  5.007196745444968e-01, -1.657749668104936e-01,  6.298946035767183e-01,  9.821992473834789e-01,  1.732772341593078e-01,  1.138215155971941e-01
  3.000000000000000e-01,  2.461964397357877e+00,  1.695454219458585e-01,  1.834117295318251e+00,  2.822059835482573e-02,  7.073365593374547e-01,  2.063649717988595e-01,  1.841448793503820e-01,  4.990007899132147e-01, -1.629641880164694e-01,  6.331800813477946e-01,  9.801812282630729e-01,  1.723595751057459e-01,  1.147884021253790e-01
  3.100000000000001e-01,  2.462557631713590e+00,  1.678145858265674e-01,  1.835572800630464e+00,  2.858176744420912e-02,  7.071469723106187e-01,  2.064426352616270e-01,  1.846483949288638e-01,  4.974076796046888e-01, -1.600680433718703e-01,  6.366053539590562e-01,  9.780128699029933e-01,  1.713332012400877e-01,  1.157918996107988e-01
  3.200000000000000e-01,  2.463130353886065e+00,  1.661406184538574e-01,  1.836985261729873e+00,  2.893319655502766e-02,  7.069651565318411e-01,  2.065167168891593e-01,  1.851952976013839e-01,  4.959631844008655e-01, -1.570852314455363e-01,  6.401368266546871e-01,  9.757190353593168e-01,  1.702133623654689e-01,  1.168133496662109e-01
  3.300000000000001e-01,  2.463678192371285e+00,  1.645208372889630e-01,  1.838362854228455e+00,  2.927509777698088e-02,  7.067912869029567e-01,  2.065871241194740e-01,  1.857777886031207e-01,  4.946858048391274e-01, -1.540155833592323e-01,  6.437408053699241e-01,  9.733252455401826e-01,  1.690158113188817e-01,  1.178350592909487e-01
  3.400000000000000e-01,  2.464197517467276e+00,  1.629529978212222e-01,  1.839712372517316e+00,  2.960763077594061e-02,  7.066254923242689e-01,  2.066537914105733e-01,  1.863870703180981e-01,  4.935892192966169e-01, -1.508605984482245e-01,  6.473845231424342e-01,  9.708565817040827e-01,  1.677561240334134e-01,  1.188408575869446e-01
