Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Right.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  1.600000000000000e-01,  2.063027525040411e-01, -1.768785265762592e+00, -1.715337014117915e-01,  8.795124545410158e-03,  7.362179551883948e-01,  1.912389866601533e-01,  2.711511042544881e-01,  5.316589581453792e-01, -1.864389457267186e-01,  6.330672102141431e-01,  8.699299404060797e-01,  1.740615015077928e-01,  3.615729811693527e-02
  1.700000000000000e-01,  2.070743390482881e-01, -1.768989042210992e+00, -1.722459078101433e-01,  8.677241096933998e-03,  7.363796168455321e-01,  1.911481950638622e-01,  2.700564498534097e-01,  5.322959182519528e-01, -1.881126165522237e-01,  6.316435230055353e-01,  8.702700951930903e-01,  1.744196388354511e-01,  3.585547561196382e-02
  1.800000000000000e-01,  2.077536606289918e-01, -1.769127056731662e+00, -1.728786526857702e-01,  8.572991135329484e-03,  7.365285876098744e-01,  1.910642105267228e-01,  2.689419320091858e-01,  5.330455079175928e-01, -1.898018632490006e-01,  6.303774165692896e-01,  8.706758423107150e-01,  1.748713817890058e-01,  3.559984295832868e-02
  1.900000000000000e-01,  2.083466246353364e-01, -1.769204820144825e+00, -1.734371962741095e-01,  8.481389494139523e-03,  7.366654300203421e-01,  1.909867664743116e-01,  2.678331665130969e-01,  5.338881734435256e-01, -1.914891566575795e-01,  6.293024612145525e-01,  8.711196270225474e-01,  1.754080901318514e-01,  3.540083752081540e-02
  2.000000000000000e-01,  2.088596968982113e-01, -1.769229326200150e+00, -1.739269837861791e-01,  8.401433669569362e-03,  7.367906277736825e-01,  1.909156427400729e-01,  2.667538821959948e-01,  5.348075370430511e-01, -1.931553638410361e-01,  6.284523539151775e-01,  8.715742560151346e-01,  1.760207017105084e-01,  3.526809141531632e-02
  2.100000000000000e-01,  2.092995004424228e-01, -1.769208942068191e+00, -1.743532888498428e-01,  8.332160166989332e-03,  7.369045001384089e-01,  1.908507144604947e-01,  2.657249621512545e-01,  5.357912989754818e-01, -1.947800232145597e-01,  6.278604478109896e-01,  8.720135600930353e-01,  1.767001277526924e-01,  3.521016737459135e-02
  2.200000000000000e-01,  2.096724465008396e-01, -1.769153256537191e+00, -1.747208977931187e-01,  8.272693921576424e-03,  7.370071307219169e-01,  1.907919927854645e-01,  2.647636536545519e-01,  5.368317065709589e-01, -1.963416986514866e-01,  6.275592644229711e-01,  8.724128240455633e-01,  1.774375456990018e-01,  3.523437485249215e-02
  2.300000000000000e-01,  2.099844189835628e-01, -1.769072882269315e+00, -1.750338538962631e-01,  8.222288058098791e-03,  7.370983168013500e-01,  1.907396537157948e-01,  2.638829896247274e-01,  5.379255457701764e-01, -1.978184091913001e-01,  6.275799952952831e-01,  8.727489781239046e-01,  1.782245753713923e-01,  3.534667527668409e-02
  2.400000000000000e-01,  2.102405295033041e-01, -1.768979211897516e+00, -1.752952766745380e-01,  8.180351838431290e-03,  7.371775438448168e-01,  1.906940523056732e-01,  2.630914514167657e-01,  5.390736546257288e-01, -1.991881271830874e-01,  6.279520014627731e-01,  8.730005750881519e-01,  1.790533410491506e-01,  3.555167695716879e-02
  2.500000000000000e-01,  2.104449553276772e-01, -1.768884131933424e+00, -1.755072664682727e-01,  8.146465335041299e-03,  7.372439879706307e-01,  1.906557205713133e-01,  2.623928888824534e-01,  5.402800029710371e-01, -2.004293337601831e-01,  6.287023201057089e-01,  8.731476024580913e-01,  1.799164366039869e-01,  3.585271228692026e-02
