Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  1.000000000000000e-02, -3.301428444231475e-01, -7.420742407815917e-02,  1.149124586689608e-01,  2.006108680332273e-01, -3.068150726621890e-01,  7.660451758143473e-02
  2.000000000000000e-02, -3.317163327397822e-01, -7.215537334217270e-02,  1.142022679593363e-01,  2.016819577021547e-01, -3.072219820958921e-01,  7.334610376392341e-02
  3.000000000000001e-02, -3.332956753408414e-01, -6.988142284490784e-02,  1.135016696383077e-01,  2.029005789759293e-01, -3.073672260588728e-01,  6.980947825462934e-02
  4.000000000000000e-02, -3.348557241660313e-01, -6.731279168788040e-02,  1.128358210873314e-01,  2.043386562158850e-01, -3.071590651468165e-01,  6.590436740555501e-02
  5.000000000000001e-02, -3.363637880840077e-01, -6.441653330439934e-02,  1.122235351943850e-01,  2.060449321023207e-01, -3.065267493157301e-01,  6.159377778139990e-02
  6.000000000000000e-02, -3.377898406528749e-01, -6.119030598369979e-02,  1.116737377080512e-01,  2.080464576788117e-01, -3.054263061910593e-01,  5.687816908625914e-02
  7.000000000000001e-02, -3.391001623569633e-01, -5.762548871537154e-02,  1.111977860219161e-01,  2.103826618749831e-01, -3.038063328081812e-01,  5.174786502371730e-02
  8.000000000000000e-02, -3.402593498874236e-01, -5.371811658023695e-02,  1.108052673219335e-01,  2.130957725792170e-01, -3.016184388774734e-01,  4.619740240933726e-02
  9.000000000000001e-02, -3.412308069953270e-01, -4.946918133091383e-02,  1.105032580827280e-01,  2.162305290075437e-01, -2.988181913982952e-01,  4.022627594573668e-02
  1.000000000000000e-01, -3.419773057386816e-01, -4.488474125014119e-02,  1.102956583236196e-01,  2.198338412606738e-01, -2.953659920410978e-01,  3.383955828406183e-02
