Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  3.000000000000000e-01,  5.867529620050245e-02,  1.423244512802579e-02,  2.114017013164589e-01,  4.395923243094658e-02,  6.853148246852442e-02,  2.067205803071822e-01
  3.100000000000001e-01,  5.406679568619584e-02,  9.698238851322705e-03,  2.125126366266479e-01,  4.377713943585398e-02,  6.462599195307434e-02,  2.066129789566808e-01
  3.200000000000000e-01,  4.942675991703290e-02,  5.265230846881686e-03,  2.135773949807657e-01,  4.372318555362288e-02,  6.030646831468480e-02,  2.064117144153922e-01
  3.300000000000001e-01,  4.476648861827266e-02,  9.433930308471172e-04,  2.145770326949553e-01,  4.380262885565106e-02,  5.563089510230890e-02,  2.061293464282661e-01
  3.400000000000000e-01,  4.009664215252265e-02, -3.256307607048869e-03,  2.154921661712477e-01,  4.402063172541356e-02,  5.065419458440974e-02,  2.057792672617213e-01
  3.500000000000000e-01,  3.542648771550405e-02, -7.321714183381012e-03,  2.163034482019424e-01,  4.438129612118392e-02,  4.542806706214152e-02,  2.053758075095206e-01
  3.600000000000000e-01,  3.076330115918496e-02, -1.123954413299777e-02,  2.169921297586486e-01,  4.488682113712018e-02,  4.000089443164385e-02,  2.049341617926197e-01
  3.700000000000001e-01,  2.611193583730802e-02, -1.499571032413294e-02,  2.175406910842927e-01,  4.553682735210793e-02,  3.441766999052286e-02,  2.044701287169796e-01
  3.800000000000000e-01,  2.147455757485744e-02, -1.857586377257037e-02,  2.179335133330998e-01,  4.632787877395896e-02,  2.871993121580255e-02,  2.039996763364887e-01
  3.900000000000001e-01,  1.685053739236895e-02, -2.196609466916621e-02,  2.181575510935237e-01,  4.725321974854856e-02,  2.294568596186228e-02,  2.035383616800049e-01
  4.000000000000000e-01,  1.223649055163665e-02, -2.515371001668609e-02,  2.182029587228584e-01,  4.830273142106593e-02,  1.712933391042176e-02,  2.031006490310181e-01
  4.100000000000000e-01,  7.626450411832865e-03, -2.812799971493063e-02,  2.180636207727509e-01,  4.946310046304093e-02,  1.130159339913749e-02,  2.026991845153201e-01
  4.200000000000000e-01,  3.012166473695184e-03, -3.088090859513715e-02,  2.177375394962233e-01,  5.071818210589788e-02,  5.489448503165998e-03,  2.023440920552936e-01
  4.300000000000000e-01, -1.616484082634545e-03, -3.340754766415088e-02,  2.172270403727194e-01,  5.204953032702760e-02, -2.838674525718763e-04,  2.020423564132615e-01
  4.400000000000000e-01, -6.270984400832782e-03, -3.570650027023348e-02,  2.165387690515462e-01,  5.343706056400906e-02, -5.998837512448203e-03,  2.017973523863432e-01
  4.500000000000001e-01, -1.096358330844482e-02, -3.777990403942266e-02,  2.156834688848397e-01,  5.485980484788356e-02, -1.163956544156478e-02,  2.016085658858499e-01
  4.600000000000000e-01, -1.570664227096447e-02, -3.963331356360733e-02,  2.146755457642654e-01,  5.629671602165010e-02, -1.719361398030350e-02,  2.014715344077196e-01
  4.700000000000000e-01, -2.051195487366974e-02, -4.127536913844221e-02,  2.135324445618947e-01,  5.772747691638413e-02, -2.265177829264215e-02,  2.013780138132631e-01
