---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.FileName = "LKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.781433601526411e+000  -1.364020333750747e-001   4.698339906311096e-001
 2.705340764331210e+000  -1.775941875531703e+000  -1.362483616258566e-001   4.696614102071535e-001
 2.718981528662420e+000  -1.770462523666662e+000  -1.362153045993842e-001   4.694550841381405e-001
 2.732622292993630e+000  -1.764878573901044e+000  -1.363342782756246e-001   4.691721839084683e-001
 2.746263057324840e+000  -1.758992825799514e+000  -1.365627219414564e-001   4.687638526956643e-001
 2.759903821656050e+000  -1.752630991452724e+000  -1.368624979139551e-001   4.682417181300256e-001
 2.773544585987260e+000  -1.745717812939463e+000  -1.371999206702502e-001   4.676930860674118e-001
 2.787185350318470e+000  -1.738268818807448e+000  -1.375336754202676e-001   4.672385852141223e-001
 2.800826114649680e+000  -1.730300127009953e+000  -1.378165151120372e-001   4.669980928204333e-001
 2.814466878980890e+000  -1.721749809354004e+000  -1.380135856998464e-001   4.670321249294171e-001
 2.828107643312100e+000  -1.712459781658658e+000  -1.381248182012557e-001   4.673242157031834e-001
 2.841748407643310e+000  -1.702206533189782e+000  -1.381918586960706e-001   4.677863082114870e-001
 2.855389171974520e+000  -1.690777438605406e+000  -1.382861055549981e-001   4.682840110863151e-001
 2.869029936305730e+000  -1.678000264408090e+000  -1.384815881714789e-001   4.687057115230933e-001
 2.882670700636940e+000  -1.663738808576693e+000  -1.388375689304435e-001   4.689965136126441e-001
 2.896311464968150e+000  -1.647899272955014e+000  -1.393725233494021e-001   4.691544239077501e-001
 2.909952229299360e+000  -1.630366454237903e+000  -1.400279970816446e-001   4.692052972118228e-001
 2.923592993630570e+000  -1.610966675971054e+000  -1.406947081220499e-001   4.691945292832081e-001
 2.937233757961780e+000  -1.589548849970836e+000  -1.413069968928804e-001   4.691923336772386e-001
 2.950874522292990e+000  -1.565991867570887e+000  -1.419094100996965e-001   4.692053502990372e-001
 2.964515286624200e+000  -1.540142535819337e+000  -1.426236147488497e-001   4.690597366721173e-001
 2.978156050955410e+000  -1.511976247490347e+000  -1.434924781576572e-001   4.685236046128797e-001
 2.991796815286619e+000  -1.481756686890355e+000  -1.444265902387251e-001   4.675574852427833e-001
 3.005437579617829e+000  -1.449999185889530e+000  -1.453980996373018e-001   4.663586012470953e-001
 3.019078343949039e+000  -1.417351111837922e+000  -1.465312392359061e-001   4.652461719411191e-001
 3.032719108280249e+000  -1.384385419988119e+000  -1.478525856572423e-001   4.646617003639880e-001
 3.046359872611459e+000  -1.351453948123888e+000  -1.491561088743968e-001   4.651086329891626e-001
 3.060000636942669e+000  -1.318738489534860e+000  -1.502288398212728e-001   4.668593846493702e-001
 3.073641401273879e+000  -1.286408097919222e+000  -1.511026368993544e-001   4.697282168838824e-001
 3.087282165605089e+000  -1.254603287444426e+000  -1.519228655209874e-001   4.732161427048044e-001
 3.100922929936299e+000  -1.223273644496002e+000  -1.526870054359323e-001   4.768283583813615e-001
 3.114563694267509e+000  -1.192229690111128e+000  -1.532693823836911e-001   4.803163000818683e-001
 3.128204458598719e+000  -1.161385244216862e+000  -1.536015497315769e-001   4.837084180879270e-001
 3.141845222929929e+000  -1.130900519541616e+000  -1.537724273307528e-001   4.870817986664413e-001
 3.155485987261139e+000  -1.101090095642324e+000  -1.539630348127608e-001   4.903738590959263e-001
