---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.FileName = "RPSI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RPSI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.849905970963140e+000  -3.388902556692100e-001   1.016524639156730e+000
 2.705340764331210e+000  -1.834585556540952e+000  -3.395704305672768e-001   1.014698010927292e+000
 2.718981528662420e+000  -1.819332109791885e+000  -3.402974478862169e-001   1.012747673743624e+000
 2.732622292993630e+000  -1.804089304700906e+000  -3.411074189203535e-001   1.010558612160531e+000
 2.746263057324840e+000  -1.788739408490244e+000  -3.419976853857343e-001   1.008075896860829e+000
 2.759903821656050e+000  -1.773211919118638e+000  -3.429560519756058e-001   1.005346898137696e+000
 2.773544585987260e+000  -1.757482331280835e+000  -3.440140677928011e-001   1.002488642832505e+000
 2.787185350318470e+000  -1.741520021274897e+000  -3.452446130773796e-001   9.996011712728988e-001
 2.800826114649680e+000  -1.725270280358450e+000  -3.466834958053121e-001   9.967580958092107e-001
 2.814466878980890e+000  -1.708688256155569e+000  -3.483009798656337e-001   9.940472434377017e-001
 2.828107643312100e+000  -1.691742060242553e+000  -3.500412011428156e-001   9.915256304471866e-001
 2.841748407643310e+000  -1.674398936426326e+000  -3.518715346260999e-001   9.891839685998942e-001
 2.855389171974520e+000  -1.656651117835878e+000  -3.538054754457232e-001   9.870462415836473e-001
 2.869029936305730e+000  -1.638536905067263e+000  -3.558469052166439e-001   9.852634267719369e-001
 2.882670700636940e+000  -1.620138339406084e+000  -3.579211914414744e-001   9.840898933068132e-001
 2.896311464968150e+000  -1.601569687418639e+000  -3.598855489048869e-001   9.837625865200336e-001
 2.909952229299360e+000  -1.582960183166760e+000  -3.615797384813800e-001   9.843584829092915e-001
 2.923592993630570e+000  -1.564443863421205e+000  -3.628727855627744e-001   9.857510795455328e-001
 2.937233757961780e+000  -1.546132447867610e+000  -3.637332375747787e-001   9.877024761527105e-001
 2.950874522292990e+000  -1.528053806759613e+000  -3.643149605872275e-001   9.899788272498874e-001
 2.964515286624200e+000  -1.510127914900148e+000  -3.649156596863903e-001   9.923870857400368e-001
 2.978156050955410e+000  -1.492254354997130e+000  -3.658092354999229e-001   9.948056345762205e-001
 2.991796815286619e+000  -1.474434999334670e+000  -3.671110832621130e-001   9.972092647015104e-001
 3.005437579617829e+000  -1.456778193398294e+000  -3.687789316033863e-001   9.996132319491283e-001
 3.019078343949039e+000  -1.439397260871486e+000  -3.706741251622905e-001   1.001983179301216e+000
 3.032719108280249e+000  -1.422334925347986e+000  -3.726144237149134e-001   1.004253334349377e+000
 3.046359872611459e+000  -1.405564239964817e+000  -3.744446474571282e-001   1.006417680717231e+000
 3.060000636942669e+000  -1.389039639937560e+000  -3.760948929472621e-001   1.008545889511896e+000
 3.073641401273879e+000  -1.372723695047782e+000  -3.775789609911958e-001   1.010689825483270e+000
 3.087282165605089e+000  -1.356560716763804e+000  -3.789476831357083e-001   1.012816916033512e+000
 3.100922929936299e+000  -1.340499725412433e+000  -3.802374577867154e-001   1.014860863076504e+000
