---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.FileName = "LTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTOE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.700433465008076e+000  -2.432697649677721e-001   4.230357481174527e-002
 2.705340764331210e+000  -1.700273974008870e+000  -2.433830533394496e-001   4.210457153892249e-002
 2.718981528662420e+000  -1.700176650405813e+000  -2.434333966724111e-001   4.197593485739008e-002
 2.732622292993630e+000  -1.700140957130703e+000  -2.434104155686719e-001   4.192611777373283e-002
 2.746263057324840e+000  -1.700134566017250e+000  -2.433470224659675e-001   4.189988071090422e-002
 2.759903821656050e+000  -1.700136353762889e+000  -2.432618341698234e-001   4.184675457349628e-002
 2.773544585987260e+000  -1.700126834891326e+000  -2.431495026683001e-001   4.174938813254150e-002
 2.787185350318470e+000  -1.700082732720347e+000  -2.429997937247161e-001   4.161552160126530e-002
 2.800826114649680e+000  -1.699997706263786e+000  -2.428231741097912e-001   4.145152325277928e-002
 2.814466878980890e+000  -1.699887201789404e+000  -2.426355307564187e-001   4.126249974450342e-002
 2.828107643312100e+000  -1.699754700478085e+000  -2.424100497141606e-001   4.106679066058416e-002
 2.841748407643310e+000  -1.699573697937738e+000  -2.420812556295877e-001   4.090053670532317e-002
 2.855389171974520e+000  -1.699305285720881e+000  -2.416181451990788e-001   4.078298070609286e-002
 2.869029936305730e+000  -1.698902522705746e+000  -2.410737700215879e-001   4.065976791430984e-002
 2.882670700636940e+000  -1.698300838445723e+000  -2.405672181169953e-001   4.043451857773504e-002
 2.896311464968150e+000  -1.697438589226359e+000  -2.402372928961047e-001   4.004479162169190e-002
 2.909952229299360e+000  -1.696282560362649e+000  -2.401768833052288e-001   3.948789264442094e-002
 2.923592993630570e+000  -1.694842019609799e+000  -2.403831879957035e-001   3.880079296137055e-002
 2.937233757961780e+000  -1.693124322368059e+000  -2.407636159830387e-001   3.809189092886506e-002
 2.950874522292990e+000  -1.691029963960948e+000  -2.411805303202284e-001   3.768970057965083e-002
 2.964515286624200e+000  -1.688249900972873e+000  -2.415063486436643e-001   3.819292318789999e-002
 2.978156050955410e+000  -1.684207076954264e+000  -2.416686837873915e-001   4.020236047276303e-002
 2.991796815286619e+000  -1.678141222291198e+000  -2.416906594878617e-001   4.388991497143459e-002
 3.005437579617829e+000  -1.669213118258721e+000  -2.416639088216329e-001   4.890127089231540e-002
 3.019078343949039e+000  -1.656390598021547e+000  -2.414968703967786e-001   5.480790136361686e-002
 3.032719108280249e+000  -1.638446984513418e+000  -2.408310442481055e-001   6.148020753811442e-002
 3.046359872611459e+000  -1.614574411812448e+000  -2.395242736732675e-001   6.878350392510049e-002
 3.060000636942669e+000  -1.584994043648855e+000  -2.380719541635784e-001   7.617450246186211e-002
 3.073641401273879e+000  -1.550654338762555e+000  -2.372692865156388e-001   8.280835949225580e-002
 3.087282165605089e+000  -1.512461652699075e+000  -2.375499769386784e-001   8.795134637099387e-002
 3.100922929936299e+000  -1.471002859535981e+000  -2.389087085795480e-001   9.128805356645256e-002
 3.114563694267509e+000  -1.426755564143283e+000  -2.410924908573095e-001   9.287167998891019e-002
 3.128204458598719e+000  -1.380193473949231e+000  -2.436881315915487e-001   9.287775596901655e-002
 3.141845222929929e+000  -1.331760657806963e+000  -2.462885626914176e-001   9.146792718037826e-002
 3.155485987261139e+000  -1.281806867790661e+000  -2.486197459488818e-001   8.885489176567855e-002
 3.169126751592349e+000  -1.230537758771461e+000  -2.505235495038161e-001   8.535595352511248e-002
 3.182767515923559e+000  -1.178100231312194e+000  -2.519036995913525e-001   8.133975056217925e-002
 3.196408280254769e+000  -1.124668157932512e+000  -2.527017561785521e-001   7.720026467316488e-002
 3.210049044585979e+000  -1.070453083644304e+000  -2.528566252944302e-001   7.333277921862028e-002
 3.223689808917189e+000  -1.015722217473193e+000  -2.522612479922040e-001   7.007064724507447e-002
 3.237330573248399e+000  -9.607295375575838e-001  -2.508520451181789e-001   6.766663258161808e-002
 3.250971337579609e+000  -9.056638780045885e-001  -2.486943286135782e-001   6.635068219907507e-002
 3.264612101910819e+000  -8.507572569265298e-001  -2.458952310959925e-001   6.634217851867939e-002
 3.278252866242029e+000  -7.963101739544704e-001  -2.425803601037711e-001   6.780804404315990e-002
 3.291893630573239e+000  -7.426565088360496e-001  -2.389277101740914e-001   7.088310910415106e-002
 3.305534394904449e+000  -6.902084815125014e-001  -2.351428782951540e-001   7.567763393523638e-002
 3.319175159235659e+000  -6.395138939825878e-001  -2.314484197781745e-001   8.220271286757137e-002
 3.332815923566869e+000  -5.912517837362278e-001  -2.281182429975352e-001   9.028912403037381e-002
 3.346456687898079e+000  -5.461709234137421e-001  -2.255213053600156e-001   9.948586797995612e-002
 3.360097452229289e+000  -5.050410779030597e-001  -2.240805492657443e-001   1.089767678990951e-001
 3.373738216560499e+000  -4.685883102631444e-001  -2.240770408989669e-001   1.176313075122531e-001
 3.387378980891709e+000  -4.373950426800018e-001  -2.254722279436534e-001   1.241581320288116e-001
 3.401019745222919e+000  -4.118032153158304e-001  -2.279635508373814e-001   1.273262305793631e-001
 3.414660509554129e+000  -3.917431166366395e-001  -2.311901104695186e-001   1.262711036077365e-001
 3.428301273885339e+000  -3.765142922492238e-001  -2.349196970029388e-001   1.207862099256115e-001
 3.441942038216549e+000  -3.647849350339792e-001  -2.390580565523163e-001   1.114446840117019e-001
 3.455582802547759e+000  -3.550293601164909e-001  -2.434845306567899e-001   9.954774174685700e-002
 3.469223566878969e+000  -3.463452101230636e-001  -2.479466759751031e-001   8.684069123027267e-002
 3.482864331210179e+000  -3.388787884837031e-001  -2.520888249478089e-001   7.488093177273401e-002
 3.496505095541389e+000  -3.331141979208844e-001  -2.555344895563830e-001   6.465844356444402e-002
 3.510145859872599e+000  -3.290047066725756e-001  -2.580529956342544e-001   5.673820763598722e-002
 3.523786624203809e+000  -3.260899391170311e-001  -2.596847773724123e-001   5.127488919627309e-002
 3.537427388535019e+000  -3.239573158028628e-001  -2.606926559792567e-001   4.794110473281556e-002
 3.551068152866229e+000  -3.223569032010546e-001  -2.613324630496052e-001   4.611955384815519e-002
 3.564708917197438e+000  -3.211840008070710e-001  -2.617198061294971e-001   4.521089319282907e-002
 3.578349681528648e+000  -3.204121511981661e-001  -2.619293017820342e-001   4.480407308035598e-002
 3.591990445859858e+000  -3.199772648571866e-001  -2.620397209014530e-001   4.465657123099682e-002
 3.605631210191068e+000  -3.197766296051987e-001  -2.620826668935594e-001   4.462395259751870e-002
 3.619271974522278e+000  -3.197267159586011e-001  -2.620550127763160e-001   4.462987434503202e-002
 3.632912738853488e+000  -3.197743900261985e-001  -2.619626017838180e-001   4.465111512959612e-002
 3.646553503184698e+000  -3.198750164966706e-001  -2.618359670048673e-001   4.469085098789085e-002
 3.660194267515908e+000  -3.199805420974617e-001  -2.617276655792900e-001   4.474018213155809e-002
 3.673835031847118e+000  -3.200529927524248e-001  -2.616964667225646e-001   4.476514954920818e-002
 3.687475796178328e+000  -3.200772697732323e-001  -2.617712786014705e-001   4.474099833022847e-002
 3.701116560509538e+000  -3.200548681477589e-001  -2.619370550841237e-001   4.468035602356849e-002
 3.714757324840748e+000  -3.199990157986504e-001  -2.621609502296938e-001   4.460987660342042e-002
 3.728398089171958e+000  -3.199246318415951e-001  -2.624122650103759e-001   4.453007305142820e-002
 3.742038853503168e+000  -3.198379279523617e-001  -2.626558965031854e-001   4.442298806576764e-002
 3.755679617834378e+000  -3.197536533722981e-001  -2.628256350136027e-001   4.430960148142130e-002
 3.769320382165588e+000  -3.197004395118035e-001  -2.628176040004796e-001   4.426251344212237e-002
 3.782961146496798e+000  -3.196737139289917e-001  -2.626086177725814e-001   4.429532733445072e-002
 3.796601910828008e+000  -3.196131162224432e-001  -2.623212068580376e-001   4.430033978165120e-002
 3.810242675159218e+000  -3.194593604746362e-001  -2.620803688009305e-001   4.417413058950510e-002
 3.823883439490428e+000  -3.192378534903282e-001  -2.619171212880890e-001   4.392871719565276e-002
 3.837524203821638e+000  -3.190615171303783e-001  -2.618154388659711e-001   4.364554541623910e-002
 3.851164968152848e+000  -3.190074946253962e-001  -2.617365463442917e-001   4.339477547261334e-002
 3.864805732484058e+000  -3.190460941175219e-001  -2.616109453772012e-001   4.320717046105636e-002
 3.878446496815268e+000  -3.190925626136105e-001  -2.613746214763368e-001   4.307411559591640e-002
 3.892087261146478e+000  -3.190658680839731e-001  -2.609919172695184e-001   4.297497673214956e-002
 3.905728025477688e+000  -3.189318648696312e-001  -2.604761394669214e-001   4.288995258397254e-002
 3.919368789808898e+000  -3.186996564876686e-001  -2.598790554769430e-001   4.279766746920493e-002
 3.933009554140108e+000  -3.183885226746712e-001  -2.592477895146093e-001   4.267972546660564e-002
