---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 3.346456687898079e+000  -1.039417167396046e+000  -3.988119095009034e-001   4.315935185757505e-002
 3.360097452229289e+000  -1.039212148279265e+000  -3.990982969575994e-001   4.292191986830229e-002
 3.373738216560499e+000  -1.038876762284995e+000  -3.995229709321536e-001   4.270175466730322e-002
 3.387378980891709e+000  -1.038406831413751e+000  -4.000360843841834e-001   4.255314944487410e-002
 3.401019745222919e+000  -1.037801894538583e+000  -4.005982324963265e-001   4.251673434237520e-002
 3.414660509554129e+000  -1.037056572132868e+000  -4.011807968736185e-001   4.258480872803819e-002
 3.428301273885339e+000  -1.036138212901599e+000  -4.017501696134216e-001   4.267780145998455e-002
 3.441942038216549e+000  -1.035006756461054e+000  -4.022775451407715e-001   4.268291168740608e-002
 3.455582802547759e+000  -1.033642309988892e+000  -4.027357153402298e-001   4.251984499678960e-002
 3.469223566878969e+000  -1.032013937243657e+000  -4.030856956076760e-001   4.216104686210780e-002
 3.482864331210179e+000  -1.030038337165730e+000  -4.032941241884703e-001   4.160931510956341e-002
 3.496505095541389e+000  -1.027598872550575e+000  -4.033556634509112e-001   4.092856513168266e-002
 3.510145859872599e+000  -1.024549480990148e+000  -4.033195402703903e-001   4.037828162935706e-002
 3.523786624203809e+000  -1.020631566447782e+000  -4.033375348437702e-001   4.056299135759556e-002
 3.537427388535019e+000  -1.015389558261002e+000  -4.036330545184849e-001   4.234654779856916e-002
 3.551068152866229e+000  -1.008210786535513e+000  -4.043658696968750e-001   4.632136876358811e-002
 3.564708917197438e+000  -9.983517283206654e-001  -4.055575813450235e-001   5.231040457584382e-002
 3.578349681528648e+000  -9.847802276887824e-001  -4.071608997677935e-001   5.960210907806147e-002
 3.591990445859858e+000  -9.661512875487632e-001  -4.091543527972559e-001   6.757566894767715e-002
 3.605631210191068e+000  -9.412495053130617e-001  -4.114697247014945e-001   7.587447384240630e-002
 3.619271974522278e+000  -9.096729567305221e-001  -4.137739316292584e-001   8.409879458794142e-002
 3.632912738853488e+000  -8.722039398215414e-001  -4.155742571782920e-001   9.156097166189955e-002
 3.646553503184698e+000  -8.304583710064658e-001  -4.165464105822046e-001   9.746401743837715e-002
 3.660194267515908e+000  -7.860112349194859e-001  -4.165656555555258e-001   1.012637196250714e-001
 3.673835031847118e+000  -7.397611923754686e-001  -4.156761888467697e-001   1.028613416266595e-001
