---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 3.346456687898079e+000  -6.921362930446686e-001  -2.156708914032379e-001   6.488557876760866e-002
 3.360097452229289e+000  -6.490404124798374e-001  -2.112469599185594e-001   6.717934595979953e-002
 3.373738216560499e+000  -6.105933311328697e-001  -2.074366923904708e-001   6.996212841279369e-002
 3.387378980891709e+000  -5.776080869571838e-001  -2.045848039336204e-001   7.218962924066875e-002
 3.401019745222919e+000  -5.506536439549065e-001  -2.029372924916434e-001   7.289714848505761e-002
 3.414660509554129e+000  -5.299071974514151e-001  -2.026043414500055e-001   7.155249038171684e-002
 3.428301273885339e+000  -5.148757601569481e-001  -2.034557781026033e-001   6.835364340692221e-002
 3.441942038216549e+000  -5.042400868440103e-001  -2.050581462511707e-001   6.423690116014455e-002
 3.455582802547759e+000  -4.961420194674853e-001  -2.067328668284604e-001   6.044724174872919e-002
 3.469223566878969e+000  -4.889744587476306e-001  -2.078070218994058e-001   5.778586666810501e-002
 3.482864331210179e+000  -4.822988041553926e-001  -2.080277669123557e-001   5.619288157041248e-002
 3.496505095541389e+000  -4.767642034717843e-001  -2.076703428128573e-001   5.517738174990248e-002
 3.510145859872599e+000  -4.728071392906534e-001  -2.071705306192650e-001   5.445772058047373e-002
 3.523786624203809e+000  -4.700895619195346e-001  -2.068290915921939e-001   5.400126625182992e-002
 3.537427388535019e+000  -4.682014877635893e-001  -2.067990424632664e-001   5.378557673766547e-002
 3.551068152866229e+000  -4.669922566313141e-001  -2.071198950724221e-001   5.375165576916603e-002
 3.564708917197438e+000  -4.663099337491131e-001  -2.077306384130197e-001   5.381824728218642e-002
 3.578349681528648e+000  -4.660072920856903e-001  -2.085008824482393e-001   5.389245321811258e-002
 3.591990445859858e+000  -4.660031588684408e-001  -2.092674912610935e-001   5.391886658408825e-002
 3.605631210191068e+000  -4.661477564822257e-001  -2.098781058575004e-001   5.388566952167425e-002
 3.619271974522278e+000  -4.662476464884656e-001  -2.102506023169890e-001   5.381605154105230e-002
 3.632912738853488e+000  -4.662314396821073e-001  -2.104177124706688e-001   5.374390937428595e-002
 3.646553503184698e+000  -4.661461992500037e-001  -2.104781420744836e-001   5.368356725455932e-002
 3.660194267515908e+000  -4.660544375108087e-001  -2.105202861694757e-001   5.365005188560267e-002
 3.673835031847118e+000  -4.659862656486494e-001  -2.105947995269107e-001   5.368081405003948e-002
 3.687475796178328e+000  -4.659381660055684e-001  -2.107266235815168e-001   5.380469585710908e-002
 3.701116560509538e+000  -4.658886448676535e-001  -2.109250807754742e-001   5.400829714861088e-002
 3.714757324840748e+000  -4.658152567988992e-001  -2.111784722575352e-001   5.424905110930280e-002
 3.728398089171958e+000  -4.657102728830320e-001  -2.114527952214680e-001   5.447860197213914e-002
 3.742038853503168e+000  -4.655887766706067e-001  -2.117136841484935e-001   5.466539938060042e-002
 3.755679617834378e+000  -4.654773427900591e-001  -2.119501517235209e-001   5.481146999888650e-002
 3.769320382165588e+000  -4.653937096980612e-001  -2.121616258673318e-001   5.495005993595521e-002
 3.782961146496798e+000  -4.653549921856069e-001  -2.123196130332764e-001   5.511893712586154e-002
 3.796601910828008e+000  -4.653989347026403e-001  -2.123668654579230e-001   5.531974749086253e-002
 3.810242675159218e+000  -4.655439159483142e-001  -2.122700520699256e-001   5.553247322957696e-002
