---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.FileName = "LTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTHI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.765780652933400e+000  -1.256483062274176e-001   6.002056717563458e-001
 2.705340764331210e+000  -1.757732489921362e+000  -1.258563212233953e-001   5.997409287574615e-001
 2.718981528662420e+000  -1.749744808056964e+000  -1.260220979993205e-001   5.992248145269311e-001
 2.732622292993630e+000  -1.741765038117342e+000  -1.261429377666250e-001   5.986227869374925e-001
 2.746263057324840e+000  -1.733659117297754e+000  -1.262547987963562e-001   5.979213273501616e-001
 2.759903821656050e+000  -1.725299815810743e+000  -1.264031295242739e-001   5.971155060449844e-001
 2.773544585987260e+000  -1.716587857027748e+000  -1.266235229642648e-001   5.962357621321373e-001
 2.787185350318470e+000  -1.707452257837124e+000  -1.269321308994686e-001   5.953731007897126e-001
 2.800826114649680e+000  -1.697835596381353e+000  -1.273062064919297e-001   5.946607098828078e-001
 2.814466878980890e+000  -1.687614016111229e+000  -1.276804995872680e-001   5.941899590373518e-001
 2.828107643312100e+000  -1.676580774217608e+000  -1.280150922055999e-001   5.939557646465969e-001
 2.841748407643310e+000  -1.664541245851787e+000  -1.283521721750565e-001   5.938984897160697e-001
 2.855389171974520e+000  -1.651366620363425e+000  -1.287826904184220e-001   5.939346315403257e-001
 2.869029936305730e+000  -1.636987315675326e+000  -1.293787697691019e-001   5.939420319895381e-001
 2.882670700636940e+000  -1.621340338517999e+000  -1.301690330418258e-001   5.937624170517278e-001
 2.896311464968150e+000  -1.604334942802464e+000  -1.311675991205235e-001   5.932457042757791e-001
 2.909952229299360e+000  -1.585873607266455e+000  -1.323707508454406e-001   5.923356802858887e-001
 2.923592993630570e+000  -1.565892803633450e+000  -1.337095008199762e-001   5.911024089410205e-001
 2.937233757961780e+000  -1.544384923401850e+000  -1.350468337306721e-001   5.896829650589061e-001
 2.950874522292990e+000  -1.521321609572073e+000  -1.362284233230811e-001   5.881513439957019e-001
 2.964515286624200e+000  -1.496637554893614e+000  -1.371718773781327e-001   5.864760851918937e-001
 2.978156050955410e+000  -1.470410694731258e+000  -1.379199056560206e-001   5.846426189222789e-001
 2.991796815286619e+000  -1.442961453024427e+000  -1.386057690248821e-001   5.827412731577740e-001
 3.005437579617829e+000  -1.414752592779812e+000  -1.393895481207649e-001   5.809516567276027e-001
 3.019078343949039e+000  -1.386230783254077e+000  -1.403780871062088e-001   5.795259210173167e-001
 3.032719108280249e+000  -1.357744085358605e+000  -1.415446424230843e-001   5.787579124861492e-001
 3.046359872611459e+000  -1.329503495382202e+000  -1.427525037758017e-001   5.788339060910593e-001
 3.060000636942669e+000  -1.301553794618917e+000  -1.438714310861286e-001   5.797115130119417e-001
 3.073641401273879e+000  -1.273840914821646e+000  -1.448121199715073e-001   5.812866786498886e-001
 3.087282165605089e+000  -1.246302866437882e+000  -1.454613286414700e-001   5.835606470018688e-001
 3.100922929936299e+000  -1.218891251224416e+000  -1.457291691912216e-001   5.865188086543715e-001
 3.114563694267509e+000  -1.191599671941246e+000  -1.456619206361398e-001   5.900194763162304e-001
 3.128204458598719e+000  -1.164501652204481e+000  -1.453999458282501e-001   5.938857131308314e-001
 3.141845222929929e+000  -1.137735040433528e+000  -1.450763196464721e-001   5.979847261095034e-001
 3.155485987261139e+000  -1.111470960613162e+000  -1.447844745759976e-001   6.021844592759038e-001
 3.169126751592349e+000  -1.085887819561809e+000  -1.445863280069067e-001   6.062886668004300e-001
 3.182767515923559e+000  -1.061125965803710e+000  -1.445004173865417e-001   6.100711502166401e-001
 3.196408280254769e+000  -1.037267846074948e+000  -1.444865494322463e-001   6.133502123783006e-001
 3.210049044585979e+000  -1.014364765371894e+000  -1.444967687764905e-001   6.160062194414614e-001
 3.223689808917189e+000  -9.924388267629956e-001  -1.445386650785498e-001   6.179812226918542e-001
 3.237330573248399e+000  -9.714883011837427e-001  -1.446655528323356e-001   6.192744334234236e-001
 3.250971337579609e+000  -9.515625636360098e-001  -1.449548121548028e-001   6.198718516867149e-001
 3.264612101910819e+000  -9.328188194555320e-001  -1.454775994601373e-001   6.196653865607994e-001
 3.278252866242029e+000  -9.154183411280517e-001  -1.462398282896548e-001   6.184829687366213e-001
 3.291893630573239e+000  -8.993471730568696e-001  -1.471758944568074e-001   6.161790774752840e-001
 3.305534394904449e+000  -8.843967107005686e-001  -1.482067354131037e-001   6.127199755960637e-001
 3.319175159235659e+000  -8.702856286219884e-001  -1.492671786137718e-001   6.082468112497731e-001
 3.332815923566869e+000  -8.567217340677553e-001  -1.502887434099560e-001   6.030608185410059e-001
 3.346456687898079e+000  -8.433440589900495e-001  -1.512133581786970e-001   5.975373916582423e-001
 3.360097452229289e+000  -8.296241470674967e-001  -1.519842551518931e-001   5.920793304317241e-001
 3.373738216560499e+000  -8.148872716656069e-001  -1.525237455186386e-001   5.870986945156541e-001
