---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 3.346456687898079e+000  -1.005221756965292e+000  -5.340287332846769e-001   7.167435371114669e-001
 3.360097452229289e+000  -9.934359302715560e-001  -5.334483375400680e-001   7.161278400746509e-001
 3.373738216560499e+000  -9.811804073488124e-001  -5.329569947777024e-001   7.156307302505118e-001
 3.387378980891709e+000  -9.683394387443534e-001  -5.325059565688610e-001   7.152214873566722e-001
 3.401019745222919e+000  -9.547810643336894e-001  -5.319634926536058e-001   7.148093614126705e-001
 3.414660509554129e+000  -9.403760302099367e-001  -5.311629391443058e-001   7.141871258826653e-001
 3.428301273885339e+000  -9.250230223176656e-001  -5.299791491545868e-001   7.131746958893024e-001
 3.441942038216549e+000  -9.086623271511101e-001  -5.284205326903080e-001   7.117637049893962e-001
 3.455582802547759e+000  -8.912783125189938e-001  -5.266310761243802e-001   7.101008484173337e-001
 3.469223566878969e+000  -8.728463009444016e-001  -5.247317663440224e-001   7.083374829408280e-001
 3.482864331210179e+000  -8.533374280378481e-001  -5.227560396933426e-001   7.065445662717999e-001
 3.496505095541389e+000  -8.327710933768097e-001  -5.207390658319722e-001   7.047185547654618e-001
 3.510145859872599e+000  -8.112276605837456e-001  -5.187603921694809e-001   7.027982536573358e-001
 3.523786624203809e+000  -7.888120569620704e-001  -5.168659218219132e-001   7.007014658976353e-001
 3.537427388535019e+000  -7.656091304661877e-001  -5.150092562194880e-001   6.983828822316160e-001
 3.551068152866229e+000  -7.417242821464409e-001  -5.131351189509722e-001   6.959137460647241e-001
 3.564708917197438e+000  -7.173549681891106e-001  -5.112752495418935e-001   6.935156925713515e-001
 3.578349681528648e+000  -6.928123820096528e-001  -5.094782528453042e-001   6.914577549379983e-001
 3.591990445859858e+000  -6.684320319211193e-001  -5.077874862377690e-001   6.899945422474060e-001
 3.605631210191068e+000  -6.443955275069226e-001  -5.062820530918201e-001   6.893664758661950e-001
 3.619271974522278e+000  -6.206691930848006e-001  -5.050007771324224e-001   6.897089036164279e-001
 3.632912738853488e+000  -5.970505197680048e-001  -5.037919695492956e-001   6.909591188279604e-001
 3.646553503184698e+000  -5.732478952126340e-001  -5.022776366645172e-001   6.929151483094511e-001
 3.660194267515908e+000  -5.490453719433330e-001  -5.000236425806731e-001   6.953864787053860e-001
 3.673835031847118e+000  -5.244820550323602e-001  -4.968393485092111e-001   6.982521365151566e-001
 3.687475796178328e+000  -5.001258039006298e-001  -4.934342604014761e-001   7.016140582069377e-001
 3.701116560509538e+000  -4.771839054739541e-001  -4.917836734168949e-001   7.058569685228121e-001
 3.714757324840748e+000  -4.564976010402886e-001  -4.931998231967344e-001   7.111167996706463e-001
 3.728398089171958e+000  -4.374717905558617e-001  -4.964718343341353e-001   7.168341166774543e-001
