---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.FileName = "RANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RANK.MarkerPositionFile.pz
 2.691700000000000e+000  -1.707419978543298e+000  -4.320873240461022e-001   1.073263838343842e-001
 2.705340764331210e+000  -1.653340071369007e+000  -4.338270808730922e-001   9.574937912175870e-002
 2.718981528662420e+000  -1.599804409353723e+000  -4.359652177570679e-001   8.532905456598855e-002
 2.732622292993630e+000  -1.547223255077482e+000  -4.386756919350938e-001   7.705548441182096e-002
 2.746263057324840e+000  -1.495921716942265e+000  -4.417455269781037e-001   7.132867866938088e-002
 2.759903821656050e+000  -1.446424882245409e+000  -4.447302216458999e-001   6.810078100773559e-002
 2.773544585987260e+000  -1.399473349315792e+000  -4.471928662967060e-001   6.698576077496467e-002
 2.787185350318470e+000  -1.355895971453868e+000  -4.488503099216599e-001   6.738157502592658e-002
 2.800826114649680e+000  -1.316477131056517e+000  -4.495680940065749e-001   6.861331794395847e-002
 2.814466878980890e+000  -1.281846163473129e+000  -4.493251910977911e-001   6.997115090606777e-002
 2.828107643312100e+000  -1.252382672263362e+000  -4.482251132443039e-001   7.071443280834619e-002
 2.841748407643310e+000  -1.228203529164307e+000  -4.464956824818405e-001   7.022825260791087e-002
 2.855389171974520e+000  -1.209192559164025e+000  -4.444195157888281e-001   6.827405351811416e-002
 2.869029936305730e+000  -1.194980827996589e+000  -4.422858615847437e-001   6.518852091655905e-002
 2.882670700636940e+000  -1.184861420441889e+000  -4.404350663839826e-001   6.173169375510149e-002
 2.896311464968150e+000  -1.177762863844670e+000  -4.392124320086354e-001   5.857366448971444e-002
 2.909952229299360e+000  -1.172546285876603e+000  -4.387390478495160e-001   5.595628302187865e-002
 2.923592993630570e+000  -1.168585313113483e+000  -4.388462191825006e-001   5.394437142782024e-002
 2.937233757961780e+000  -1.165855687508213e+000  -4.392510854601621e-001   5.264615304278845e-002
