---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 2.950874522292990e+000  -1.224100355735738e+000  -4.984409215626165e-001   3.594086617746104e-001
 2.964515286624200e+000  -1.210121175401900e+000  -4.999747803847476e-001   3.616757574142470e-001
 2.978156050955410e+000  -1.197688499875503e+000  -5.013498197292390e-001   3.633520955285909e-001
 2.991796815286619e+000  -1.187168333459101e+000  -5.026350801088588e-001   3.641112681600314e-001
 3.005437579617829e+000  -1.178581180741044e+000  -5.038940645692779e-001   3.640135979856670e-001
 3.019078343949039e+000  -1.171552631102391e+000  -5.051264278637926e-001   3.634195003836854e-001
 3.032719108280249e+000  -1.165501432717515e+000  -5.062906544809003e-001   3.626621672015510e-001
 3.046359872611459e+000  -1.159875553263054e+000  -5.073585888426968e-001   3.619053307619940e-001
 3.060000636942669e+000  -1.154307028468719e+000  -5.083418180839390e-001   3.611996275987764e-001
 3.073641401273879e+000  -1.148735656218355e+000  -5.092635372405695e-001   3.605649112283966e-001
 3.087282165605089e+000  -1.143445090117566e+000  -5.101456911606853e-001   3.600511566366792e-001
 3.100922929936299e+000  -1.138809423008216e+000  -5.110103875191790e-001   3.597143113349042e-001
 3.114563694267509e+000  -1.134913805811221e+000  -5.118451268643686e-001   3.595308596723233e-001
 3.128204458598719e+000  -1.131467855562922e+000  -5.125805750898153e-001   3.593955788491534e-001
 3.141845222929929e+000  -1.128108814294396e+000  -5.131403406949540e-001   3.592107589056270e-001
 3.155485987261139e+000  -1.124706003337387e+000  -5.134983855194466e-001   3.589413168071749e-001
 3.169126751592349e+000  -1.121347251007525e+000  -5.136870444888942e-001   3.586108719285803e-001
 3.182767515923559e+000  -1.118122664079165e+000  -5.137638381622135e-001   3.582646053861556e-001
 3.196408280254769e+000  -1.115031415545870e+000  -5.137795986217970e-001   3.579434998667094e-001
 3.210049044585979e+000  -1.112028105601898e+000  -5.137631466469128e-001   3.576723316798548e-001
 3.223689808917189e+000  -1.109033855004043e+000  -5.137093370833894e-001   3.574454342725644e-001
 3.237330573248399e+000  -1.105926615957548e+000  -5.135784257724100e-001   3.572535736884527e-001
 3.250971337579609e+000  -1.102591902704531e+000  -5.133377406460183e-001   3.570853634758743e-001
 3.264612101910819e+000  -1.098993345757538e+000  -5.130162097532557e-001   3.569022554296109e-001
 3.278252866242029e+000  -1.095107697506043e+000  -5.127442054623298e-001   3.566771014775446e-001
 3.291893630573239e+000  -1.090874930743407e+000  -5.126759981572848e-001   3.564306823467371e-001
 3.305534394904449e+000  -1.086318531130550e+000  -5.128034421431261e-001   3.562367653514167e-001
 3.319175159235659e+000  -1.081515765847431e+000  -5.129901609322455e-001   3.561784756528572e-001
 3.332815923566869e+000  -1.076466328048016e+000  -5.131449020272170e-001   3.563057491975446e-001
 3.346456687898079e+000  -1.071091774746416e+000  -5.132568387080652e-001   3.566520257812608e-001
 3.360097452229289e+000  -1.065261584811798e+000  -5.133576958364985e-001   3.572431536789527e-001
 3.373738216560499e+000  -1.058828954864823e+000  -5.134855351498938e-001   3.580860072894597e-001
 3.387378980891709e+000  -1.051665882198537e+000  -5.136533025799134e-001   3.591483526363483e-001
 3.401019745222919e+000  -1.043655198394247e+000  -5.138430413996240e-001   3.603361510234227e-001
