---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.FileName = "LASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.669414927836630e+000  -1.542314609080451e-001   9.678838703047923e-001
 2.705340764331210e+000  -1.654451748282316e+000  -1.542289242447788e-001   9.658625846582277e-001
 2.718981528662420e+000  -1.639652095614573e+000  -1.542652808614730e-001   9.638489630547278e-001
 2.732622292993630e+000  -1.625079494224189e+000  -1.543094544752324e-001   9.618316154855754e-001
 2.746263057324840e+000  -1.610681992159054e+000  -1.543092102337898e-001   9.597715213104806e-001
 2.759903821656050e+000  -1.596341350882185e+000  -1.542461144566119e-001   9.576153452824942e-001
 2.773544585987260e+000  -1.581936999860794e+000  -1.541417076483733e-001   9.553117107896498e-001
 2.787185350318470e+000  -1.567399834869609e+000  -1.540300408470867e-001   9.528742973447275e-001
 2.800826114649680e+000  -1.552638716345423e+000  -1.539486111714750e-001   9.503885861620348e-001
 2.814466878980890e+000  -1.537473490085203e+000  -1.539695056835124e-001   9.479554622301123e-001
 2.828107643312100e+000  -1.521683201985965e+000  -1.541969092287898e-001   9.456627373409265e-001
 2.841748407643310e+000  -1.505111585130591e+000  -1.547546769646289e-001   9.435424588953767e-001
 2.855389171974520e+000  -1.487776095176021e+000  -1.557426312345293e-001   9.415614880137498e-001
 2.869029936305730e+000  -1.469858852913929e+000  -1.571589585435021e-001   9.397133035738139e-001
 2.882670700636940e+000  -1.451475416104007e+000  -1.589447976347025e-001   9.380499858727559e-001
 2.896311464968150e+000  -1.432626236967034e+000  -1.610204757090564e-001   9.366429834290179e-001
 2.909952229299360e+000  -1.413390459311510e+000  -1.632837619042425e-001   9.355472318905469e-001
 2.923592993630570e+000  -1.393969343144738e+000  -1.656689124675797e-001   9.347661252011009e-001
 2.937233757961780e+000  -1.374608714613304e+000  -1.681519783116297e-001   9.342715209168634e-001
