---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.FileName = "LPSI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LPSI.MarkerPositionFile.pz
 2.691700000000000e+000  -1.847790724479622e+000  -2.602654146042576e-001   1.015576574184095e+000
 2.705340764331210e+000  -1.832635754689208e+000  -2.610535307973992e-001   1.014116603787044e+000
 2.718981528662420e+000  -1.817578417107656e+000  -2.618965751591909e-001   1.012507607505968e+000
 2.732622292993630e+000  -1.802589226245188e+000  -2.628437993334396e-001   1.010635131491491e+000
 2.746263057324840e+000  -1.787573430233073e+000  -2.639220091853419e-001   1.008502539864304e+000
 2.759903821656050e+000  -1.772458519546374e+000  -2.651439776741114e-001   1.006175679785165e+000
 2.773544585987260e+000  -1.757191914836807e+000  -2.665105228715124e-001   1.003717351584354e+000
 2.787185350318470e+000  -1.741715855232238e+000  -2.680206639076775e-001   1.001161848193281e+000
 2.800826114649680e+000  -1.725963415091758e+000  -2.696656643635048e-001   9.985354811385163e-001
 2.814466878980890e+000  -1.709865637097261e+000  -2.714134814530465e-001   9.958817770504573e-001
 2.828107643312100e+000  -1.693333946742001e+000  -2.732299710317336e-001   9.932626552777858e-001
 2.841748407643310e+000  -1.676304398678357e+000  -2.751270634938740e-001   9.907787085230543e-001
 2.855389171974520e+000  -1.658798004146684e+000  -2.771418500401791e-001   9.885600097636123e-001
 2.869029936305730e+000  -1.640881102026427e+000  -2.792598087291211e-001   9.867117506421984e-001
 2.882670700636940e+000  -1.622596636072365e+000  -2.813867111534830e-001   9.853078040860070e-001
 2.896311464968150e+000  -1.604008338004053e+000  -2.833500682948201e-001   9.844612386409449e-001
 2.909952229299360e+000  -1.585246335928328e+000  -2.849421899851297e-001   9.842811122830149e-001
 2.923592993630570e+000  -1.566474784176697e+000  -2.860337865146360e-001   9.847623496598630e-001
 2.937233757961780e+000  -1.547861630760984e+000  -2.866294472473925e-001   9.858041689397725e-001
 2.950874522292990e+000  -1.529575102368715e+000  -2.868490478191965e-001   9.873166140756231e-001
 2.964515286624200e+000  -1.511718130124320e+000  -2.869417993746741e-001   9.892440537154740e-001
 2.978156050955410e+000  -1.494238734495679e+000  -2.872840370898583e-001   9.914588126889616e-001
 2.991796815286619e+000  -1.476995474950950e+000  -2.882179176397283e-001   9.937172638771391e-001
 3.005437579617829e+000  -1.459930584878654e+000  -2.898337746704153e-001   9.958080895329098e-001
 3.019078343949039e+000  -1.443075648879612e+000  -2.919274963208486e-001   9.976826449495990e-001
 3.032719108280249e+000  -1.426443711310862e+000  -2.941483089164640e-001   9.994241225264702e-001
 3.046359872611459e+000  -1.410001498858482e+000  -2.961878985497849e-001   1.001155257228939e+000
 3.060000636942669e+000  -1.393728189337067e+000  -2.979022197751509e-001   1.002973168603721e+000
 3.073641401273879e+000  -1.377633827413105e+000  -2.993104151785649e-001   1.004920431257648e+000
 3.087282165605089e+000  -1.361712891257981e+000  -3.005069239982653e-001   1.006973924163006e+000
 3.100922929936299e+000  -1.345929471606648e+000  -3.015646939619175e-001   1.009042066355409e+000
 3.114563694267509e+000  -1.330233443389755e+000  -3.025279595874607e-001   1.010996928042597e+000
 3.128204458598719e+000  -1.314551512579969e+000  -3.034732327333457e-001   1.012721559527082e+000
 3.141845222929929e+000  -1.298789998362123e+000  -3.045164095748082e-001   1.014146277691673e+000
 3.155485987261139e+000  -1.282896701802299e+000  -3.057128882725017e-001   1.015255066141249e+000
 3.169126751592349e+000  -1.266988334171520e+000  -3.069264779474193e-001   1.016048820422119e+000
 3.182767515923559e+000  -1.251262890267345e+000  -3.078955206438334e-001   1.016521864931323e+000
 3.196408280254769e+000  -1.235741219872538e+000  -3.084664712734561e-001   1.016672910907204e+000
 3.210049044585979e+000  -1.220318407575775e+000  -3.086499681780840e-001   1.016524415531986e+000
 3.223689808917189e+000  -1.204905758469482e+000  -3.085164555424535e-001   1.016088952362376e+000
 3.237330573248399e+000  -1.189452443720328e+000  -3.081072233584058e-001   1.015343906750586e+000
 3.250971337579609e+000  -1.173925678314318e+000  -3.074361443314138e-001   1.014285648402531e+000
 3.264612101910819e+000  -1.158283681414190e+000  -3.065150926828434e-001   1.012935365059758e+000
 3.278252866242029e+000  -1.142481333755652e+000  -3.053542379590934e-001   1.011297899343596e+000
 3.291893630573239e+000  -1.126481790392314e+000  -3.039957101451960e-001   1.009357770281024e+000
 3.305534394904449e+000  -1.110248616695672e+000  -3.024855941391647e-001   1.007104266133954e+000
 3.319175159235659e+000  -1.093758964346127e+000  -3.007875770743492e-001   1.004568850691489e+000
 3.332815923566869e+000  -1.077015480059787e+000  -2.988320610569197e-001   1.001806304736631e+000
 3.346456687898079e+000  -1.060053459977845e+000  -2.965980044450777e-001   9.988926671812749e-001
 3.360097452229289e+000  -1.042913103969894e+000  -2.941244467995133e-001   9.959235907783614e-001
 3.373738216560499e+000  -1.025566718949705e+000  -2.915243098794754e-001   9.929469893879996e-001
 3.387378980891709e+000  -1.007931975314064e+000  -2.889289678943284e-001   9.899597586194376e-001
 3.401019745222919e+000  -9.899466870644437e-001  -2.864416135334855e-001   9.870054779002656e-001
 3.414660509554129e+000  -9.715763395040964e-001  -2.841303286354402e-001   9.842369394796929e-001
 3.428301273885339e+000  -9.528329249963101e-001  -2.820190145987691e-001   9.818617885802424e-001
 3.441942038216549e+000  -9.337971959675188e-001  -2.801026837059154e-001   9.800722441391044e-001
 3.455582802547759e+000  -9.145547666634639e-001  -2.783816946873124e-001   9.790699261147875e-001
 3.469223566878969e+000  -8.951741929805834e-001  -2.768924989587381e-001   9.790464301063738e-001
 3.482864331210179e+000  -8.757347634173912e-001  -2.757105650500356e-001   9.800108591866992e-001
 3.496505095541389e+000  -8.563358729179729e-001  -2.749181854063234e-001   9.816619645280227e-001
 3.510145859872599e+000  -8.370930890292747e-001  -2.745175342228035e-001   9.835409641527918e-001
 3.523786624203809e+000  -8.180946293958574e-001  -2.743311173483520e-001   9.853700503164954e-001
 3.537427388535019e+000  -7.993977756521893e-001  -2.740388258249041e-001   9.871957909737599e-001
 3.551068152866229e+000  -7.810869478932121e-001  -2.733910980044005e-001   9.891669426154955e-001
 3.564708917197438e+000  -7.632633531894193e-001  -2.724043719308956e-001   9.912812657292003e-001
 3.578349681528648e+000  -7.459871887365142e-001  -2.713121102713129e-001   9.933858343113348e-001
 3.591990445859858e+000  -7.292671427971876e-001  -2.702976541281587e-001   9.953849792562680e-001
 3.605631210191068e+000  -7.130645761799170e-001  -2.693461500716505e-001   9.973830513197363e-001
 3.619271974522278e+000  -6.973011316381884e-001  -2.683793913359404e-001   9.995560852294138e-001
 3.632912738853488e+000  -6.819223326263220e-001  -2.673953306251597e-001   1.001947166909942e+000
 3.646553503184698e+000  -6.668820572844677e-001  -2.664303073882672e-001   1.004429173128448e+000
 3.660194267515908e+000  -6.520034490181893e-001  -2.655066451237514e-001   1.006819732611522e+000
 3.673835031847118e+000  -6.370243216941708e-001  -2.646139861514814e-001   1.009029920019819e+000
 3.687475796178328e+000  -6.219190301552712e-001  -2.636919766063577e-001   1.011087890624391e+000
 3.701116560509538e+000  -6.068685902243258e-001  -2.626868936983800e-001   1.012988679682245e+000
 3.714757324840748e+000  -5.919968903024595e-001  -2.616262228524983e-001   1.014634562439241e+000
 3.728398089171958e+000  -5.773145513889409e-001  -2.606261249021457e-001   1.015931618490417e+000
 3.742038853503168e+000  -5.627749932374959e-001  -2.598055733582934e-001   1.016862866223834e+000
 3.755679617834378e+000  -5.483340847395910e-001  -2.592200407839075e-001   1.017454243979527e+000
 3.769320382165588e+000  -5.339742882554019e-001  -2.588765589914588e-001   1.017706902433966e+000
 3.782961146496798e+000  -5.196900129359034e-001  -2.587653725211841e-001   1.017589397891598e+000
 3.796601910828008e+000  -5.054625901452085e-001  -2.588847077602041e-001   1.017090885855951e+000
 3.810242675159218e+000  -4.912594678961045e-001  -2.592443838762576e-001   1.016276317383049e+000
 3.823883439490428e+000  -4.770274462151763e-001  -2.598527433458321e-001   1.015241083527278e+000
 3.837524203821638e+000  -4.626481467942622e-001  -2.607137359596603e-001   1.013975546908754e+000
 3.851164968152848e+000  -4.479558112048579e-001  -2.618002528613433e-001   1.012366816573624e+000
 3.864805732484058e+000  -4.328872508212421e-001  -2.630625212445135e-001   1.010365566473835e+000
 3.878446496815268e+000  -4.175034862480028e-001  -2.644762889375855e-001   1.008027349212220e+000
 3.892087261146478e+000  -4.018935325973250e-001  -2.660365831351227e-001   1.005447096793187e+000
 3.905728025477688e+000  -3.861184252256519e-001  -2.677324447716479e-001   1.002718916307962e+000
 3.919368789808898e+000  -3.701662900243858e-001  -2.695508444365054e-001   9.999320155213187e-001
 3.933009554140108e+000  -3.539601594056692e-001  -2.714654089188531e-001   9.972021249949831e-001
 3.946650318471318e+000  -3.374205431483008e-001  -2.734053416308200e-001   9.946531064698569e-001
 3.960291082802528e+000  -3.204773806925868e-001  -2.752894609296627e-001   9.923363871450490e-001
 3.973931847133738e+000  -3.030746809984688e-001  -2.771195825057210e-001   9.902431542687477e-001
 3.987572611464948e+000  -2.851942728231777e-001  -2.789733549401162e-001   9.883875228214115e-001
 4.001213375796158e+000  -2.668580402347329e-001  -2.809280472626730e-001   9.868108974087930e-001
 4.014854140127368e+000  -2.481059810587509e-001  -2.830128561904641e-001   9.855615997274426e-001
 4.028494904458579e+000  -2.289921899455425e-001  -2.851500180807376e-001   9.847170641769086e-001
 4.042135668789789e+000  -2.095995682382036e-001  -2.871194447391270e-001   9.843629184300696e-001
 4.055776433120999e+000  -1.900676781169709e-001  -2.886589991198687e-001   9.845331082263529e-001
