---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.FileName = "LTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTIB.MarkerPositionFile.pz
 2.691700000000000e+000  -1.822568232294075e+000  -1.748176195612995e-001   1.839330282017059e-001
 2.705340764331210e+000  -1.821044786645786e+000  -1.749395495036619e-001   1.845175102710315e-001
 2.718981528662420e+000  -1.819566731223129e+000  -1.750638108390342e-001   1.851446625565288e-001
 2.732622292993630e+000  -1.818065691310495e+000  -1.752234583836436e-001   1.857701681581584e-001
 2.746263057324840e+000  -1.816428036227220e+000  -1.754537770225778e-001   1.863151626685900e-001
 2.759903821656050e+000  -1.814587178412066e+000  -1.757799434661506e-001   1.867946685360406e-001
 2.773544585987260e+000  -1.812496958458481e+000  -1.762034101108684e-001   1.873391572448110e-001
 2.787185350318470e+000  -1.810113291891012e+000  -1.766504045185677e-001   1.880997942352033e-001
 2.800826114649680e+000  -1.807389451509536e+000  -1.769709936017162e-001   1.891734972612709e-001
 2.814466878980890e+000  -1.804255444345764e+000  -1.770245658058488e-001   1.906335128392560e-001
 2.828107643312100e+000  -1.800605833226944e+000  -1.767623999803665e-001   1.925298361158793e-001
 2.841748407643310e+000  -1.796309064972601e+000  -1.762462645238838e-001   1.948344856472360e-001
 2.855389171974520e+000  -1.791241465447770e+000  -1.756105103100482e-001   1.974675865319699e-001
 2.869029936305730e+000  -1.785312129671832e+000  -1.749791887885904e-001   2.003930303124791e-001
 2.882670700636940e+000  -1.778454046973529e+000  -1.743950900128287e-001   2.036746093136761e-001
 2.896311464968150e+000  -1.770555810296187e+000  -1.738403513049198e-001   2.073911211171262e-001
 2.909952229299360e+000  -1.761376602350611e+000  -1.732780850253501e-001   2.115064713284258e-001
 2.923592993630570e+000  -1.750613184835685e+000  -1.726213883424391e-001   2.160028124326344e-001
 2.937233757961780e+000  -1.738020401233010e+000  -1.717546317139623e-001   2.210387551951815e-001
 2.950874522292990e+000  -1.723463480567554e+000  -1.706524416302177e-001   2.268796266794090e-001
 2.964515286624200e+000  -1.706865771867149e+000  -1.694530936041640e-001   2.336940748932537e-001
 2.978156050955410e+000  -1.688097903508133e+000  -1.684180201802260e-001   2.414192047520939e-001
 2.991796815286619e+000  -1.666915215954219e+000  -1.678378602628266e-001   2.497040761252342e-001
 3.005437579617829e+000  -1.643120937234647e+000  -1.679138539814180e-001   2.580276039247632e-001
 3.019078343949039e+000  -1.616884362649358e+000  -1.686861932843469e-001   2.660443182820733e-001
 3.032719108280249e+000  -1.588721330482549e+000  -1.700635582351759e-001   2.737387017110195e-001
 3.046359872611459e+000  -1.559218914018284e+000  -1.718511305461417e-001   2.812419354667271e-001
 3.060000636942669e+000  -1.528754034889150e+000  -1.738191813752054e-001   2.884857966558004e-001
 3.073641401273879e+000  -1.497354017849721e+000  -1.758053894356312e-001   2.949896657123980e-001
 3.087282165605089e+000  -1.464836403743933e+000  -1.777897967548529e-001   2.999839749114380e-001
 3.100922929936299e+000  -1.431091319238254e+000  -1.798655071144027e-001   3.027973152746210e-001
 3.114563694267509e+000  -1.396159012961719e+000  -1.821077219016807e-001   3.031671537659141e-001
 3.128204458598719e+000  -1.360063209744185e+000  -1.845410201016050e-001   3.011527363106853e-001
 3.141845222929929e+000  -1.322753102034445e+000  -1.871828741025883e-001   2.969018271294103e-001
 3.155485987261139e+000  -1.284238247278672e+000  -1.900165307853971e-001   2.906565917891499e-001
 3.169126751592349e+000  -1.244702974500000e+000  -1.928897103208172e-001   2.828570552819385e-001
 3.182767515923559e+000  -1.204496362448970e+000  -1.955160587165666e-001   2.740734049311647e-001
 3.196408280254769e+000  -1.164013002011698e+000  -1.976496227559321e-001   2.648563198618595e-001
 3.210049044585979e+000  -1.123532349103726e+000  -1.992316608034356e-001   2.557005517804333e-001
 3.223689808917189e+000  -1.083115513108391e+000  -2.003739260530521e-001   2.469345618154229e-001
 3.237330573248399e+000  -1.042729087534162e+000  -2.011917077370579e-001   2.385788910719076e-001
 3.250971337579609e+000  -1.002308049271149e+000  -2.017150038143512e-001   2.305141551737316e-001
 3.264612101910819e+000  -9.617564775533132e-001  -2.019081204306814e-001   2.227167141162284e-001
 3.278252866242029e+000  -9.210599192603240e-001  -2.016783979467065e-001   2.153885968529930e-001
 3.291893630573239e+000  -8.803569454435208e-001  -2.009050702812667e-001   2.088932316297907e-001
 3.305534394904449e+000  -8.399482729213988e-001  -1.995049733994792e-001   2.035786073606059e-001
 3.319175159235659e+000  -8.003185410001109e-001  -1.974593629210846e-001   1.996990977502623e-001
 3.332815923566869e+000  -7.620994870607315e-001  -1.948347520559848e-001   1.973984521057229e-001
 3.346456687898079e+000  -7.259470697471548e-001  -1.918467885599642e-001   1.966133923561864e-001
 3.360097452229289e+000  -6.923980987075544e-001  -1.888319945609615e-001   1.969648362173860e-001
