---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.FileName = "RHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
 3.346456687898079e+000  -1.234207216137309e+000  -3.860884505943880e-001   6.001175486444364e-002
 3.360097452229289e+000  -1.233489475203214e+000  -3.863163709912483e-001   6.330076254647019e-002
 3.373738216560499e+000  -1.232538503928679e+000  -3.867741407340913e-001   6.713426103853371e-002
 3.387378980891709e+000  -1.231280656495064e+000  -3.874757592141967e-001   7.154366013593064e-002
 3.401019745222919e+000  -1.229664329884736e+000  -3.884354148688556e-001   7.654273263102300e-002
 3.414660509554129e+000  -1.227640249218968e+000  -3.896315859636275e-001   8.216351816185258e-002
 3.428301273885339e+000  -1.225132477910867e+000  -3.909841119017480e-001   8.849323519545978e-002
 3.441942038216549e+000  -1.221981534238069e+000  -3.923834670394227e-001   9.566153192183231e-002
 3.455582802547759e+000  -1.217897935493704e+000  -3.937521184532728e-001   1.038042723895033e-001
 3.469223566878969e+000  -1.212467426274012e+000  -3.950735844220826e-001   1.130594750223732e-001
 3.482864331210179e+000  -1.205183307415479e+000  -3.963485096262083e-001   1.235749394748053e-001
 3.496505095541389e+000  -1.195513024064556e+000  -3.975904128341304e-001   1.354978508348208e-001
 3.510145859872599e+000  -1.183003732549435e+000  -3.988984541678029e-001   1.489263162882623e-001
 3.523786624203809e+000  -1.167396256048173e+000  -4.004427636613551e-001   1.638555073167037e-001
 3.537427388535019e+000  -1.148604780012902e+000  -4.022791675296746e-001   1.801209444473941e-001
 3.551068152866229e+000  -1.126547178155278e+000  -4.041552322900950e-001   1.972804321045436e-001
 3.564708917197438e+000  -1.101119762446156e+000  -4.055302596109579e-001   2.145371606986516e-001
 3.578349681528648e+000  -1.072483723478721e+000  -4.057990092793494e-001   2.308595275747125e-001
 3.591990445859858e+000  -1.041351534972448e+000  -4.044927208746258e-001   2.452334973246464e-001
 3.605631210191068e+000  -1.008883165458996e+000  -4.014357777986334e-001   2.568242975731754e-001
 3.619271974522278e+000  -9.760470393823796e-001  -3.969345683850400e-001   2.651030725642741e-001
 3.632912738853488e+000  -9.429779496375288e-001  -3.916815944315883e-001   2.699326865523868e-001
 3.646553503184698e+000  -9.091254161792677e-001  -3.863921709097163e-001   2.714594482955723e-001
 3.660194267515908e+000  -8.739418172233490e-001  -3.816010590532479e-001   2.699043659934306e-001
 3.673835031847118e+000  -8.372691132772110e-001  -3.776263113161076e-001   2.654399057271921e-001
 3.687475796178328e+000  -7.992147160480496e-001  -3.745340080661209e-001   2.581809354214336e-001
 3.701116560509538e+000  -7.599125612269869e-001  -3.721509652155684e-001   2.481887876061876e-001
