---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.FileName = "LHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
 2.691700000000000e+000  -1.910587101208503e+000  -2.560524478427107e-001   4.684054785036860e-002
 2.705340764331210e+000  -1.910642078174325e+000  -2.567095292329171e-001   4.777774643386550e-002
 2.718981528662420e+000  -1.910638899398959e+000  -2.572530520050506e-001   4.869390691768584e-002
 2.732622292993630e+000  -1.910553861342601e+000  -2.577303312754842e-001   4.965569448237292e-002
 2.746263057324840e+000  -1.910385810419510e+000  -2.583113045529401e-001   5.075992864344379e-002
 2.759903821656050e+000  -1.910128746734265e+000  -2.591132232479730e-001   5.207086332653883e-002
 2.773544585987260e+000  -1.909780476024428e+000  -2.601302965473561e-001   5.370659161651472e-002
 2.787185350318470e+000  -1.909344814931876e+000  -2.611769953844353e-001   5.585001050369483e-002
 2.800826114649680e+000  -1.908824243319630e+000  -2.619149320362377e-001   5.863463066018365e-002
 2.814466878980890e+000  -1.908166700060878e+000  -2.620757467583043e-001   6.212582104600303e-002
 2.828107643312100e+000  -1.907271597612680e+000  -2.616235238222933e-001   6.636830335995783e-002
 2.841748407643310e+000  -1.906035480968209e+000  -2.607085019839557e-001   7.139851692593599e-002
 2.855389171974520e+000  -1.904374716912923e+000  -2.595285894545086e-001   7.724353425616543e-002
 2.869029936305730e+000  -1.902226670409863e+000  -2.582126583197754e-001   8.395238350936998e-002
 2.882670700636940e+000  -1.899471216865605e+000  -2.567778429491930e-001   9.158787193545215e-002
 2.896311464968150e+000  -1.895787026486386e+000  -2.552215999133606e-001   1.001121494012800e-001
 2.909952229299360e+000  -1.890666883110677e+000  -2.535738644128395e-001   1.094272737781401e-001
 2.923592993630570e+000  -1.883647350170648e+000  -2.518021211755004e-001   1.196209037343510e-001
 2.937233757961780e+000  -1.874428995300029e+000  -2.497730849759048e-001   1.310197883676198e-001
 2.950874522292990e+000  -1.862843638227130e+000  -2.473982306164541e-001   1.440468919307836e-001
 2.964515286624200e+000  -1.848758479448109e+000  -2.448374913627388e-001   1.589973483865234e-001
 2.978156050955410e+000  -1.831960175925670e+000  -2.425458125051085e-001   1.757291260232335e-001
 2.991796815286619e+000  -1.812151257278307e+000  -2.410954659710089e-001   1.934958539722955e-001
 3.005437579617829e+000  -1.789229439107681e+000  -2.409118629584530e-001   2.112108270318433e-001
 3.019078343949039e+000  -1.763594183748645e+000  -2.421617908584803e-001   2.277842884959879e-001
 3.032719108280249e+000  -1.736003504884024e+000  -2.448348491795395e-001   2.422007724886794e-001
 3.046359872611459e+000  -1.707091564051292e+000  -2.487808592680284e-001   2.535768989023673e-001
 3.060000636942669e+000  -1.677000490512060e+000  -2.536862308956717e-001   2.613095677656083e-001
 3.073641401273879e+000  -1.645546974830265e+000  -2.591001938764574e-001   2.652435568623121e-001
 3.087282165605089e+000  -1.612631466751502e+000  -2.644882567245752e-001   2.656642386082849e-001
 3.100922929936299e+000  -1.578338272449466e+000  -2.693589555750863e-001   2.630562942256807e-001
 3.114563694267509e+000  -1.542798271467426e+000  -2.734134722063057e-001   2.579066102679775e-001
 3.128204458598719e+000  -1.505981673586124e+000  -2.767818832429935e-001   2.503920541897496e-001
 3.141845222929929e+000  -1.467682775736394e+000  -2.799691077816565e-001   2.402805374744459e-001
 3.155485987261139e+000  -1.427713839728695e+000  -2.833328290118696e-001   2.274322697842126e-001
 3.169126751592349e+000  -1.386018362458240e+000  -2.868042363229866e-001   2.122385197026931e-001
 3.182767515923559e+000  -1.342615493789703e+000  -2.901264496541268e-001   1.954441912037671e-001
 3.196408280254769e+000  -1.297472792653159e+000  -2.931364073924945e-001   1.776912847902690e-001
